address_line_2,nearest_cafe,nearest_mart,n_seven_eleven_in_1km,n_bank_in_1km,nearest_pre_school,nearest_secondary_school,nearest_primary_school,n_university_in_1km,nearest_seven_eleven,nearest_hotel,nearest_bank,Chroy_Changvar_Bridge_3_5km,Olympic_Stadium_1_2km,nearest_gas_station,Bassac_Lane_1_2km,Royal_Palace_1_2km,Koh_Pich_2_3km,Phsar_kandal_1_2km,Boeng_Keng_Kang_1_1_2km,f_footway,Sisowath_Riverside_Park_1_2km,Boeng_Keng_Kang_1_nearest,nearest_university,AEON_Mall_1_2_3km,Royal_Palace_nearest,Bassac_Lane_nearest,Olympic_Stadium_2_3km,AEON_Mall_1_1_2km,Phsar_Tmey_1_2km,Wat_Phnom_2_3km,Phnom_Penh_Airport_5_10km,Vattanac_Tower_2_3km,Russian_Market_2_3km,Phsar_Chas_2_3km,Phsar_Tmey_nearest,Vattanac_Tower_1_2km,f_tertiary,Phsar_Tmey_2_3km,Camko_City_3_5km,f_residential,Sisowath_Riverside_Park_2_3km,Wat_Phnom_3_5km,Phsar_Chas_nearest,Russian_Market_1_2km,Phsar_Chas_1_2km,Sisowath_Riverside_Park_3_5km,Chroy_Changvar_Bridge_2_3km,Phsar_kandal_2_3km,Russian_Market_3_5km,Koh_Pich_3_5km,Wat_Phnom_1_2km,Koh_Pich_1_2km,Boeng_Keng_Kang_1_2_3km,Bassac_Lane_2_3km,Royal_Palace_2_3km,f_service,Vattanac_Tower_nearest,Wat_Phnom_nearest,n_borey_in_1km_to_2km,price_per_m2
Stueng Mean Chey,4,0,1,5,1,0,2,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3068.33
Phsar Daeum Thkov,0,0,3,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,3632.23
Phnom Penh Thmei,1,1,1,0,1,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3123.13
Phnom Penh Thmei,2,1,1,0,4,3,2,20,1,1,0,1,0,7,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,3434.37
Chakto Mukh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3855.9
Boeng Trabaek,0,1,3,6,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,3764.81
Srah Chak,4,1,1,6,0,0,0,3,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,2,3820.93
Stueng Mean Chey,0,2,1,0,0,1,4,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,5,3535.31
Stueng Mean Chey,1,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,3275.95
Stueng Mean Chey,0,1,3,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3011.99
Stueng Mean Chey,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3110.88
Boeng Salang,1,1,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,3631.64
Boeng Kak Ti Pir,0,0,1,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3794.75
Boeng Salang,0,3,1,0,1,1,2,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,5,3544.96
Phnom Penh Thmei,0,0,0,0,0,0,1,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3004.71
Boeng Keng Kang Ti Bei,3,0,3,0,4,0,0,2,2,1,10,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3809.82
Srah Chak,1,0,0,1,0,4,1,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,2,3955.38
Phnom Penh Thmei,1,1,0,0,2,0,1,10,1,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3031.25
Boeng Salang,0,1,1,0,2,2,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3452.87
Chrouy Changvar,4,10,1,7,1,1,1,4,4,31,16,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,3049.18
Stueng Mean Chey,0,0,1,0,0,0,3,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3085.84
Boeng Salang,1,3,3,0,2,4,1,12,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,3614.35
Stueng Mean Chey,1,1,1,5,1,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,3,3389.81
Tuek L'ak Ti Bei,0,1,1,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3508.67
Stueng Mean Chey,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,3,3329.73
