latitude,longitude,n_cafe_5km,n_cafe_in_1km_to_2km,n_cafe_in_3km_to_5km,n_gas_station_5km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,n_mart_in_1km_to_2km,n_mart_in_3km_to_5km,n_pre_school_5km,n_pre_school_in_3km_to_5km,n_primary_school_5km,n_university_5km,n_university_in_3km_to_5km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_5km,n_super_market_in_3km_to_5km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,h3_price_mean,h3_price_max,h3_price_median,h3_price_min,price_per_m2
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,1000.0
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,1000.0
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,1000.0
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,1000.0
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,1000.0
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,1000.0
11.5633856,104.8428823,41,9,24,72,0,0,5,2,3,9,0,3,13,8,40,25,19,0,0,12,10,1,0,5,1235.632183908046,1666.6666666666667,1235.632183908046,804.5977011494252,804.5977011494252
11.589674,104.925654,141,19,86,111,12,24,67,15,47,22,15,58,75,60,49,83,70,52,29,81,47,35,70,60,1970.7172473585426,6160.75958541712,1767.7777777777778,170.13588235294117,5859.375
11.589674,104.925654,141,19,86,111,12,24,67,15,47,22,15,58,75,60,49,83,70,52,29,81,47,35,70,60,1970.7172473585426,6160.75958541712,1767.7777777777778,170.13588235294117,5859.375
11.589674,104.925654,141,19,86,111,12,24,67,15,47,22,15,58,75,60,49,83,70,52,29,81,47,35,70,60,1970.7172473585426,6160.75958541712,1767.7777777777778,170.13588235294117,5859.375
11.55,104.93,164,32,62,122,29,44,22,27,39,12,32,32,79,27,63,81,54,64,4,88,20,39,89,33,2850.3425128950394,8500.0,2714.390872285609,108.031212484994,3846.153846153846
11.55,104.93,164,32,62,122,29,44,22,27,39,12,32,32,79,27,63,81,54,64,4,88,20,39,89,33,2850.3425128950394,8500.0,2714.390872285609,108.031212484994,3846.153846153846
11.55768248,104.8713162,116,7,71,151,3,3,45,4,2,11,1,37,61,42,79,92,41,0,3,44,28,4,5,38,1778.6773490758312,1971.326164874552,1764.7058823529412,1600.0,1971.326164874552
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,6021.505376344087
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,6021.505376344087
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,6021.505376344087
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,6021.505376344087
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,6021.505376344087
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,6021.505376344087
11.500658,104.856173,17,2,15,36,0,0,1,0,0,3,0,0,1,1,14,2,2,0,0,3,3,0,0,0,1382.2546740381656,2941.176470588235,1329.850059969418,120.0,927.8350515463916
11.500658,104.856173,17,2,15,36,0,0,1,0,0,3,0,0,1,1,14,2,2,0,0,3,3,0,0,0,1382.2546740381656,2941.176470588235,1329.850059969418,120.0,927.8350515463916
11.57,104.89,180,16,106,178,11,29,69,6,4,81,18,67,100,56,86,110,32,3,114,103,70,11,29,138,3126.693060543405,6427.857142857143,3109.991662034464,1003.5122930255897,3000.0
11.57,104.89,180,16,106,178,11,29,69,6,4,81,18,67,100,56,86,110,32,3,114,103,70,11,29,138,3126.693060543405,6427.857142857143,3109.991662034464,1003.5122930255897,3000.0
11.57,104.89,180,16,106,178,11,29,69,6,4,81,18,67,100,56,86,110,32,3,114,103,70,11,29,138,3126.693060543405,6427.857142857143,3109.991662034464,1003.5122930255897,3000.0
11.57,104.89,180,16,106,178,11,29,69,6,4,81,18,67,100,56,86,110,32,3,114,103,70,11,29,138,3126.693060543405,6427.857142857143,3109.991662034464,1003.5122930255897,3000.0
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,5519.480519480519
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,5519.480519480519
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,5519.480519480519
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,5519.480519480519
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,5519.480519480519
11.5445,104.913586,177,36,85,145,36,49,22,5,36,47,23,38,90,33,79,101,62,28,68,95,35,28,59,83,2748.1060957443865,6465.517241379311,2348.279151684156,110.0,5519.480519480519
11.50338427,104.9650477,23,2,19,31,0,1,1,0,0,1,0,1,4,3,5,1,1,0,1,3,2,0,0,1,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872
11.50338427,104.9650477,23,2,19,31,0,1,1,0,0,1,0,1,4,3,5,1,1,0,1,3,2,0,0,1,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872
11.50338427,104.9650477,23,2,19,31,0,1,1,0,0,1,0,1,4,3,5,1,1,0,1,3,2,0,0,1,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872,1587.3015873015872
11.53183545,104.9241911,145,17,76,113,8,21,69,3,11,63,7,55,67,24,59,52,38,18,89,78,42,12,22,122,2200.345266166462,4767.441860465116,2197.5180972078592,175.69821428571427,2500.0
