Koh_Norea_5_10km,Phsar_Chas_nearest,Phsar_kandal_nearest,address_line_2,address_locality,h_id_price_min,n_atm_in_1km_to_2km,n_atm_in_3km_to_5km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,price_per_m2
1.0,0.0,0.0,78.0,5.0,1549.48,25.0,497.0,26.0,47.0,3357.98
0.0,0.0,0.0,48.0,0.0,2054.11,30.0,510.0,4.0,10.0,3809.3
1.0,0.0,0.0,45.0,10.0,1492.51,30.0,502.0,22.0,40.0,3437.03
1.0,0.0,0.0,45.0,10.0,1492.51,65.0,558.0,35.0,18.0,3469.7
0.0,0.0,0.0,14.0,4.0,4333.33,0.0,524.0,0.0,3.0,5442.34
0.0,0.0,0.0,10.0,0.0,2070.16,105.0,368.0,6.0,13.0,3986.47
1.0,0.0,0.0,77.0,4.0,2857.88,259.0,185.0,51.0,22.0,3858.68
1.0,0.0,0.0,78.0,5.0,1549.48,55.0,513.0,19.0,51.0,3556.95
1.0,0.0,0.0,78.0,5.0,1549.48,50.0,602.0,30.0,45.0,3512.9
1.0,0.0,0.0,78.0,5.0,1549.48,25.0,433.0,9.0,23.0,3317.34
1.0,0.0,0.0,78.0,5.0,1549.48,50.0,526.0,8.0,16.0,3325.76
1.0,0.0,0.0,8.0,11.0,1636.88,45.0,522.0,15.0,44.0,3908.61
1.0,0.0,0.0,2.0,11.0,2816.67,30.0,553.0,14.0,44.0,4079.86
1.0,0.0,0.0,8.0,11.0,1636.88,65.0,479.0,20.0,50.0,3718.54
1.0,0.0,0.0,45.0,10.0,1492.51,25.0,374.0,29.0,29.0,3142.84
0.0,0.0,0.0,3.0,0.0,2803.44,110.0,361.0,11.0,10.0,4427.46
1.0,0.0,0.0,77.0,4.0,2857.88,293.0,210.0,7.0,29.0,4226.76
1.0,0.0,0.0,45.0,10.0,1492.51,50.0,583.0,45.0,20.0,3264.27
1.0,0.0,0.0,8.0,11.0,1636.88,60.0,511.0,47.0,33.0,3670.4
0.0,1.0,1.0,22.0,2.0,1194.79,274.0,150.0,11.0,12.0,2976.01
1.0,0.0,0.0,78.0,5.0,1549.48,10.0,314.0,3.0,11.0,3299.32
1.0,0.0,0.0,8.0,11.0,1636.88,141.0,362.0,41.0,36.0,3952.15
1.0,0.0,0.0,78.0,5.0,1549.48,86.0,425.0,15.0,50.0,3665.32
1.0,0.0,0.0,83.0,11.0,2275.51,40.0,517.0,12.0,48.0,3616.06
1.0,0.0,0.0,78.0,5.0,1549.48,50.0,509.0,11.0,12.0,3641.31
1.0,0.0,0.0,1.0,11.0,2380.29,50.0,556.0,46.0,20.0,4022.95
1.0,0.0,0.0,2.0,11.0,2816.67,50.0,562.0,28.0,18.0,3987.6
1.0,0.0,0.0,84.0,11.0,2783.48,50.0,562.0,27.0,17.0,3639.2
0.0,0.0,0.0,3.0,0.0,2803.44,120.0,439.0,6.0,13.0,2803.44
1.0,0.0,0.0,47.0,11.0,3295.08,288.0,95.0,38.0,34.0,4178.67
1.0,0.0,0.0,94.0,7.0,2664.9,121.0,353.0,19.0,47.0,4350.42
0.0,0.0,0.0,48.0,0.0,2054.11,25.0,437.0,2.0,11.0,3586.3
1.0,0.0,0.0,2.0,11.0,2816.67,40.0,558.0,33.0,28.0,3852.47
1.0,0.0,0.0,50.0,11.0,2401.48,122.0,388.0,17.0,32.0,3683.72
0.0,0.0,0.0,10.0,0.0,2070.16,90.0,407.0,10.0,13.0,3899.11
1.0,0.0,0.0,83.0,11.0,2275.51,35.0,604.0,19.0,54.0,3542.14
1.0,0.0,0.0,78.0,5.0,1549.48,35.0,563.0,9.0,14.0,3503.63
1.0,0.0,0.0,77.0,4.0,2857.88,153.0,195.0,32.0,34.0,3645.96
1.0,0.0,0.0,8.0,11.0,1636.88,155.0,323.0,29.0,43.0,3907.84
1.0,0.0,0.0,2.0,11.0,2816.67,30.0,577.0,18.0,39.0,4126.46
1.0,0.0,0.0,45.0,10.0,1492.51,25.0,541.0,3.0,27.0,3396.79
1.0,0.0,0.0,11.0,5.0,1321.63,66.0,451.0,20.0,47.0,3215.66
1.0,0.0,0.0,78.0,5.0,1549.48,40.0,527.0,15.0,61.0,3454.08
1.0,0.0,0.0,2.0,11.0,2816.67,119.0,368.0,26.0,26.0,4161.51
1.0,0.0,0.0,78.0,5.0,1549.48,30.0,582.0,12.0,20.0,3472.06
1.0,0.0,0.0,78.0,5.0,1549.48,30.0,515.0,24.0,50.0,3390.51
1.0,0.0,0.0,8.0,11.0,1636.88,128.0,398.0,50.0,32.0,3767.33
1.0,0.0,0.0,85.0,11.0,2031.02,104.0,386.0,26.0,30.0,4085.8
0.0,0.0,0.0,48.0,0.0,2054.11,40.0,520.0,5.0,11.0,4091.34
0.0,0.0,0.0,81.0,0.0,2390.44,5.0,565.0,0.0,4.0,4655.9
1.0,0.0,0.0,77.0,4.0,2857.88,253.0,200.0,25.0,37.0,4081.48
1.0,0.0,0.0,83.0,11.0,2275.51,45.0,564.0,28.0,20.0,3645.37
1.0,0.0,0.0,78.0,5.0,1549.48,40.0,585.0,9.0,17.0,3524.63
1.0,0.0,0.0,83.0,11.0,2275.51,115.0,423.0,38.0,39.0,3834.56
0.0,0.0,0.0,11.0,5.0,1321.63,35.0,520.0,4.0,12.0,3179.42
1.0,0.0,0.0,2.0,11.0,2816.67,50.0,562.0,38.0,18.0,3865.48
1.0,0.0,0.0,83.0,11.0,2275.51,35.0,608.0,50.0,26.0,3422.16
1.0,0.0,0.0,45.0,10.0,1492.51,20.0,391.0,5.0,8.0,3269.61
1.0,0.0,0.0,78.0,5.0,1549.48,55.0,516.0,21.0,51.0,3672.84
0.0,0.0,0.0,48.0,0.0,2054.11,45.0,543.0,7.0,12.0,3987.16
1.0,0.0,0.0,83.0,11.0,2275.51,45.0,592.0,39.0,20.0,3591.05
1.0,0.0,0.0,8.0,11.0,1636.88,55.0,499.0,48.0,31.0,3549.48
1.0,0.0,0.0,77.0,4.0,2857.88,234.0,196.0,29.0,30.0,3631.44
1.0,0.0,0.0,50.0,11.0,2401.48,119.0,400.0,25.0,26.0,3414.15
1.0,0.0,0.0,83.0,11.0,2275.51,35.0,608.0,55.0,23.0,3813.96
1.0,0.0,0.0,86.0,10.0,925.25,40.0,544.0,47.0,24.0,3283.91
1.0,0.0,0.0,78.0,5.0,1549.48,50.0,566.0,9.0,14.0,3496.18
1.0,0.0,0.0,86.0,10.0,925.25,55.0,580.0,36.0,19.0,3218.28
1.0,0.0,0.0,77.0,4.0,2857.88,303.0,210.0,7.0,29.0,4032.22
0.0,0.0,0.0,13.0,5.0,1899.58,75.0,492.0,5.0,9.0,2943.81
1.0,0.0,0.0,84.0,11.0,2783.48,60.0,575.0,25.0,16.0,3585.42
1.0,0.0,0.0,2.0,11.0,2816.67,40.0,560.0,41.0,21.0,3822.06
1.0,0.0,0.0,84.0,11.0,2783.48,144.0,308.0,24.0,35.0,3948.61
0.0,0.0,0.0,48.0,0.0,2054.11,70.0,430.0,8.0,18.0,4168.86
1.0,0.0,0.0,45.0,10.0,1492.51,20.0,346.0,6.0,24.0,3349.66
1.0,0.0,0.0,77.0,4.0,2857.88,221.0,200.0,37.0,31.0,3911.33
1.0,0.0,0.0,47.0,11.0,3295.08,214.0,259.0,27.0,43.0,3922.63
1.0,0.0,0.0,8.0,11.0,1636.88,138.0,394.0,49.0,30.0,3889.69
0.0,1.0,1.0,22.0,2.0,1194.79,208.0,135.0,11.0,12.0,2870.66
1.0,0.0,0.0,47.0,11.0,3295.08,127.0,361.0,21.0,36.0,3566.92
1.0,0.0,0.0,77.0,4.0,2857.88,280.0,185.0,36.0,34.0,3960.09
1.0,0.0,0.0,78.0,5.0,1549.48,55.0,506.0,11.0,15.0,3635.2
1.0,0.0,0.0,78.0,5.0,1549.48,35.0,566.0,13.0,49.0,3470.45
1.0,0.0,0.0,84.0,11.0,2783.48,103.0,434.0,25.0,23.0,3620.86
0.0,0.0,0.0,48.0,0.0,2054.11,65.0,467.0,10.0,17.0,4075.03
1.0,0.0,0.0,45.0,10.0,1492.51,20.0,178.0,11.0,34.0,3092.73
1.0,0.0,0.0,84.0,11.0,2783.48,186.0,226.0,28.0,27.0,4028.53
1.0,0.0,0.0,1.0,11.0,2380.29,30.0,548.0,6.0,46.0,4181.52
1.0,0.0,0.0,49.0,11.0,3135.69,238.0,170.0,36.0,30.0,3865.39
1.0,0.0,0.0,2.0,11.0,2816.67,110.0,282.0,47.0,24.0,4267.94
1.0,0.0,0.0,84.0,11.0,2783.48,55.0,579.0,40.0,19.0,3515.89
1.0,0.0,0.0,87.0,0.0,2747.5,55.0,523.0,18.0,52.0,4872.19
1.0,0.0,0.0,45.0,10.0,1492.51,60.0,589.0,47.0,16.0,3324.47
0.0,0.0,0.0,48.0,0.0,2054.11,20.0,452.0,2.0,10.0,3759.76
0.0,0.0,0.0,10.0,0.0,2070.16,133.0,284.0,11.0,13.0,3991.84
1.0,0.0,0.0,45.0,10.0,1492.51,20.0,351.0,7.0,16.0,3390.68
1.0,0.0,0.0,2.0,11.0,2816.67,30.0,578.0,36.0,24.0,3940.29
1.0,0.0,0.0,86.0,10.0,925.25,40.0,600.0,15.0,59.0,3270.11
1.0,0.0,0.0,77.0,4.0,2857.88,73.0,331.0,9.0,39.0,3580.15
1.0,0.0,0.0,45.0,10.0,1492.51,50.0,574.0,44.0,23.0,3349.35
1.0,0.0,0.0,35.0,7.0,2707.91,276.0,105.0,42.0,33.0,3915.51
1.0,0.0,0.0,83.0,11.0,2275.51,40.0,594.0,26.0,50.0,3693.16
1.0,0.0,0.0,2.0,11.0,2816.67,126.0,389.0,20.0,28.0,4143.04
1.0,0.0,0.0,85.0,11.0,2031.02,108.0,429.0,33.0,31.0,2031.02
1.0,0.0,0.0,78.0,5.0,1549.48,70.0,436.0,15.0,49.0,3863.51
1.0,0.0,0.0,45.0,10.0,1492.51,25.0,479.0,10.0,47.0,3328.92
1.0,0.0,0.0,2.0,11.0,2816.67,67.0,509.0,36.0,23.0,4141.18
0.0,0.0,0.0,91.0,0.0,3017.34,35.0,515.0,6.0,13.0,4596.97
1.0,0.0,0.0,77.0,4.0,2857.88,314.0,195.0,7.0,25.0,4073.91
1.0,0.0,0.0,47.0,11.0,3295.08,308.0,95.0,44.0,31.0,4253.88
0.0,0.0,0.0,48.0,0.0,2054.11,30.0,405.0,2.0,8.0,3565.97
1.0,0.0,0.0,77.0,4.0,2857.88,274.0,190.0,31.0,37.0,3852.78
1.0,0.0,0.0,78.0,5.0,1549.48,55.0,496.0,12.0,19.0,3639.58
0.0,0.0,0.0,10.0,0.0,2070.16,110.0,439.0,7.0,12.0,3828.25
1.0,0.0,0.0,84.0,11.0,2783.48,50.0,602.0,36.0,18.0,3370.92
1.0,0.0,0.0,45.0,10.0,1492.51,30.0,563.0,12.0,43.0,3400.65
1.0,0.0,0.0,45.0,10.0,1492.51,25.0,361.0,10.0,45.0,3371.77
1.0,0.0,0.0,36.0,7.0,2463.7,358.0,135.0,15.0,50.0,4404.89
0.0,0.0,0.0,5.0,0.0,2616.22,258.0,182.0,15.0,51.0,2616.22
1.0,0.0,0.0,45.0,10.0,1492.51,30.0,489.0,16.0,44.0,3488.35
1.0,0.0,0.0,86.0,10.0,925.25,40.0,592.0,42.0,25.0,3245.1
1.0,0.0,0.0,78.0,5.0,1549.48,45.0,612.0,20.0,53.0,3401.7
0.0,0.0,0.0,10.0,0.0,2070.16,65.0,480.0,4.0,11.0,3383.48
1.0,0.0,0.0,2.0,11.0,2816.67,50.0,594.0,38.0,17.0,4065.08
1.0,0.0,0.0,45.0,10.0,1492.51,40.0,583.0,42.0,23.0,3340.13
1.0,0.0,0.0,45.0,10.0,1492.51,55.0,576.0,45.0,19.0,3322.86
1.0,0.0,0.0,45.0,10.0,1492.51,20.0,357.0,7.0,40.0,3366.78
1.0,0.0,0.0,49.0,11.0,3135.69,227.0,199.0,49.0,32.0,4411.53
1.0,0.0,0.0,94.0,7.0,2664.9,173.0,287.0,36.0,37.0,4555.59
1.0,0.0,0.0,78.0,5.0,1549.48,10.0,387.0,4.0,12.0,3464.72
1.0,0.0,0.0,78.0,5.0,1549.48,20.0,447.0,7.0,15.0,3516.51
1.0,0.0,0.0,84.0,11.0,2783.48,120.0,383.0,22.0,36.0,4007.19
1.0,0.0,0.0,11.0,5.0,1321.63,40.0,513.0,17.0,51.0,3151.21
0.0,0.0,0.0,81.0,0.0,2390.44,15.0,363.0,1.0,6.0,4508.64
1.0,0.0,0.0,50.0,11.0,2401.48,150.0,284.0,26.0,35.0,3591.89
1.0,0.0,0.0,49.0,11.0,3135.69,230.0,160.0,35.0,29.0,3888.18
1.0,0.0,0.0,78.0,5.0,1549.48,50.0,496.0,15.0,49.0,3663.95
1.0,0.0,0.0,51.0,11.0,2148.47,213.0,217.0,29.0,36.0,3915.33
1.0,0.0,0.0,2.0,11.0,2816.67,50.0,542.0,46.0,21.0,3843.85
1.0,0.0,0.0,2.0,11.0,2816.67,55.0,588.0,45.0,21.0,3842.03
1.0,0.0,0.0,45.0,10.0,1492.51,25.0,526.0,4.0,36.0,3339.93
0.0,0.0,0.0,13.0,5.0,1899.58,115.0,459.0,7.0,11.0,3182.41
1.0,0.0,0.0,2.0,11.0,2816.67,45.0,583.0,40.0,25.0,3986.58
0.0,1.0,0.0,95.0,4.0,3026.69,254.0,170.0,9.0,16.0,3026.69
1.0,0.0,0.0,84.0,11.0,2783.48,35.0,571.0,25.0,17.0,3774.49
1.0,0.0,0.0,84.0,11.0,2783.48,143.0,327.0,23.0,34.0,4117.27
1.0,0.0,0.0,1.0,11.0,2380.29,25.0,523.0,4.0,26.0,4021.2
1.0,0.0,0.0,78.0,5.0,1549.48,55.0,518.0,12.0,13.0,3635.69
1.0,0.0,0.0,2.0,11.0,2816.67,50.0,578.0,38.0,18.0,4153.57
1.0,0.0,0.0,50.0,11.0,2401.48,147.0,286.0,44.0,35.0,4117.84
1.0,0.0,0.0,1.0,11.0,2380.29,77.0,430.0,42.0,24.0,4201.65
1.0,0.0,0.0,78.0,5.0,1549.48,20.0,374.0,7.0,12.0,3264.08
1.0,0.0,0.0,78.0,5.0,1549.48,50.0,566.0,10.0,11.0,3492.13
1.0,0.0,0.0,2.0,11.0,2816.67,45.0,578.0,46.0,21.0,3855.14
1.0,0.0,0.0,77.0,4.0,2857.88,99.0,311.0,35.0,29.0,3653.89
1.0,0.0,0.0,78.0,5.0,1549.48,15.0,404.0,4.0,16.0,3295.91
1.0,0.0,0.0,86.0,10.0,925.25,40.0,599.0,15.0,54.0,3382.73
1.0,0.0,0.0,2.0,11.0,2816.67,30.0,548.0,12.0,47.0,3980.74
1.0,0.0,0.0,47.0,11.0,3295.08,273.0,115.0,45.0,27.0,3967.38
1.0,0.0,0.0,83.0,11.0,2275.51,50.0,571.0,51.0,22.0,3723.3
1.0,0.0,0.0,45.0,10.0,1492.51,40.0,542.0,5.0,43.0,3406.97
1.0,0.0,0.0,77.0,4.0,2857.88,129.0,308.0,5.0,9.0,3801.66
1.0,0.0,0.0,77.0,4.0,2857.88,177.0,216.0,10.0,34.0,4078.45
1.0,0.0,0.0,1.0,11.0,2380.29,45.0,574.0,40.0,25.0,4113.87
0.0,0.0,0.0,48.0,0.0,2054.11,30.0,507.0,1.0,12.0,3953.17
1.0,0.0,0.0,77.0,4.0,2857.88,155.0,218.0,6.0,33.0,4001.74
1.0,0.0,0.0,2.0,11.0,2816.67,30.0,553.0,8.0,43.0,4088.91
1.0,0.0,0.0,2.0,11.0,2816.67,55.0,571.0,28.0,16.0,3981.37
1.0,0.0,0.0,77.0,4.0,2857.88,191.0,284.0,5.0,11.0,3759.72
1.0,0.0,0.0,8.0,11.0,1636.88,55.0,499.0,45.0,33.0,3614.01
1.0,0.0,0.0,86.0,10.0,925.25,50.0,581.0,38.0,24.0,3260.68
1.0,0.0,0.0,1.0,11.0,2380.29,50.0,574.0,44.0,21.0,4089.75
1.0,0.0,0.0,77.0,4.0,2857.88,219.0,150.0,30.0,33.0,3934.65
1.0,0.0,0.0,45.0,10.0,1492.51,15.0,427.0,3.0,10.0,3327.95
1.0,0.0,0.0,77.0,4.0,2857.88,245.0,205.0,43.0,26.0,3996.55
0.0,0.0,0.0,11.0,5.0,1321.63,50.0,507.0,8.0,9.0,3215.01
0.0,0.0,0.0,81.0,0.0,2390.44,10.0,326.0,1.0,3.0,4706.78
0.0,0.0,0.0,48.0,0.0,2054.11,50.0,503.0,5.0,11.0,4050.53
0.0,0.0,0.0,10.0,0.0,2070.16,136.0,331.0,10.0,17.0,4123.62
1.0,0.0,0.0,83.0,11.0,2275.51,55.0,546.0,28.0,44.0,3639.86
1.0,0.0,0.0,8.0,11.0,1636.88,60.0,526.0,33.0,39.0,3657.21
1.0,0.0,0.0,77.0,4.0,2857.88,86.0,432.0,35.0,24.0,3656.17
0.0,0.0,0.0,48.0,0.0,2054.11,25.0,497.0,1.0,13.0,3823.75
1.0,0.0,0.0,45.0,10.0,1492.51,15.0,338.0,5.0,18.0,3401.55
1.0,0.0,0.0,77.0,4.0,2857.88,87.0,247.0,29.0,36.0,3756.67
1.0,0.0,0.0,50.0,11.0,2401.48,99.0,348.0,44.0,22.0,3643.13
1.0,0.0,0.0,45.0,10.0,1492.51,15.0,282.0,19.0,47.0,3193.76
0.0,0.0,0.0,81.0,0.0,2390.44,5.0,586.0,0.0,4.0,2390.44
1.0,0.0,0.0,84.0,11.0,2783.48,122.0,433.0,43.0,29.0,4027.4
1.0,0.0,0.0,77.0,4.0,2857.88,97.0,256.0,18.0,44.0,3664.13
0.0,0.0,0.0,48.0,0.0,2054.11,45.0,497.0,3.0,11.0,4035.13
1.0,0.0,0.0,78.0,5.0,1549.48,45.0,508.0,13.0,10.0,3580.58
1.0,0.0,0.0,77.0,4.0,2857.88,220.0,215.0,14.0,47.0,4088.9
1.0,0.0,0.0,49.0,11.0,3135.69,131.0,352.0,27.0,35.0,3615.93
1.0,0.0,0.0,8.0,11.0,1636.88,78.0,488.0,46.0,29.0,3820.34
0.0,0.0,0.0,10.0,0.0,2070.16,75.0,454.0,10.0,10.0,3755.86
1.0,0.0,0.0,78.0,5.0,1549.48,25.0,475.0,15.0,53.0,3436.11
1.0,0.0,0.0,50.0,11.0,2401.48,131.0,276.0,45.0,24.0,4055.03
0.0,0.0,0.0,10.0,0.0,2070.16,176.0,255.0,15.0,11.0,4104.36
1.0,0.0,0.0,45.0,10.0,1492.51,35.0,545.0,31.0,31.0,3351.74
0.0,0.0,0.0,10.0,0.0,2070.16,115.0,447.0,8.0,11.0,3563.24
1.0,0.0,0.0,83.0,11.0,2275.51,146.0,371.0,48.0,30.0,3924.32
1.0,0.0,0.0,2.0,11.0,2816.67,65.0,589.0,47.0,16.0,3909.08
1.0,0.0,0.0,77.0,4.0,2857.88,261.0,205.0,32.0,36.0,3902.07
1.0,0.0,0.0,83.0,11.0,2275.51,40.0,509.0,27.0,26.0,3921.08
1.0,0.0,0.0,45.0,10.0,1492.51,15.0,267.0,5.0,16.0,3301.75
0.0,0.0,0.0,11.0,5.0,1321.63,90.0,417.0,10.0,28.0,3516.61
1.0,0.0,0.0,45.0,10.0,1492.51,15.0,440.0,7.0,30.0,3514.49
1.0,0.0,0.0,45.0,10.0,1492.51,60.0,582.0,28.0,16.0,3344.98
1.0,0.0,0.0,86.0,10.0,925.25,79.0,460.0,27.0,26.0,3332.05
