Phsar_Chas_nearest,Royal_Palace_3_5km,address_line_2,address_locality,h_id,h_id_price_min,n_atm_in_1km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,nearest_resturant,price_per_m2
0.0,1.0,14.0,4.0,427.0,1880.12,0.0,35.0,524.0,0.0,5442.34
0.0,0.0,77.0,4.0,459.0,2364.28,42.0,250.0,210.0,0.0,4226.76
0.0,0.0,10.0,0.0,471.0,2070.16,30.0,213.0,407.0,3.0,3899.11
0.0,1.0,83.0,11.0,452.0,2275.51,10.0,112.0,608.0,0.0,3813.96
0.0,1.0,77.0,4.0,460.0,2235.35,15.0,336.0,331.0,0.0,3580.15
0.0,1.0,84.0,11.0,464.0,3075.99,10.0,68.0,602.0,0.0,3370.92
0.0,0.0,45.0,10.0,347.0,3301.75,5.0,45.0,361.0,0.0,3371.77
0.0,0.0,45.0,10.0,351.0,3166.66,10.0,66.0,489.0,0.0,3488.35
0.0,0.0,49.0,11.0,446.0,2148.47,31.0,368.0,199.0,0.0,4411.53
0.0,1.0,78.0,5.0,478.0,2555.99,5.0,55.0,447.0,0.0,3516.51
0.0,0.0,1.0,11.0,346.0,1866.7,10.0,72.0,523.0,0.0,4021.2
0.0,1.0,77.0,4.0,460.0,2235.35,15.0,365.0,311.0,0.0,3653.89
0.0,1.0,45.0,10.0,346.0,1866.7,5.0,73.0,542.0,0.0,3406.97
0.0,0.0,77.0,4.0,302.0,2034.02,15.0,283.0,308.0,0.0,3801.66
0.0,1.0,77.0,4.0,460.0,2235.35,25.0,402.0,256.0,0.0,3664.13
0.0,1.0,48.0,0.0,476.0,2719.42,15.0,125.0,497.0,1.0,4035.13
0.0,1.0,50.0,11.0,458.0,3510.68,41.0,357.0,276.0,0.0,4055.03
0.0,0.0,10.0,0.0,471.0,2070.16,20.0,153.0,447.0,0.0,3563.24
0.0,1.0,2.0,11.0,467.0,2816.67,5.0,61.0,589.0,1.0,3909.08
0.0,1.0,11.0,5.0,447.0,2909.01,30.0,243.0,417.0,1.0,3516.61
0.0,0.0,78.0,5.0,483.0,1754.81,0.0,50.0,283.0,0.0,3319.41
0.0,1.0,78.0,5.0,481.0,2738.12,15.0,70.0,571.0,0.0,3730.32
0.0,1.0,45.0,10.0,465.0,2779.0,5.0,40.0,571.0,0.0,3255.68
0.0,1.0,8.0,11.0,446.0,2148.47,20.0,365.0,284.0,0.0,3987.8
0.0,1.0,84.0,11.0,470.0,2401.48,25.0,263.0,417.0,0.0,3957.06
0.0,1.0,83.0,11.0,468.0,2031.02,15.0,143.0,582.0,0.0,3587.9
0.0,0.0,2.0,11.0,467.0,2816.67,5.0,51.0,527.0,0.0,3760.25
0.0,1.0,81.0,0.0,427.0,1880.12,0.0,40.0,593.0,0.0,4619.75
0.0,0.0,1.0,11.0,351.0,3166.66,0.0,72.0,502.0,0.0,4009.66
0.0,1.0,83.0,11.0,444.0,3365.54,10.0,268.0,406.0,0.0,3933.27
0.0,1.0,2.0,11.0,466.0,3843.85,5.0,86.0,574.0,1.0,3875.59
0.0,1.0,2.0,11.0,470.0,2401.48,25.0,253.0,450.0,0.0,4139.81
0.0,1.0,78.0,5.0,480.0,2968.87,15.0,225.0,475.0,0.0,3743.98
0.0,1.0,1.0,11.0,466.0,3843.85,15.0,142.0,553.0,1.0,4256.07
0.0,1.0,1.0,11.0,460.0,2235.35,37.0,426.0,236.0,0.0,4708.54
0.0,0.0,1.0,11.0,346.0,1866.7,5.0,62.0,543.0,0.0,4257.3
0.0,1.0,91.0,0.0,472.0,3191.56,10.0,100.0,543.0,1.0,5186.57
0.0,1.0,81.0,0.0,181.0,990.65,0.0,105.0,440.0,0.0,4863.41
0.0,1.0,92.0,0.0,447.0,2909.01,25.0,276.0,349.0,0.0,4864.89
0.0,0.0,7.0,4.0,461.0,2463.7,155.0,155.0,130.0,4.0,5023.72
0.0,0.0,48.0,0.0,471.0,2070.16,35.0,214.0,401.0,4.0,4641.54
1.0,0.0,95.0,4.0,317.0,2721.74,124.0,185.0,150.0,47.0,4724.83
0.0,0.0,8.0,11.0,443.0,2664.9,59.0,370.0,151.0,0.0,4699.27
0.0,1.0,81.0,0.0,475.0,2457.49,5.0,120.0,475.0,1.0,4768.94
0.0,0.0,35.0,7.0,445.0,2692.57,84.0,303.0,75.0,0.0,4060.4
0.0,0.0,94.0,7.0,443.0,2664.9,25.0,304.0,280.0,0.0,4821.74
0.0,1.0,84.0,11.0,470.0,2401.48,20.0,318.0,353.0,0.0,4147.23
0.0,0.0,56.0,4.0,461.0,2463.7,149.0,160.0,100.0,1.0,6586.75
0.0,1.0,91.0,0.0,476.0,2719.42,10.0,75.0,462.0,0.0,4594.8
0.0,1.0,1.0,11.0,458.0,3510.68,42.0,374.0,257.0,0.0,4944.52
1.0,0.0,95.0,4.0,463.0,3026.69,116.0,173.0,175.0,0.0,4268.93
0.0,0.0,8.0,11.0,443.0,2664.9,76.0,394.0,85.0,0.0,4759.29
0.0,1.0,48.0,0.0,471.0,2070.16,25.0,180.0,455.0,3.0,4358.49
0.0,1.0,1.0,11.0,350.0,1928.85,15.0,259.0,419.0,0.0,4315.27
0.0,0.0,2.0,11.0,462.0,2707.91,32.0,397.0,182.0,0.0,4467.14
0.0,0.0,47.0,11.0,445.0,2692.57,151.0,145.0,90.0,0.0,4946.56
0.0,0.0,10.0,0.0,473.0,2803.44,45.0,369.0,165.0,5.0,4753.75
0.0,0.0,1.0,11.0,460.0,2235.35,47.0,360.0,200.0,0.0,5058.61
0.0,1.0,1.0,11.0,346.0,1866.7,5.0,72.0,543.0,0.0,4249.37
1.0,0.0,77.0,4.0,461.0,2463.7,137.0,150.0,120.0,7.0,4846.99
0.0,0.0,77.0,4.0,459.0,2364.28,15.0,221.0,205.0,0.0,4202.4
0.0,1.0,81.0,0.0,475.0,2457.49,15.0,105.0,501.0,0.0,5022.53
0.0,1.0,1.0,11.0,350.0,1928.85,5.0,84.0,546.0,0.0,4419.19
0.0,1.0,81.0,0.0,181.0,990.65,0.0,120.0,490.0,0.0,4882.51
0.0,0.0,3.0,0.0,474.0,4123.62,45.0,230.0,385.0,4.0,4801.92
0.0,0.0,89.0,0.0,443.0,2664.9,15.0,322.0,289.0,0.0,5042.42
0.0,1.0,1.0,11.0,458.0,3510.68,37.0,355.0,215.0,0.0,4874.15
0.0,1.0,2.0,11.0,470.0,2401.48,25.0,250.0,480.0,0.0,4334.87
0.0,1.0,1.0,11.0,466.0,3843.85,15.0,241.0,458.0,1.0,4395.96
0.0,1.0,1.0,11.0,466.0,3843.85,15.0,216.0,487.0,1.0,4301.24
0.0,0.0,92.0,0.0,474.0,4123.62,30.0,225.0,390.0,5.0,5175.14
1.0,0.0,46.0,4.0,317.0,2721.74,117.0,242.0,190.0,1.0,3432.82
0.0,0.0,77.0,4.0,457.0,3852.78,38.0,311.0,180.0,0.0,4133.34
0.0,1.0,91.0,0.0,476.0,2719.42,10.0,105.0,525.0,1.0,4704.3
0.0,0.0,84.0,11.0,446.0,2148.47,20.0,380.0,206.0,0.0,4638.8
0.0,0.0,46.0,4.0,463.0,3026.69,128.0,125.0,170.0,4.0,4860.12
0.0,0.0,3.0,0.0,490.0,4959.11,80.0,298.0,120.0,1.0,5610.34
0.0,0.0,81.0,0.0,420.0,2587.1,15.0,227.0,393.0,0.0,5725.42
0.0,0.0,90.0,0.0,443.0,2664.9,35.0,319.0,231.0,0.0,5082.62
0.0,1.0,87.0,0.0,447.0,2909.01,25.0,268.0,417.0,0.0,5815.55
1.0,0.0,46.0,4.0,463.0,3026.69,185.0,150.0,130.0,6.0,5354.33
0.0,0.0,3.0,0.0,474.0,4123.62,45.0,296.0,286.0,1.0,5208.08
0.0,0.0,89.0,0.0,449.0,2561.4,65.0,327.0,115.0,1.0,5941.9
1.0,0.0,46.0,4.0,463.0,3026.69,205.0,140.0,120.0,14.0,5655.92
0.0,0.0,81.0,0.0,422.0,2141.65,20.0,355.0,211.0,0.0,5996.81
0.0,0.0,81.0,0.0,471.0,2070.16,20.0,170.0,455.0,0.0,5331.02
0.0,1.0,81.0,0.0,419.0,1938.98,0.0,80.0,563.0,0.0,5176.1
0.0,0.0,18.0,4.0,485.0,5041.32,200.0,107.0,120.0,8.0,6143.37
0.0,0.0,41.0,7.0,461.0,2463.7,161.0,160.0,105.0,2.0,5568.58
0.0,1.0,87.0,0.0,472.0,3191.56,15.0,200.0,425.0,4.0,5487.49
0.0,0.0,89.0,0.0,443.0,2664.9,25.0,324.0,252.0,0.0,5273.5
0.0,0.0,5.0,0.0,490.0,4959.11,77.0,184.0,137.0,15.0,5714.68
0.0,0.0,81.0,0.0,473.0,2803.44,40.0,283.0,284.0,0.0,5600.8
0.0,0.0,6.0,7.0,445.0,2692.57,133.0,216.0,75.0,1.0,5650.63
0.0,1.0,91.0,0.0,472.0,3191.56,10.0,161.0,484.0,2.0,5366.31
0.0,0.0,41.0,7.0,486.0,4942.84,202.0,130.0,90.0,5.0,5785.86
0.0,0.0,89.0,0.0,449.0,2561.4,25.0,314.0,208.0,0.0,5584.34
1.0,0.0,36.0,7.0,463.0,3026.69,148.0,155.0,155.0,2.0,5118.0
0.0,1.0,91.0,0.0,471.0,2070.16,20.0,150.0,480.0,4.0,5342.12
0.0,0.0,81.0,0.0,473.0,2803.44,30.0,307.0,246.0,1.0,6003.15
0.0,0.0,3.0,0.0,473.0,2803.44,40.0,338.0,237.0,1.0,5583.54
0.0,0.0,89.0,0.0,447.0,2909.01,40.0,293.0,235.0,0.0,5647.87
0.0,1.0,91.0,0.0,472.0,3191.56,20.0,211.0,414.0,3.0,5797.47
0.0,0.0,92.0,0.0,447.0,2909.01,30.0,265.0,331.0,1.0,5345.75
0.0,0.0,89.0,0.0,449.0,2561.4,80.0,312.0,120.0,1.0,5991.29
0.0,0.0,81.0,0.0,420.0,2587.1,10.0,184.0,426.0,0.0,5663.6
0.0,0.0,6.0,7.0,449.0,2561.4,40.0,322.0,178.0,0.0,5095.32
0.0,0.0,36.0,7.0,461.0,2463.7,133.0,175.0,90.0,1.0,5244.94
0.0,0.0,5.0,0.0,490.0,4959.11,112.0,201.0,125.0,4.0,5296.22
0.0,0.0,91.0,0.0,474.0,4123.62,50.0,311.0,165.0,1.0,6316.05
0.0,0.0,42.0,7.0,461.0,2463.7,172.0,155.0,120.0,1.0,6417.91
1.0,0.0,18.0,4.0,488.0,4508.56,228.0,102.0,115.0,20.0,6737.58
0.0,0.0,89.0,0.0,449.0,2561.4,135.0,258.0,95.0,0.0,6551.19
0.0,0.0,42.0,7.0,486.0,4942.84,137.0,195.0,95.0,1.0,6387.21
0.0,0.0,4.0,0.0,474.0,4123.62,20.0,262.0,331.0,3.0,7096.35
1.0,0.0,18.0,4.0,487.0,2976.01,97.0,179.0,145.0,50.0,6186.14
0.0,0.0,81.0,0.0,485.0,5041.32,126.0,116.0,105.0,11.0,6423.66
0.0,0.0,4.0,0.0,473.0,2803.44,15.0,167.0,428.0,0.0,6953.93
0.0,0.0,18.0,4.0,485.0,5041.32,168.0,93.0,125.0,8.0,6347.04
0.0,0.0,38.0,0.0,449.0,2561.4,67.0,308.0,110.0,0.0,6542.01
0.0,0.0,42.0,7.0,461.0,2463.7,162.0,145.0,115.0,3.0,6441.9
0.0,0.0,4.0,0.0,489.0,6047.83,65.0,323.0,143.0,10.0,8115.15
0.0,0.0,4.0,0.0,474.0,4123.62,40.0,319.0,228.0,0.0,7351.3
0.0,0.0,4.0,0.0,489.0,6047.83,70.0,374.0,140.0,9.0,8065.16
0.0,0.0,4.0,0.0,473.0,2803.44,20.0,328.0,248.0,1.0,7943.83
0.0,0.0,4.0,0.0,474.0,4123.62,40.0,306.0,178.0,1.0,7805.68
0.0,0.0,4.0,0.0,490.0,4959.11,118.0,204.0,105.0,3.0,8165.61
0.0,0.0,4.0,0.0,489.0,6047.83,50.0,335.0,149.0,7.0,8134.5
1.0,0.0,18.0,4.0,488.0,4508.56,294.0,125.0,110.0,15.0,7241.15
0.0,0.0,4.0,0.0,489.0,6047.83,56.0,215.0,147.0,11.0,8151.6
