address_locality,address_line_2,near_Koh_Pich_in_km,near_Bassac_Lane_in_km,near_Royal_Palace_in_km,near_Phnom_Penh_Airport_in_km,n_secondary_school_in_3km_to_5km,n_primary_school_5km,n_primary_school_in_3km_to_5km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_resturant_in_1km,n_super_market_5km,n_super_market_in_1km_to_2km,n_bank_5km,price_per_m2
5.0,78.0,5.751516805458087,4.003117440221304,5.059849167999767,3.942954961521019,48.0,92.0,47.0,47.0,31.0,0.0,80.0,8.0,148.0,3249.7738547542785
0.0,48.0,2.9515867837888226,2.2231509631859345,3.79710343240124,7.980455229914601,38.0,62.0,37.0,10.0,45.0,0.0,78.0,8.0,158.0,2357.960918339896
10.0,45.0,6.822753414259489,4.929488332997841,4.774171281785245,6.130609700160998,41.0,69.0,45.0,40.0,36.0,1.0,69.0,11.0,160.0,3466.326691108962
10.0,45.0,6.075819021814803,4.153497718914581,3.878483140920345,5.951666850499072,44.0,83.0,45.0,18.0,34.0,1.0,92.0,9.0,161.0,2979.374451783746
4.0,14.0,0.8110353966941863,2.915044588555176,2.7534856392626272,13.113003532887133,29.0,25.0,23.0,3.0,20.0,0.0,64.0,0.0,105.0,5133.654418543571
0.0,10.0,0.910273321446283,0.778715955496128,2.0059326937669195,10.034000532695371,29.0,55.0,23.0,13.0,50.0,4.0,82.0,25.0,148.0,3654.401267386966
4.0,77.0,3.973757532816519,3.064623233729389,2.1147202358647808,7.949386957595556,35.0,71.0,31.0,22.0,36.0,1.0,103.0,25.0,175.0,3910.317768363191
5.0,78.0,3.9419394770910063,3.098973464908826,2.96637823493206,5.985871774610219,45.0,92.0,43.0,51.0,36.0,0.0,102.0,9.0,164.0,2973.48519837288
5.0,78.0,6.165259218062768,3.890267979367231,4.87564238074552,4.8885962478196765,42.0,86.0,48.0,23.0,65.0,0.0,78.0,6.0,146.0,3159.836437696792
5.0,78.0,4.207798506963567,2.85207210163491,3.919208577976779,5.888153422326728,37.0,80.0,46.0,16.0,75.0,0.0,86.0,10.0,143.0,2899.548432656353
11.0,8.0,4.190452387556829,3.006259613575052,3.001030898336478,6.057881686915252,41.0,88.0,42.0,44.0,48.0,0.0,100.0,11.0,167.0,2956.8367110999884
11.0,2.0,6.984916946421301,5.019754257853892,5.222706331914645,6.79791944754758,41.0,67.0,43.0,44.0,37.0,0.0,67.0,10.0,161.0,4000.6048569657273
11.0,8.0,4.079771641649837,2.863859751293544,2.977050670224197,5.980420028993465,45.0,91.0,40.0,50.0,37.0,0.0,102.0,8.0,165.0,1484.538710766142
0.0,3.0,2.045528535086885,1.0808075985164536,2.141342537477531,9.061583852026576,25.0,68.0,34.0,10.0,59.0,5.0,83.0,26.0,155.0,3551.1677504171184
4.0,77.0,3.999376598106197,3.0249691696739225,1.937345341469138,8.984725535832366,34.0,53.0,29.0,29.0,55.0,3.0,90.0,27.0,167.0,3034.068245661391
10.0,45.0,6.216546826802711,5.225272262289659,4.104235928484003,5.137615514588353,45.0,79.0,46.0,20.0,29.0,1.0,84.0,9.0,163.0,2117.202369957125
11.0,8.0,4.928114516305223,2.977219250560033,3.2232975479629915,5.922388838579683,49.0,92.0,39.0,33.0,27.0,0.0,103.0,7.0,175.0,2891.18802464006
2.0,22.0,2.195107512152438,1.0766457388644517,0.2084314700119625,9.89358019213586,37.0,62.0,40.0,12.0,61.0,41.0,95.0,31.0,166.0,2886.8090020406107
11.0,8.0,3.990261855098241,2.983790124249197,3.017238761304819,6.087295763037144,39.0,88.0,37.0,36.0,23.0,0.0,105.0,12.0,178.0,1334.4339257538445
5.0,78.0,4.096384532159112,1.885148425902833,3.0850094132855634,6.868736114902579,31.0,85.0,34.0,50.0,42.0,0.0,102.0,13.0,163.0,2537.040996735759
11.0,83.0,4.967755946988138,4.0603277555536605,3.725744744347163,5.0120362774587965,47.0,93.0,53.0,48.0,44.0,0.0,87.0,7.0,150.0,1747.0566349346946
5.0,78.0,4.1239299814859125,1.9972279344491604,2.85401099307398,6.823566921385103,39.0,80.0,42.0,12.0,73.0,0.0,92.0,13.0,159.0,2321.594317441451
11.0,1.0,6.109758535602326,5.198831483700532,4.0362274990440135,5.918625793022257,41.0,75.0,47.0,20.0,37.0,1.0,85.0,8.0,168.0,4051.188580719325
11.0,2.0,5.988178815609382,4.171197081851627,4.059204499495504,6.0945953661194014,44.0,82.0,43.0,18.0,33.0,1.0,97.0,10.0,171.0,4475.7466295958575
11.0,84.0,5.907317760836315,4.0943003053319424,3.935726386763844,5.820401171423519,44.0,85.0,46.0,17.0,33.0,2.0,98.0,12.0,169.0,2749.207339268676
0.0,3.0,1.9854104912022248,1.0112553443716432,1.9489627000940768,8.80302550213718,24.0,58.0,31.0,13.0,51.0,1.0,82.0,25.0,152.0,3293.9776654035595
11.0,47.0,3.168965292172086,1.943334542381416,1.966350905163479,7.0289272797625815,26.0,84.0,34.0,34.0,31.0,0.0,104.0,34.0,168.0,2751.943005957772
7.0,94.0,4.2859219144739376,2.138289132606872,3.22827279499218,7.045201600947858,33.0,86.0,38.0,47.0,41.0,1.0,102.0,22.0,164.0,2953.421320368042
0.0,48.0,3.044664777002109,2.9234165009099056,3.928337122621585,8.768629871081563,37.0,59.0,37.0,11.0,29.0,2.0,74.0,7.0,137.0,3461.355857572472
11.0,2.0,6.996749301852827,5.047542727222993,4.959526683895584,6.068634528052039,43.0,70.0,45.0,28.0,37.0,1.0,70.0,10.0,161.0,2963.260083147825
11.0,50.0,4.834927399585771,3.104839365268882,2.818650797653419,5.969321868864234,45.0,85.0,40.0,32.0,27.0,0.0,104.0,14.0,179.0,3118.8772008019423
