n_gas_station_in_1km_to_2km,n_borey_in_3km_to_5km,n_pre_school_in_1km,address_line_2,n_atm_in_1km_to_2km,n_super_market_in_1km,n_resturant_in_1km_to_2km,h_id,n_atm_in_3km_to_5km,population,near_Phnom_Penh_Airport_in_km,n_pre_school_in_1km_to_2km,n_cafe_in_1km,near_Phsar_kandal_in_km,n_seven_eleven_in_1km_to_2km,n_university_in_2km_to_3km,n_atm_5km,n_atm_in_1km,near_AEON_Mall_3_in_km,n_university_in_3km_to_5km,price_per_m2
2,12,0,16,0,0,0,420,524,8.0,13,0,0,3,1,3,559,0,9,20,5442.34
17,15,1,84,293,1,61,452,210,29835.0,9,7,7,1,5,29,795,42,11,55,4226.76
26,22,9,10,90,6,18,464,407,18375.0,9,24,16,3,5,13,745,30,6,59,3899.11
22,21,3,95,35,3,0,445,608,16116.0,5,8,5,4,6,23,770,10,8,25,3813.96
26,11,3,84,73,0,4,453,331,36545.0,8,14,1,3,3,39,760,15,11,49,3580.15
24,17,0,52,25,1,2,340,361,3303.0,6,22,1,5,4,45,436,5,12,36,3371.77
26,18,2,52,30,2,2,344,489,4251.0,6,22,1,5,5,44,595,10,12,33,3488.35
30,21,7,56,227,2,6,439,199,20882.0,7,15,8,2,9,32,825,31,8,23,4411.53
15,16,3,85,20,2,0,471,447,16637.0,6,6,4,5,2,15,527,5,6,72,3516.51
22,10,3,1,25,2,1,339,523,3083.0,8,19,2,4,2,26,630,10,12,55,4021.2
27,13,6,84,99,7,6,453,311,36545.0,8,13,14,3,6,29,800,15,11,39,3653.89
29,11,5,52,40,3,2,339,542,3083.0,8,20,4,4,0,43,670,5,12,42,3406.97
12,16,1,84,129,2,32,296,308,11327.0,10,3,4,2,1,9,745,15,11,69,3801.66
32,10,3,84,97,3,6,453,256,36545.0,8,17,5,2,6,44,785,25,11,39,3664.13
14,24,5,55,45,2,3,469,497,27484.0,9,16,10,4,3,11,682,15,5,49,4035.13
34,12,9,57,131,8,6,451,276,7618.0,7,16,15,3,5,24,810,41,10,35,4055.03
28,18,10,10,115,4,21,464,447,18375.0,9,21,5,3,6,11,735,20,6,51,3563.24
32,19,8,2,65,4,0,460,589,4071.0,6,15,3,4,6,16,725,5,11,35,3909.08
28,14,6,11,90,8,6,440,417,21669.0,7,16,9,3,8,28,785,30,6,62,3516.61
18,20,0,85,5,0,0,476,283,20104.0,6,5,1,5,3,5,338,0,5,67,3319.41
26,16,0,85,35,2,3,474,571,25121.0,6,15,3,4,6,16,691,15,6,78,3730.32
24,18,1,52,50,2,2,458,571,4119.0,5,21,2,4,4,17,671,5,10,28,3255.68
36,17,5,8,151,3,4,439,284,20882.0,7,24,13,3,4,35,830,20,9,23,3987.8
34,17,5,96,115,3,2,463,417,15107.0,6,25,4,3,4,29,825,25,9,23,3957.06
26,20,5,2,45,3,1,460,527,4071.0,6,21,3,5,5,23,633,5,11,34,3760.25
5,11,0,91,5,0,0,420,593,8.0,12,0,0,3,3,4,638,0,9,23,4619.75
22,16,6,1,35,3,1,344,502,4251.0,6,20,2,5,5,33,614,0,11,36,4009.66
37,15,5,2,87,3,2,463,450,15107.0,6,24,4,3,4,25,820,25,9,23,4139.81
22,10,5,85,50,4,6,473,475,26582.0,7,18,3,4,7,24,775,15,6,66,3743.98
33,18,6,1,55,3,0,459,553,13220.0,6,15,5,4,6,18,765,15,10,33,4256.07
