n_atm_in_1km,n_university_in_2km_to_3km,n_gas_station_in_1km,n_borey_in_3km_to_5km,near_Phnom_Penh_Airport_in_km,near_Phsar_kandal_in_km,n_cafe_in_1km,address_line_2,n_university_in_3km_to_5km,n_mart_in_1km,n_pre_school_in_1km,nearest_atm,h_id,n_super_market_in_1km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,n_atm_5km,near_AEON_Mall_3_in_km,n_atm_in_1km_to_2km,n_hospital_in_1km,price_per_m2
10,47,0,21,3.942954961521019,4.990829296306037,2,78,31,1,1,0,450,0,50,497,579.0,8.085684493581576,25,1,3249.7738547542785
10,10,4,26,7.980455229914601,4.116847935947983,4,48,45,0,4,0,476,2,75,510,627.0,3.893582412856936,30,0,2357.960918339896
10,40,11,17,6.130609700160998,4.943461461976782,1,45,36,1,5,0,351,3,72,502,609.0,11.097598555549538,30,0,3466.326691108962
10,18,2,18,5.951666850499072,3.938124297730987,6,45,34,2,8,0,464,4,127,558,759.0,10.042649987978931,65,1,2979.374451783746
0,3,0,12,13.113003532887133,2.866904646061939,0,14,20,0,0,0,427,0,35,524,558.0,9.08388648685146,0,0,5133.654418543571
25,13,5,17,10.034000532695371,1.867804783727335,15,10,50,2,11,5,473,4,247,368,757.0,6.021449492997002,105,4,3654.401267386966
23,22,11,12,7.949386957595556,2.246737411546608,6,77,36,5,6,16,457,1,347,185,833.0,10.063886927933511,259,4,3910.317768363191
15,51,7,13,5.985871774610219,4.026793988930931,5,78,36,4,3,5,448,3,202,513,787.0,7.040615331328531,55,4,2973.48519837288
5,45,5,18,5.152327557834145,3.966041976361191,1,78,33,4,4,0,456,2,128,602,780.0,6.898593107598773,50,0,4214.009911751811
5,23,8,18,4.8885962478196765,5.019829875988985,7,78,65,0,2,0,454,2,50,433,514.0,7.361325601380975,25,0,3159.836437696792
0,16,1,14,5.888153422326728,4.0901715221908335,0,78,75,0,1,0,478,1,55,526,635.0,5.047988350991798,50,0,2899.548432656353
20,44,10,12,6.057881686915252,4.004770580449037,3,8,48,4,5,5,448,1,188,522,782.0,7.10836867488439,45,4,2956.8367110999884
15,44,11,18,6.79791944754758,3.891369823679381,5,2,37,3,5,0,351,3,62,553,666.0,10.93785644371778,30,0,4000.6048569657273
20,50,9,16,5.980420028993465,2.859753644286154,5,8,37,4,3,5,448,4,231,479,809.0,6.981958424334852,65,5,1484.538710766142
10,29,5,21,3.904342427808345,4.831809598174059,2,45,30,0,0,0,465,1,50,374,454.0,9.88222429149164,25,2,4071.368662590889
45,10,3,22,9.061583852026576,2.9179818078979007,15,3,59,5,11,5,473,6,239,361,758.0,6.21705355079259,110,7,3551.1677504171184
42,29,3,15,8.984725535832366,1.018824738172018,7,77,55,8,1,0,459,1,250,210,785.0,10.980690512922736,293,7,3034.068245661391
10,20,5,21,5.137615514588353,3.8845780110705097,2,45,29,1,5,0,467,2,57,583,698.0,10.29769261421411,50,1,2117.202369957125
20,33,7,16,5.922388838579683,3.6822172094969168,5,8,27,8,4,0,444,0,214,511,803.0,8.06515142092452,60,1,2891.18802464006
101,12,0,7,9.89358019213586,0.0,7,22,61,13,3,116,487,6,169,150,803.0,8.781667770631397,274,14,2886.8090020406107
0,11,5,20,4.996391466424039,4.93299125473151,4,78,76,0,2,0,479,1,50,314,372.0,5.830056943196518,10,0,4529.194470553039
15,36,7,17,6.087295763037144,3.008859332731392,14,8,23,8,5,5,446,3,302,362,833.0,8.064756246212832,141,3,1334.4339257538445
0,50,7,12,6.868736114902579,3.1214580653974204,7,78,42,6,7,20,448,2,264,425,797.0,6.934084205141205,86,1,2537.040996735759
5,48,14,17,5.0120362774587965,5.009826161471844,4,83,44,2,1,0,456,1,50,517,622.0,6.930240744116399,40,0,1747.0566349346946
10,12,9,7,6.823566921385103,3.763745927541008,3,78,73,0,6,0,480,3,166,509,733.0,5.877819418468329,50,3,2321.594317441451
10,20,1,16,5.918625793022257,3.985408050431265,13,1,37,4,10,5,466,7,109,556,738.0,10.999555245169422,50,1,4051.188580719325
20,18,13,17,6.0945953661194014,3.793209446535492,8,2,33,2,8,0,466,2,143,562,788.0,9.896359705110848,50,2,4475.7466295958575
20,17,15,16,5.820401171423519,3.8833656243273142,11,84,33,4,9,0,464,2,153,562,778.0,9.970455899764604,50,3,2749.207339268676
15,13,6,20,8.80302550213718,2.8519996511961723,9,3,51,2,8,5,473,3,156,439,741.0,6.045993132922665,120,5,3293.9776654035595
68,34,8,22,7.0289272797625815,2.1044732867493305,11,47,31,15,7,16,445,8,358,95,817.0,7.881690048156099,288,22,2751.943005957772
25,47,7,13,7.045201600947858,3.013134549037128,12,94,41,7,5,10,443,2,296,353,792.0,7.198012923493758,121,5,2953.421320368042
5,11,6,23,8.768629871081563,3.8418278768083383,4,48,29,0,2,0,476,2,70,437,531.0,3.836660186447782,25,0,3461.355857572472
0,28,13,16,6.068634528052039,4.136756872809363,4,2,37,2,8,5,351,4,67,558,668.0,11.022862362767304,40,0,2963.260083147825
25,32,15,15,5.969321868864234,3.0722813909186275,10,50,27,5,9,5,470,3,290,388,824.0,8.837239389943004,122,6,3118.8772008019423
30,13,6,22,9.086006044506505,2.889550835157961,16,10,59,2,9,5,471,6,213,407,741.0,6.068096697411515,90,3,4208.777639487937
15,54,14,16,4.892381338035957,4.0499172546774265,3,83,36,3,1,0,456,2,126,604,780.0,7.03181649425818,35,1,3438.88497366143
15,14,9,15,5.902233363602684,3.986113591310908,3,78,79,0,0,0,481,2,80,563,680.0,6.214858961533749,35,3,3869.836596272897
47,34,12,12,7.896321380782404,2.0404979579000324,8,77,36,7,3,5,460,5,415,195,819.0,9.97489003203757,153,1,2734.553173704817
25,43,4,16,7.07216931366955,3.0372038807750754,5,8,38,11,6,5,443,1,302,323,811.0,7.115670758428935,155,7,3005.970538400144
20,39,7,14,7.106397963076888,4.148312891424965,10,2,36,3,7,0,351,5,78,577,718.0,11.103081483617562,30,0,3764.669730625405
10,27,3,10,7.964863380571227,3.9446541693505774,4,45,55,2,2,0,346,2,74,541,658.0,12.134630381932404,25,0,2686.8945998198205
15,47,10,12,5.817476073806352,3.0426934559483407,6,11,39,7,7,10,448,3,258,451,790.0,7.092136727005283,66,5,1789.7403526687826
5,61,1,20,5.064671419328625,5.142249761770718,4,78,30,3,2,0,456,1,50,527,628.0,6.940974959719006,40,0,3588.5701033737937
15,26,9,15,7.054748267654676,3.0932669397329096,17,2,31,5,9,15,470,5,308,368,830.0,10.1715503407479,119,4,3721.694726849548
10,20,3,13,6.053886175569492,4.165454526450597,2,78,72,3,2,5,481,1,119,582,757.0,5.9436039363620194,30,4,3206.4575900506675
10,50,1,20,4.88517729387009,5.086559710086397,5,78,32,1,3,0,450,1,55,515,611.0,7.773125341550284,30,1,4526.4770220795845
15,32,9,19,5.989400581285292,2.965399546764224,3,8,25,6,5,0,444,2,279,398,822.0,8.021662893982223,128,2,3477.04418820466
20,30,5,17,6.075833920555791,3.0592613581024075,4,85,21,9,3,10,468,4,300,386,825.0,9.0883742874499,104,5,3395.4607341119445
20,11,8,24,7.959093179666596,3.790730206060928,9,48,59,3,8,10,476,4,125,520,724.0,4.907301913617223,40,0,3116.123291595742
0,4,0,11,11.997416448388526,2.811394815227794,0,81,23,0,0,0,427,0,68,565,649.0,9.035971965729717,5,0,2461.773069706217
34,37,9,13,7.890452716627262,2.0377696580623037,6,77,41,2,3,10,457,5,313,200,806.0,10.006953110178712,253,3,3795.940638956769
20,20,10,15,6.037642146749836,4.301928466244342,7,83,27,5,6,0,468,3,176,564,821.0,9.031473502302113,45,1,2883.765957764769
15,17,9,14,6.075281964992835,4.022015187026478,3,78,76,0,0,0,481,3,86,585,725.0,6.070764110576532,40,3,3421.177661223945
10,39,5,13,6.0702396000111865,2.961116801942285,4,83,32,8,3,5,444,4,257,423,812.0,6.913507632009204,115,2,2298.750990741862
