address_line_2,address_locality,h_id,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,n_university_in_2km_to_3km,near_AEON_Mall_3_in_km,near_Phnom_Penh_Airport_in_km,price_per_m2
78.0,5.0,450.0,10.0,25.0,50.0,497.0,47.0,8.085684493581576,3.942954961521019,3249.7738547542785
48.0,0.0,476.0,10.0,30.0,75.0,510.0,10.0,3.893582412856936,7.980455229914601,2357.960918339896
45.0,10.0,351.0,10.0,30.0,72.0,502.0,40.0,11.097598555549538,6.130609700160998,3466.326691108962
45.0,10.0,464.0,10.0,65.0,127.0,558.0,18.0,10.042649987978931,5.951666850499072,2979.374451783746
14.0,4.0,427.0,0.0,0.0,35.0,524.0,3.0,9.08388648685146,13.113003532887133,5133.654418543571
10.0,0.0,473.0,25.0,105.0,247.0,368.0,13.0,6.021449492997002,10.034000532695371,3654.401267386966
77.0,4.0,457.0,23.0,259.0,347.0,185.0,22.0,10.063886927933511,7.949386957595556,3910.317768363191
78.0,5.0,448.0,15.0,55.0,202.0,513.0,51.0,7.040615331328531,5.985871774610219,2973.48519837288
78.0,5.0,456.0,5.0,50.0,128.0,602.0,45.0,6.898593107598773,5.152327557834145,4214.009911751811
78.0,5.0,454.0,5.0,25.0,50.0,433.0,23.0,7.361325601380975,4.8885962478196765,3159.836437696792
78.0,5.0,478.0,0.0,50.0,55.0,526.0,16.0,5.047988350991798,5.888153422326728,2899.548432656353
8.0,11.0,448.0,20.0,45.0,188.0,522.0,44.0,7.10836867488439,6.057881686915252,2956.8367110999884
2.0,11.0,351.0,15.0,30.0,62.0,553.0,44.0,10.93785644371778,6.79791944754758,4000.6048569657273
8.0,11.0,448.0,20.0,65.0,231.0,479.0,50.0,6.981958424334852,5.980420028993465,1484.538710766142
45.0,10.0,465.0,10.0,25.0,50.0,374.0,29.0,9.88222429149164,3.904342427808345,4071.368662590889
3.0,0.0,473.0,45.0,110.0,239.0,361.0,10.0,6.21705355079259,9.061583852026576,3551.1677504171184
77.0,4.0,459.0,42.0,293.0,250.0,210.0,29.0,10.980690512922736,8.984725535832366,3034.068245661391
45.0,10.0,467.0,10.0,50.0,57.0,583.0,20.0,10.29769261421411,5.137615514588353,2117.202369957125
8.0,11.0,444.0,20.0,60.0,214.0,511.0,33.0,8.06515142092452,5.922388838579683,2891.18802464006
22.0,2.0,487.0,101.0,274.0,169.0,150.0,12.0,8.781667770631397,9.89358019213586,2886.8090020406107
78.0,5.0,479.0,0.0,10.0,50.0,314.0,11.0,5.830056943196518,4.996391466424039,4529.194470553039
8.0,11.0,446.0,15.0,141.0,302.0,362.0,36.0,8.064756246212832,6.087295763037144,1334.4339257538445
78.0,5.0,448.0,0.0,86.0,264.0,425.0,50.0,6.934084205141205,6.868736114902579,2537.040996735759
83.0,11.0,456.0,5.0,40.0,50.0,517.0,48.0,6.930240744116399,5.0120362774587965,1747.0566349346946
78.0,5.0,480.0,10.0,50.0,166.0,509.0,12.0,5.877819418468329,6.823566921385103,2321.594317441451
1.0,11.0,466.0,10.0,50.0,109.0,556.0,20.0,10.999555245169422,5.918625793022257,4051.188580719325
2.0,11.0,466.0,20.0,50.0,143.0,562.0,18.0,9.896359705110848,6.0945953661194014,4475.7466295958575
84.0,11.0,464.0,20.0,50.0,153.0,562.0,17.0,9.970455899764604,5.820401171423519,2749.207339268676
3.0,0.0,473.0,15.0,120.0,156.0,439.0,13.0,6.045993132922665,8.80302550213718,3293.9776654035595
47.0,11.0,445.0,68.0,288.0,358.0,95.0,34.0,7.881690048156099,7.0289272797625815,2751.943005957772
