n_university_in_1km_to_2km,near_AEON_Mall_2_in_km,n_hospital_in_3km_to_5km,n_atm_in_1km,n_hotel_in_1km_to_2km,n_university_in_2km_to_3km,near_Phnom_Penh_Airport_in_km,n_borey_5km,n_cafe_5km,n_cafe_in_1km,address_line_2,n_bank_in_1km,n_university_in_3km_to_5km,n_hotel_in_1km,n_university_in_1km,n_pre_school_in_1km,nearest_atm,h_id,n_super_market_in_1km,near_Koh_Pich_in_km,n_hotel_in_2km_to_3km,n_hospital_in_2km_to_3km,near_AEON_Mall_3_in_km,n_hospital_in_1km,price_per_m2
26,5,79,10,2,47,4,33,168,2,-1,5,31,1,4,1,0,-1,0,6,5,18,8,1,3357.98
4,8,83,10,2,10,8,31,143,4,-1,0,45,1,0,4,0,-1,2,3,5,17,4,0,3809.3
22,1,73,10,5,40,6,29,138,1,-1,0,36,1,2,5,0,-1,3,7,4,9,11,0,3437.03
35,2,80,10,5,18,6,30,169,6,-1,0,34,0,20,8,0,-1,4,6,5,16,10,1,3469.7
0,9,75,0,0,3,13,14,98,0,-1,0,20,0,0,0,0,-1,0,1,9,4,9,0,5442.34
6,8,41,25,19,13,10,20,156,15,-1,6,50,2,2,11,5,-1,4,1,32,40,6,4,3986.47
51,3,26,23,21,22,8,22,193,6,-1,6,36,1,3,6,16,-1,1,4,48,33,10,4,3858.68
19,5,51,15,1,51,6,28,182,5,-1,0,36,0,6,3,5,-1,3,4,7,50,7,4,3556.95
30,5,69,5,0,45,5,30,185,1,-1,0,33,1,4,4,0,-1,2,5,4,31,7,0,3512.9
9,6,83,5,1,23,5,32,153,7,-1,0,65,0,2,2,0,-1,2,6,3,9,7,0,3317.34
8,7,92,0,0,16,6,29,157,0,-1,0,75,0,1,1,0,-1,1,4,6,8,5,0,3325.76
15,6,55,20,1,44,6,27,179,3,-1,0,48,0,4,5,5,-1,1,4,5,50,7,4,3908.61
14,1,75,15,3,44,7,29,140,5,-1,0,37,1,3,5,0,-1,3,7,6,8,11,0,4079.86
20,5,45,20,1,50,6,28,182,5,-1,0,37,0,6,3,5,-1,4,4,10,53,7,5,3718.54
29,3,73,10,5,29,4,32,144,2,-1,0,30,0,6,0,0,-1,1,7,6,5,10,2,3142.84
11,7,36,45,13,10,9,28,163,15,-1,0,59,1,2,11,5,-1,6,2,30,49,6,7,4427.46
7,4,37,42,39,29,9,18,160,7,-1,1,55,5,1,1,0,-1,1,4,25,51,11,7,4226.76
45,2,77,10,5,20,5,32,153,2,-1,0,29,1,10,5,0,-1,2,6,5,12,10,1,3264.27
47,4,52,20,1,33,6,28,184,5,-1,0,27,1,6,4,0,-1,0,5,10,39,8,1,3670.4
11,6,12,101,26,12,10,10,173,7,-1,7,61,18,4,3,116,-1,6,2,6,26,9,14,2976.01
3,7,72,0,0,11,5,35,121,4,-1,0,76,0,2,2,0,-1,1,6,1,7,6,0,3299.32
41,4,25,15,3,36,6,26,191,14,-1,0,23,0,12,5,5,-1,3,4,22,45,8,3,3952.15
15,6,33,0,4,50,7,25,179,7,-1,5,42,0,5,7,20,-1,2,4,13,57,7,1,3665.32
12,5,83,5,1,48,5,29,169,4,-1,0,44,0,5,1,0,-1,1,5,3,13,7,0,3616.06
11,7,70,10,1,12,7,24,165,3,-1,0,73,0,3,6,0,-1,3,4,7,33,6,3,3641.31
46,2,76,10,3,20,6,26,161,13,-1,5,37,1,3,10,5,-1,7,6,7,19,11,1,4022.95
