address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km,near_Phsar_Chas_in_km,Phsar_Chas_nearest,Phsar_Chas_1_2km,Phsar_Chas_2_3km,Phsar_Chas_3_5km,Phsar_Chas_5_10km,near_Phsar_kandal_in_km,Phsar_kandal_nearest,Phsar_kandal_1_2km,Phsar_kandal_2_3km,Phsar_kandal_3_5km,Phsar_kandal_5_10km,n_cafe_5km,nearest_cafe,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_5km,nearest_gas_station,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_5km,nearest_hospital,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_5km,nearest_hotel,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,n_mart_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_5km,nearest_pre_school,n_pre_school_in_1km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_5km,nearest_secondary_school,n_secondary_school_in_1km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_5km,nearest_primary_school,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_5km,nearest_university,n_university_in_1km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_5km,nearest_seven_eleven,n_seven_eleven_in_1km,n_seven_eleven_in_1km_to_2km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_5km,nearest_resturant,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_5km,nearest_super_market,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_5km,nearest_borey,n_borey_in_1km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_5km,nearest_bank,n_bank_in_1km,n_bank_in_1km_to_2km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,n_atm_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,geometry,f_bridleway,f_corridor,f_cycleway,f_disused,f_footway,f_motorway,f_path,f_pedestrian,f_primary,f_residential,f_road,f_secondary,f_service,f_steps,f_tertiary,f_track,f_trunk,f_trunk_link,f_unclassified,f_unused,price_bin
Phnom Penh,Doun Penh,Phsar Kandal Ti Muoy,8865846ae7fffff,10248.02,96,96,104.92279822298867,11.569251163152174,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,172,7,18,38,46,63,143,3,6,18,40,76,112,13,17,54,17,11,90,15,42,15,11,7,110,12,17,22,39,20,94,1,4,15,26,48,76,1,9,15,22,29,69,2,4,8,23,32,99,2,7,7,35,48,35,1,7,2,10,15,120,16,67,23,6,8,96,12,16,25,17,26,13,0,0,2,2,9,164,30,23,75,16,20,815,109,251,200,145,110,POINT (104.92279822298867 11.569251163152174),0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Thmei Ti Bei,8865846ae7fffff,10521.38,142,142,104.92127799798207,11.567322445774314,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,176,5,16,48,46,61,149,3,6,24,36,80,112,13,25,49,15,10,90,10,36,29,9,6,110,6,19,34,29,22,96,1,5,17,29,44,75,3,11,12,21,28,74,3,5,6,25,35,105,2,8,11,36,48,34,1,5,4,12,12,120,7,59,42,4,8,97,9,17,29,17,25,13,0,1,1,2,9,164,31,43,55,20,15,815,92,244,244,135,100,POINT (104.92127799798207 11.567322445774314),0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Thmei Ti Muoy,8865846ae7fffff,10031.05,82,82,104.92606894982926,11.56559564983208,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,6,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,177,2,14,46,45,70,145,0,4,23,25,93,111,8,20,55,17,11,90,20,36,21,5,8,109,13,13,27,27,29,92,3,3,20,18,48,75,8,3,14,16,34,63,5,2,5,18,33,93,2,5,11,17,58,36,0,6,5,8,17,120,19,61,31,2,7,95,6,20,25,19,25,13,0,0,2,1,10,164,0,68,60,11,25,810,77,240,256,107,130,POINT (104.92606894982926 11.56559564983208),0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Kandal Ti Pir,8865846ae7fffff,10346.7,128,128,104.92581166186994,11.57153696299451,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,168,5,18,37,32,76,136,0,9,14,33,80,109,6,14,55,23,11,90,25,33,12,13,7,109,13,13,18,34,31,93,0,3,12,28,50,76,0,8,17,19,32,64,3,2,8,20,31,93,2,4,10,18,59,36,3,3,2,8,20,119,49,32,18,12,8,95,10,12,25,19,29,14,0,0,2,2,10,164,23,23,81,17,20,815,164,134,257,125,135,POINT (104.92581166186994 11.57153696299451),0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Thmei Ti Bei,8865846ae3fffff,10086.01,72,72,104.9213750298785,11.558463114494074,2,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,6,0,0,0,0,1,8,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,183,8,12,57,43,63,148,2,1,31,33,81,112,12,28,47,19,6,90,2,12,58,11,7,109,8,12,42,24,23,93,3,9,28,15,38,77,1,12,17,21,26,78,1,4,18,15,40,102,3,2,20,25,52,38,1,0,15,6,16,120,8,12,86,11,3,99,7,15,38,15,24,17,1,1,1,0,14,169,34,1,103,6,25,815,76,72,446,121,100,POINT (104.9213750298785 11.558463114494074),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Thmei Ti Pir,8865846ae7fffff,10768.05,90,90,104.92352385247725,11.570903859467103,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,170,12,9,40,42,67,143,3,6,17,41,76,111,10,19,51,20,11,90,17,43,10,13,7,110,10,17,22,37,24,93,1,3,13,27,49,76,0,11,14,20,31,66,2,3,9,23,29,98,2,5,9,31,51,35,4,3,3,8,17,119,26,55,20,10,8,96,12,12,26,18,28,14,0,0,2,2,10,164,46,8,74,21,15,815,122,206,232,135,120,POINT (104.92352385247725 11.570903859467103),0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Thmei Ti Pir,8865846ae7fffff,10937.69,56,56,104.9254097903055,11.569410953365516,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,171,5,19,36,39,72,145,0,9,14,39,83,111,8,15,54,23,11,90,31,24,17,10,8,109,17,12,18,34,28,94,0,6,16,21,51,76,1,9,16,19,31,65,3,3,7,20,32,93,2,7,8,24,52,36,3,4,2,8,19,120,43,38,25,5,9,95,13,12,26,17,27,13,0,0,2,1,10,164,23,24,80,17,20,815,142,198,210,135,130,POINT (104.9254097903055 11.569410953365516),0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Kandal Ti Muoy,8865846ae7fffff,10670.92,42,42,104.92403129858116,11.568280821235255,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,172,5,20,37,44,66,146,3,6,16,38,83,111,10,18,55,18,10,90,20,34,21,7,8,110,14,14,23,36,23,94,0,6,18,21,49,75,2,8,17,19,29,69,3,4,5,25,32,96,1,8,9,29,49,35,3,4,2,9,17,120,19,66,23,4,8,96,11,16,25,19,25,13,0,0,2,2,9,164,23,30,76,15,20,815,111,243,211,130,120,POINT (104.92403129858116 11.568280821235255),0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Thmei Ti Muoy,8865846ae7fffff,10003.07,140,140,104.92692665831264,11.567537232449588,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,177,2,22,34,42,77,145,0,4,20,26,95,109,7,19,52,22,9,90,38,17,19,7,9,109,18,8,23,28,32,92,1,4,18,16,53,76,3,6,16,16,35,63,3,3,6,19,32,93,2,5,11,12,63,36,4,3,4,6,19,120,42,39,29,1,9,95,14,11,23,21,26,13,0,0,2,1,10,164,16,30,82,11,25,810,128,208,218,111,145,POINT (104.92692665831264 11.567537232449588),0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,10000_11000
Phnom Penh,Doun Penh,Phsar Thmei Ti Muoy,8865846ae7fffff,10092.15,124,124,104.92436591806876,11.566855931821223,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,176,4,20,39,43,70,145,1,9,17,35,83,111,9,25,49,19,9,90,19,34,23,7,7,109,13,14,28,28,26,93,0,5,20,22,46,76,7,2,17,20,30,69,3,4,5,22,35,94,2,5,13,25,49,36,1,6,4,8,17,120,16,70,24,2,8,98,11,17,27,16,27,12,0,0,2,1,9,164,7,61,61,15,20,815,80,278,222,120,115,POINT (104.92436591806876 11.566855931821223),0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,10000_11000
