address_subdivision,address_locality,address_line_2,price_per_m2,land_area,price,longitude,latitude,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km,near_Phsar_Chas_in_km,Phsar_Chas_nearest,Phsar_Chas_1_2km,Phsar_Chas_2_3km,Phsar_Chas_3_5km,Phsar_Chas_5_10km,near_Phsar_kandal_in_km,Phsar_kandal_nearest,Phsar_kandal_1_2km,Phsar_kandal_2_3km,Phsar_kandal_3_5km,Phsar_kandal_5_10km,n_cafe_5km,nearest_cafe,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_5km,nearest_gas_station,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_5km,nearest_hospital,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_5km,nearest_hotel,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,n_mart_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_5km,nearest_pre_school,n_pre_school_in_1km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_5km,nearest_secondary_school,n_secondary_school_in_1km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_5km,nearest_primary_school,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_5km,nearest_university,n_university_in_1km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_5km,nearest_seven_eleven,n_seven_eleven_in_1km,n_seven_eleven_in_1km_to_2km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_5km,nearest_resturant,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_5km,nearest_super_market,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_5km,nearest_borey,n_borey_in_1km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_5km,nearest_bank,n_bank_in_1km,n_bank_in_1km_to_2km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,n_atm_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,f_bridleway,f_corridor,f_cycleway,f_disused,f_footway,f_motorway,f_path,f_pedestrian,f_primary,f_residential,f_road,f_secondary,f_service,f_steps,f_tertiary,f_track,f_trunk,f_trunk_link,f_unclassified,f_unused,geometry,population,h_id,mean_price_per_m2,max_price_per_m2,median_price_per_m2,min_price_per_m2
Phnom Penh,Doun Penh,Chakto Mukh,5442.34,200.0,1088468.0,104.95821817730398,11.558387501864685,1,0,1,0,0,0,5,0,0,0,0,1,3,0,0,0,1,0,9,0,0,0,0,1,9,0,0,0,0,1,3,0,0,0,1,0,1,0,1,0,0,0,8,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,13,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,1,0,98,0,0,2,21,75,49,0,0,2,7,40,79,0,0,0,4,75,83,0,0,0,9,74,60,0,0,1,4,55,44,0,0,0,3,41,34,0,0,0,5,29,24,0,0,0,1,23,23,0,0,0,3,20,21,0,0,1,4,16,112,0,0,0,2,110,64,0,0,0,8,56,14,0,0,0,2,12,104,0,0,0,0,104,559,0,0,0,35,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (104.958218177304 11.55838750186468),8.0,8865846a39fffff,4968.196666666667,5442.34,4842.5,4619.75
Phnom Penh,Doun Penh,Srah Chak,4226.76,248.0,1048236.48,104.9205562206213,11.584438472586664,4,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,11,0,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,9,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,160,1,7,31,39,82,120,4,3,17,35,61,112,0,7,17,51,37,87,1,5,39,25,17,104,0,8,23,26,47,86,0,1,7,26,52,69,4,2,9,20,34,54,1,1,8,15,29,92,0,1,7,29,55,32,0,0,5,10,17,116,0,3,61,31,21,90,1,1,27,24,37,18,0,0,2,1,15,164,0,1,57,72,34,795,0,42,293,250,210,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,POINT (104.9205562206213 11.58443847258666),29835.0,8865846aa5fffff,3792.457,4414.29,3961.0150000000003,2608.12
Phnom Penh,Chamkar Mon,Boeng Trabaek,3899.11,72.0,280735.92,104.92047431170108,11.539411928493374,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,9,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,164,2,16,33,33,80,128,2,6,26,25,69,111,0,3,17,44,47,86,1,1,9,16,59,94,2,2,22,23,45,70,3,9,24,13,21,62,1,6,11,23,21,67,0,8,7,20,32,84,1,1,10,13,59,33,1,5,5,5,17,118,3,2,18,14,81,83,2,6,19,21,35,28,0,0,1,5,22,154,10,0,19,60,65,745,5,30,90,213,407,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,POINT (104.9204743117011 11.53941192849337),18375.0,8865846ac1fffff,2985.1636959820307,6250.0,3178.9473684210525,93.75
Phnom Penh,Tuol Kouk,Tuek L'ak Ti Bei,3813.96,76.0,289860.96,104.88622400954624,11.558990020911638,6,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,8,0,0,0,0,1,4,0,0,0,1,0,7,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,180,2,5,20,34,119,183,1,11,22,46,103,109,0,4,5,23,77,89,1,0,2,6,80,98,1,2,14,18,63,96,1,3,8,29,55,78,1,1,8,19,49,95,1,3,20,24,47,109,2,4,55,23,25,38,0,0,6,7,25,117,0,0,0,2,115,97,0,3,7,15,72,33,0,1,3,8,21,174,0,0,5,50,119,770,5,10,35,112,608,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,POINT (104.8862240095462 11.55899002091164),16116.0,8865846a95fffff,3456.0739999999996,3813.96,3458.42,3193.3
Phnom Penh,Doun Penh,Srah Chak,3580.15,234.0,837755.1,104.90910544524876,11.589344473842464,5,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,1,0,11,0,0,0,0,0,4,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,1,0,8,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,148,2,1,23,54,68,130,4,1,26,38,61,108,0,0,10,36,62,86,1,0,10,34,41,101,0,4,11,29,57,83,0,3,14,18,48,67,2,4,10,15,36,58,1,3,6,17,31,98,0,1,9,39,49,28,0,0,3,11,14,114,0,0,4,53,57,83,2,0,10,28,43,21,0,1,1,8,11,164,0,0,11,107,46,760,5,15,73,336,331,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,POINT (104.9091054452488 11.58934447384246),36545.0,8865846aa7fffff,3389.313104394305,5103.99,3617.02,1300.0
Phnom Penh,Saensokh,Phnom Penh Thmei,3371.77,92.0,310202.84,104.88526244769672,11.59104745895662,7,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,1,9,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,130,2,1,27,18,82,144,8,2,24,27,83,70,0,0,1,4,65,37,0,0,5,3,29,58,0,1,5,9,43,60,2,0,22,10,26,56,0,0,12,5,39,60,1,0,8,8,43,91,0,0,10,45,36,20,0,1,4,4,11,35,0,0,2,0,33,51,1,1,10,6,33,29,1,4,3,4,17,113,0,5,15,5,88,436,0,5,25,45,361,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,POINT (104.8852624476967 11.59104745895662),3303.0,88658468c3fffff,3378.35,3392.54,3371.77,3370.74
Phnom Penh,Saensokh,Phnom Penh Thmei,3488.35,144.0,502322.4,104.88626577369628,11.588413108036756,7,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,12,0,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,134,1,1,26,26,80,143,4,6,26,29,78,83,0,0,2,8,73,54,0,0,6,4,44,74,0,2,7,12,53,60,1,2,22,8,27,57,0,1,10,9,37,66,1,0,11,11,43,95,0,2,16,44,33,24,0,1,5,5,13,62,0,0,2,0,60,64,1,2,9,9,43,30,2,3,4,3,18,155,0,0,25,0,130,595,0,10,30,66,489,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,POINT (104.8862657736963 11.58841310803676),4251.0,88658468cbfffff,3599.643483965014,4532.53,3508.665,2011.661807580175
Phnom Penh,Tuol Kouk,Phsar Depou Ti Bei,4411.53,244.0,1076413.3199999998,104.90341460663151,11.559422610938611,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,8,0,0,0,0,1,2,0,0,1,0,0,5,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,7,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,187,1,8,41,71,66,164,1,13,30,56,64,114,0,10,49,46,9,96,0,0,8,45,43,110,3,12,27,41,27,98,1,7,15,52,23,82,1,7,15,27,32,88,2,10,10,35,31,113,2,7,49,32,23,36,0,1,9,14,12,120,0,0,6,71,43,105,0,2,20,49,34,28,0,1,1,5,21,179,0,6,73,70,30,825,0,31,227,368,199,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,POINT (104.9034146066315 11.55942261093861),20882.0,8865846a87fffff,3467.0865156345035,5833.333333333333,3272.6423902894494,855.1198257080611
Phnom Penh,Mean Chey,Stueng Mean Chey,3516.51,98.0,344617.98000000004,104.8947406018621,11.53480277335424,5,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,6,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,141,0,4,8,32,97,147,0,10,15,32,90,101,0,0,5,6,90,41,0,0,0,2,39,68,0,0,3,24,41,76,0,3,6,17,50,60,0,3,6,15,36,78,1,3,13,18,43,97,0,3,7,15,72,28,0,2,2,7,17,43,0,0,0,6,37,77,0,2,4,16,55,31,0,2,8,5,16,141,0,0,0,10,131,527,0,5,20,55,447,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,POINT (104.8947406018621 11.53480277335424),16637.0,8865846ad1fffff,2152.032064913135,5319.148936170213,1999.0,622.791519434629
Phnom Penh,Tuol Kouk,Boeng Kak Ti Muoy,4021.2,80.0,321696.0,104.89509950019936,11.596299661840732,7,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,12,0,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,8,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,125,1,2,21,19,82,132,0,4,22,32,74,79,0,0,0,3,76,67,0,0,3,4,60,71,1,1,6,12,51,58,0,3,19,12,24,57,0,2,7,14,34,49,0,0,7,11,31,89,0,4,4,26,55,22,0,2,2,4,14,82,0,0,1,3,78,61,1,2,7,10,41,24,0,1,7,6,10,150,0,0,15,10,125,630,0,10,25,72,523,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,POINT (104.8950995001994 11.59629966184073),3083.0,88658468c1fffff,3161.609085447263,4293.99,3028.79,1672.8971962616822
