address_subdivision,address_locality,address_line_2,h_id,category_name,type,price_per_m2,land_area,price,longitude,latitude,population
Phnom Penh,Meanchey,Chak Angrae Leu,8865846ac7fffff,Flat,residential,1000.0,420.0,420000.0,104.913586,11.5445,23239.0
Phnom Penh,Por Sen Chey,Kakap,8865846f01fffff,Apartment,residential,804.5977011494252,435.0,350000.0,104.8428823,11.5633856,6724.0
Phnom Penh,Chroy Changvar,Chroy Changvar,8865846819fffff,other,commercial,5859.375,512.0,3000000.0,104.925654,11.589674,11327.0
Phnom Penh,Chamkarmon,Toul Svay Prey 1,8865846ae9fffff,other,commercial,3846.153846153846,650.0,2500000.0,104.93,11.55,7658.0
Phnom Penh,Sen Sok,Tuek Thla,8865846f69fffff,Apartment,residential,1971.326164874552,837.0,1650000.0,104.8713162,11.55768248,12095.0
Phnom Penh,Chamkarmon,BKK 3,8865846ac7fffff,Apartment,residential,6021.505376344087,465.0,2800000.0,104.913586,11.5445,23239.0
Phnom Penh,Dangkao,Dangkao,8865846183fffff,House,residential,927.8350515463916,485.0,450000.0,104.856173,11.500658,2310.0
Phnom Penh,Toul Kork,Boeung Kak 2,8865846ab1fffff,House,residential,3000.0,1200.0,3600000.0,104.89,11.57,5039.0
Phnom Penh,Chamkarmon,BKK 3,8865846ac7fffff,other,commercial,5519.480519480519,154.0,850000.0,104.913586,11.5445,23239.0
Phnom Penh,Chbar Ampov,Preaek Pra,886584616dfffff,Villa,residential,1587.3015873015872,6300.0,10000000.0,104.9650477,11.50338427,74.0
Phnom Penh,Chamkarmon,Phsar Daeum Thkov,8865846ac9fffff,Flat,residential,2500.0,530.0,1325000.0,104.9241911,11.53183545,22796.0
Phnom Penh,Chamkarmon,Phsar Daeum Thkov,8865846ac9fffff,Flat,residential,2500.0,530.0,1325000.0,104.9241928,11.53183628,22796.0
Phnom Penh,Chbar Ampov,Nirouth,8865846125fffff,Shophouse,residential,4920.6349206349205,252.0,1240000.0,104.941454,11.52928,11754.0
Phnom Penh,Chamkarmon,Tonle Bassac,8865846ac7fffff,Villa,residential,6300.0,1074.0,6766200.0,104.913586,11.5445,23239.0
Phnom Penh,Dangkao,Dangkao,886584611bfffff,Flat,residential,1190.4761904761904,126.0,150000.0,104.9,11.48,1551.0
Phnom Penh,Daun Penh,Phsar Thmei I,8865846aadfffff,Shophouse,residential,4795.918367346939,392.0,1880000.0,104.92025,11.57561,16252.0
Phnom Penh,Chamkarmon,BKK 1,8865846aebfffff,Shophouse,residential,6300.0,266.0,1675800.0,104.9248861,11.55176911,18149.0
Phnom Penh,Chroy Changvar,Chroy Changvar,8865846819fffff,Shophouse,residential,2700.0,3410.0,9207000.0,104.925654,11.589674,11327.0
Phnom Penh,Russey Keo,Kilomaetr Lekh Prammuoy,8865846817fffff,Villa,residential,725.0,800.0,580000.0,104.9188778,11.60914343,5147.0
Phnom Penh,Por Sen Chey,Kakap,8865846ae9fffff,House,residential,1257.4423480083858,238.5,299900.0,104.93,11.55,7658.0
Phnom Penh,Dangkao,Dangkao,8865846183fffff,House,residential,2397.9591836734694,196.0,470000.0,104.856173,11.500658,2310.0
Phnom Penh,Chamkarmon,BKK 1,8865846aebfffff,Villa,residential,5200.0,1134.0,5896800.0,104.9249157,11.54988209,18149.0
Phnom Penh,Chbar Ampov,Preaek Aeng,8865846a51fffff,Villa,residential,8.5,400000.0,3400000.0,104.962474,11.522551,3342.0
Phnom Penh,Meanchey,Stueng Mean chey,8865846addfffff,Flat,residential,1227.5132275132275,94.5,116000.0,104.91,11.53,24762.0
Phnom Penh,7 Makara,Boeung Prolit,8865846ac7fffff,House,residential,5985.7837635615415,267.3,1600000.0,104.9140508,11.54787665,23239.0
Phnom Penh,Meanchey,Stueng Mean chey,8865846addfffff,House,residential,1666.6666666666667,216.0,360000.0,104.91,11.53,24762.0
Phnom Penh,Chamkarmon,BKK 1,8865846ac7fffff,Villa,residential,5555.555555555556,360.0,2000000.0,104.913586,11.5445,23239.0
Phnom Penh,Toul Kork,Boeung Kak 2,8865846a87fffff,Retreat,residential,5691.056910569106,246.0,1400000.0,104.898461,11.562248,20882.0
