address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km,near_Phsar_Chas_in_km,Phsar_Chas_nearest,Phsar_Chas_1_2km,Phsar_Chas_2_3km,Phsar_Chas_3_5km,Phsar_Chas_5_10km,near_Phsar_kandal_in_km,Phsar_kandal_nearest,Phsar_kandal_1_2km,Phsar_kandal_2_3km,Phsar_kandal_3_5km,Phsar_kandal_5_10km,n_cafe_5km,nearest_cafe,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_5km,nearest_gas_station,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_5km,nearest_hospital,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_5km,nearest_hotel,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,n_mart_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_5km,nearest_pre_school,n_pre_school_in_1km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_5km,nearest_secondary_school,n_secondary_school_in_1km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_5km,nearest_primary_school,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_5km,nearest_university,n_university_in_1km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_5km,nearest_seven_eleven,n_seven_eleven_in_1km,n_seven_eleven_in_1km_to_2km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_5km,nearest_resturant,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_5km,nearest_super_market,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_5km,nearest_borey,n_borey_in_1km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_5km,nearest_bank,n_bank_in_1km,n_bank_in_1km_to_2km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,n_atm_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,geometry,f_bridleway,f_corridor,f_cycleway,f_disused,f_footway,f_motorway,f_path,f_pedestrian,f_primary,f_residential,f_road,f_secondary,f_service,f_steps,f_tertiary,f_track,f_trunk,f_trunk_link,f_unclassified,f_unused
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a91fffff,1579.0,52,82108.0,104.88310022060264,11.55293201259622,6,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,8,0,0,0,0,1,4,0,0,0,1,0,7,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,168,4,2,16,26,120,174,7,0,22,36,109,103,0,1,5,18,79,44,0,1,2,5,36,80,0,1,10,16,53,88,1,1,10,16,60,73,0,2,7,16,48,92,2,7,11,25,47,108,0,4,26,47,31,32,0,1,3,6,22,45,0,0,0,1,44,82,1,0,8,12,61,33,1,2,2,7,21,148,0,5,0,5,138,582,0,10,25,50,497,POINT (104.88310022060264 11.55293201259622),0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Phnom Penh,Chamkar Mon,Phsar Daeum Thkov,8865846acbfffff,2758.0,178,490924.0,104.91500317094444,11.528833076177357,3,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,8,0,0,0,0,1,4,0,0,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,8,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,143,0,4,23,30,86,113,3,4,19,26,61,100,0,0,0,17,83,71,0,1,2,5,63,83,0,0,7,20,56,68,1,4,8,21,34,61,1,4,7,11,38,62,2,1,7,15,37,59,0,0,4,10,45,32,0,3,3,6,20,88,1,0,6,8,73,79,1,2,8,14,54,31,0,0,3,2,26,158,0,0,15,1,142,625,0,10,30,75,510,POINT (104.91500317094444 11.528833076177357),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Saensokh,Phnom Penh Thmei,88658468cbfffff,4320.0,138,596160.0,104.88616265240915,11.586712766887011,7,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,11,0,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,138,1,1,26,30,80,148,2,11,20,39,76,84,0,0,2,9,73,58,0,1,5,4,48,80,1,1,7,13,58,62,1,5,20,9,27,61,0,1,10,9,41,69,1,1,11,11,45,100,0,2,22,40,36,25,0,1,4,6,14,64,0,1,1,0,62,69,0,3,11,8,47,29,1,3,5,3,17,161,0,0,25,0,136,614,0,10,30,72,502,POINT (104.88616265240915 11.586712766887011),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Saensokh,Phnom Penh Thmei,8865846ab1fffff,3762.0,162,609444.0,104.8895286363168,11.575789508097174,6,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,2,0,0,1,0,0,10,0,0,0,0,0,4,0,0,0,1,0,7,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,169,2,6,26,41,94,169,7,2,39,36,85,108,0,1,11,16,80,86,1,0,5,5,75,100,1,2,14,20,63,89,4,8,17,13,47,75,3,2,10,16,44,83,2,6,14,16,45,110,3,20,35,18,34,34,1,1,6,5,21,108,1,1,0,3,103,93,2,4,9,15,63,30,1,1,5,5,18,163,0,0,10,61,92,760,0,10,65,127,558,POINT (104.8895286363168 11.575789508097174),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Doun Penh,Chakto Mukh,8865846a39fffff,5242.0,200,1048400.0,104.95821817730398,11.558387501864685,1,0,1,0,0,0,5,0,0,0,0,1,3,0,0,0,1,0,9,0,0,0,0,1,9,0,0,0,0,1,3,0,0,0,1,0,1,0,1,0,0,0,8,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,13,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,1,0,98,0,0,2,21,75,49,0,0,2,7,40,79,0,0,0,4,75,83,0,0,0,9,74,60,0,0,1,4,55,44,0,0,0,3,41,34,0,0,0,5,29,24,0,0,0,1,23,23,0,0,0,3,20,21,0,0,1,4,16,112,0,0,0,2,110,64,0,0,0,8,56,14,0,0,0,2,12,104,0,0,0,0,104,559,0,0,0,35,524,POINT (104.95821817730398 11.558387501864685),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Chamkar Mon,Boeng Trabaek,8865846ac5fffff,3090.0,202,624180.0,104.9304981593516,11.54352328083331,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,7,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,2,0,0,1,0,0,10,0,0,0,0,0,3,0,0,0,1,0,2,0,0,1,0,0,156,0,15,38,38,65,117,0,5,15,34,63,108,1,4,22,40,41,85,0,2,19,32,32,94,1,2,24,28,39,69,2,11,21,15,20,64,0,5,12,18,29,54,0,5,9,17,23,71,0,2,6,13,50,33,0,3,6,8,16,118,0,4,23,35,56,83,1,4,25,29,24,20,0,0,1,2,17,149,0,6,23,28,92,750,5,25,105,247,368,POINT (104.9304981593516 11.54352328083331),0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Doun Penh,Srah Chak,8865846aa1fffff,2716.5,48,130392.0,104.9070265688362,11.57574950631558,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,8,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,193,4,6,55,34,94,159,4,11,40,29,75,113,1,4,49,33,26,92,1,1,21,48,21,109,1,5,19,61,23,101,0,6,24,19,52,82,0,2,23,22,35,73,0,4,20,18,31,112,0,3,51,22,36,37,0,1,9,10,17,119,0,1,14,82,22,103,4,1,25,37,36,22,0,0,2,8,12,179,0,6,82,55,36,830,16,23,259,347,185,POINT (104.9070265688362 11.57574950631558),0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a8bfffff,1448.5,204,295494.0,104.89679551220055,11.548891460618432,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,5,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0,6,0,0,0,0,1,5,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,182,0,5,25,51,101,171,0,7,36,37,91,113,1,4,7,50,51,97,0,0,1,7,89,103,2,4,20,23,54,93,0,3,17,24,49,77,1,2,16,13,45,91,4,1,19,24,43,112,0,6,19,51,36,36,0,1,4,14,17,120,0,0,1,12,107,102,0,3,9,28,62,28,0,0,5,10,13,164,0,0,5,79,80,790,5,15,55,202,513,POINT (104.89679551220055 11.548891460618432),0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a9dfffff,3059.5,46,140737.0,104.89006731477264,11.551732280141396,5,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,5,0,0,0,0,1,7,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,185,1,1,28,35,120,176,1,5,25,54,91,113,0,0,13,31,69,93,0,1,0,4,88,102,1,4,13,22,62,98,0,4,11,23,60,81,1,2,12,17,49,95,0,10,17,21,47,113,1,4,30,45,33,37,0,0,6,8,23,118,0,0,0,1,117,101,0,2,5,21,73,30,0,2,4,6,18,169,0,0,10,40,119,785,0,5,50,128,602,POINT (104.89006731477264 11.551732280141396),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a99fffff,2111.5,168,354732.0,104.88742480021185,11.542043904615618,6,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,6,0,0,0,0,1,7,0,0,0,0,1,4,0,0,0,1,0,7,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,153,0,7,6,34,106,152,2,8,11,37,94,97,0,0,5,9,83,38,0,0,1,3,34,71,1,0,4,20,46,88,1,2,5,15,65,64,0,3,4,15,42,85,0,5,15,17,48,101,2,2,9,23,65,31,0,3,1,3,24,47,0,0,0,1,46,80,0,2,6,8,64,32,0,4,6,4,18,147,0,0,5,5,137,513,0,5,25,50,433,POINT (104.88742480021185 11.542043904615618),0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
