address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km,near_Phsar_Chas_in_km,Phsar_Chas_nearest,Phsar_Chas_1_2km,Phsar_Chas_2_3km,Phsar_Chas_3_5km,Phsar_Chas_5_10km,near_Phsar_kandal_in_km,Phsar_kandal_nearest,Phsar_kandal_1_2km,Phsar_kandal_2_3km,Phsar_kandal_3_5km,Phsar_kandal_5_10km,n_cafe_5km,nearest_cafe,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_5km,nearest_gas_station,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_5km,nearest_hospital,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_5km,nearest_hotel,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,n_mart_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_5km,nearest_pre_school,n_pre_school_in_1km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_5km,nearest_secondary_school,n_secondary_school_in_1km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_5km,nearest_primary_school,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_5km,nearest_university,n_university_in_1km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_5km,nearest_seven_eleven,n_seven_eleven_in_1km,n_seven_eleven_in_1km_to_2km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_5km,nearest_resturant,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_5km,nearest_super_market,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_5km,nearest_borey,n_borey_in_1km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_5km,nearest_bank,n_bank_in_1km,n_bank_in_1km_to_2km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,n_atm_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,geometry,f_bridleway,f_corridor,f_cycleway,f_disused,f_footway,f_motorway,f_path,f_pedestrian,f_primary,f_residential,f_road,f_secondary,f_service,f_steps,f_tertiary,f_track,f_trunk,f_trunk_link,f_unclassified,f_unused
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a91fffff,3623.519815279176,52.88270172623942,191621.5175905268,104.88310022060264,11.55293201259622,5.896038050535182,0,0,0,0,1,2.944674080543825,0,0,0,1,0,4.959322278344347,0,0,0,0,1,4.9548860209276775,0,0,0,0,1,8.035594222751843,0,0,0,0,1,4.023447582178189,0,0,0,1,0,6.967931396957561,0,0,0,0,1,3.9657712535462597,0,0,0,1,0,2.9856826035244883,0,0,0,1,0,3.9489816669603175,0,0,0,1,0,3.9789400934874055,0,0,0,1,0,3.993262848431671,0,0,0,1,0,4.995620240050201,0,0,0,0,1,3.878201736347469,0,0,0,1,0,5.025767898565479,0,0,0,0,1,5.097143408521163,0,0,0,0,1,3.950576517179818,0,0,0,1,0,5.076110352210736,0,0,0,0,1,5.110855650184403,0,0,0,0,1,167.0,4,2,16,26,120,174.0,7,0,22,36,109,103.0,0,1,5,18,79,44.0,0,1,2,5,36,80.0,0,1,10,16,53,88.0,1,1,10,16,60,72.0,0,2,7,16,48,92.0,2,7,11,25,47,108.0,0,4,26,47,31,32.0,0,1,3,6,22,46.0,0,0,0,1,44,82.0,1,0,8,12,61,33.0,1,2,2,7,21,148.0,0,5,0,5,138,581.0,0,10,25,50,497,POINT (104.88310022060264 11.55293201259622),0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Phnom Penh,Chamkar Mon,Phsar Daeum Thkov,8865846acbfffff,3083.674206250095,177.72116385578127,548034.1688868194,104.91500317094444,11.528833076177357,3.1051754891093633,0,0,0,1,0,0.9874267015907219,0,1,0,0,0,2.0333095363576636,0,0,1,0,0,7.995603215714525,0,0,0,0,1,4.093791585762333,0,0,0,1,0,2.0335508571646987,0,0,1,0,0,3.9506231439693944,0,0,0,1,0,7.041680203698112,0,0,0,0,1,2.9487140518958572,0,0,0,1,0,4.040277119987068,0,0,0,1,0,1.9230377833532333,0,0,1,0,0,5.055283997183374,0,0,0,0,1,6.057167340034582,0,0,0,0,1,3.942015043676184,0,0,0,1,0,3.928505957097164,0,0,0,1,0,4.018448152150943,0,0,0,1,0,8.016186844292926,0,0,0,0,1,4.958605187915076,0,0,0,0,1,4.081949359787543,0,0,0,1,0,144.0,0,4,23,30,86,112.0,3,4,19,26,61,100.0,0,0,0,17,83,71.0,0,1,2,5,63,83.0,0,0,7,20,56,68.0,1,4,8,21,34,61.0,1,4,7,11,38,62.0,2,1,7,15,37,58.0,0,0,4,10,45,32.0,0,3,3,6,20,88.0,1,0,6,8,73,79.0,1,2,8,14,54,31.0,0,0,3,2,26,159.0,0,0,15,1,142,624.0,0,10,30,75,510,POINT (104.91500317094444 11.528833076177357),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Saensokh,Phnom Penh Thmei,88658468cbfffff,3084.9069828620304,138.3223880310944,426711.70072327444,104.88616265240915,11.586712766887011,6.952077960853554,0,0,0,0,1,4.998573562399119,0,0,0,0,1,6.0810321471470985,0,0,0,0,1,1.036208932483776,0,1,0,0,0,11.038369569114504,0,0,0,0,0,5.065230802802522,0,0,0,0,1,8.096095097415178,0,0,0,0,1,0.0,1,0,0,0,0,3.03212515687234,0,0,0,1,0,3.06870284646907,0,0,0,1,0,5.013494612648589,0,0,0,0,1,2.927648911071393,0,0,0,1,0,3.055287699672185,0,0,0,1,0,2.941097021000974,0,0,0,1,0,4.9650703042613635,0,0,0,0,1,5.050293552911906,0,0,0,0,1,5.989953928271009,0,0,0,0,1,4.0223696530866455,0,0,0,1,0,4.926310851591841,0,0,0,0,1,139.0,1,1,26,30,80,148.0,2,11,20,39,76,84.0,0,0,2,9,73,58.0,0,1,5,4,48,80.0,1,1,7,13,58,62.0,1,5,20,9,27,61.0,0,1,10,9,41,70.0,1,1,11,11,45,100.0,0,2,22,40,36,25.0,0,1,4,6,14,64.0,0,1,1,0,62,69.0,0,3,11,8,47,29.0,1,3,5,3,17,161.0,0,0,25,0,136,614.0,0,10,30,72,502,POINT (104.88616265240915 11.586712766887011),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Saensokh,Phnom Penh Thmei,8865846ab1fffff,3254.0189769463373,162.32394660238418,528205.202656982,104.8895286363168,11.575789508097174,6.0290063101731235,0,0,0,0,1,4.036937995741482,0,0,0,1,0,5.0509907525404625,0,0,0,0,1,2.04514875952765,0,0,1,0,0,10.023672418490115,0,0,0,0,0,4.029270244309804,0,0,0,1,0,7.002022638233571,0,0,0,0,1,2.0180936226735167,0,0,1,0,0,2.100101554808946,0,0,1,0,0,3.0121237424336202,0,0,0,1,0,4.027636621867108,0,0,0,1,0,3.0371489857695617,0,0,0,1,0,2.974570816674656,0,0,0,1,0,2.9063518470726573,0,0,0,1,0,3.9252349822278774,0,0,0,1,0,4.01573135951011,0,0,0,1,0,6.082346420234369,0,0,0,0,1,3.0380834213843104,0,0,0,1,0,4.029853554585161,0,0,0,1,0,169.0,2,6,26,41,94,169.0,7,2,39,36,85,108.0,0,1,11,16,80,87.0,1,0,5,5,75,100.0,1,2,14,20,63,89.0,4,8,17,13,47,75.0,3,2,10,16,44,82.0,2,6,14,16,45,111.0,3,20,35,18,34,34.0,1,1,6,5,21,109.0,1,1,0,3,103,93.0,2,4,9,15,63,30.0,1,1,5,5,18,162.0,0,0,10,61,92,762.0,0,10,65,127,558,POINT (104.8895286363168 11.575789508097174),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Doun Penh,Chakto Mukh,8865846a39fffff,4824.56533639782,201.12829127504526,970356.5822545075,104.95821817730398,11.558387501864685,1.0410781782842007,0,1,0,0,0,5.03692532663418,0,0,0,0,1,2.9652389471379217,0,0,0,1,0,8.943669698029497,0,0,0,0,1,9.005276358865567,0,0,0,0,1,2.9555976599117164,0,0,0,1,0,1.084656457510003,0,1,0,0,0,8.010000449358023,0,0,0,0,1,5.010486359129571,0,0,0,0,1,3.9967824886273844,0,0,0,1,0,2.933873150703718,0,0,0,1,0,4.076174853575025,0,0,0,1,0,5.0252444012250965,0,0,0,0,1,3.9854204537902933,0,0,0,1,0,3.03479740532116,0,0,0,1,0,3.075827848825049,0,0,0,1,0,12.958899172715244,0,0,0,0,0,3.0454649949455983,0,0,0,1,0,2.965129093129264,0,0,0,1,0,97.0,0,0,2,21,75,49.0,0,0,2,7,40,79.0,0,0,0,4,75,83.0,0,0,0,9,74,60.0,0,0,1,4,55,44.0,0,0,0,3,41,34.0,0,0,0,5,29,24.0,0,0,0,1,23,22.0,0,0,0,3,20,21.0,0,0,1,4,16,112.0,0,0,0,2,110,64.0,0,0,0,8,56,14.0,0,0,0,2,12,104.0,0,0,0,0,104,558.0,0,0,0,35,524,POINT (104.95821817730398 11.558387501864685),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Chamkar Mon,Boeng Trabaek,8865846ac5fffff,2282.24270199997,202.04960015594452,461126.2253979164,104.9304981593516,11.54352328083331,0.8790491140792764,0,1,0,0,0,0.9768428607101364,0,1,0,0,0,0.0,1,0,0,0,0,8.004674229866959,0,0,0,0,1,5.998316269202907,0,0,0,0,1,1.0195215402443734,0,1,0,0,0,2.06099980959799,0,0,1,0,0,6.930048987799493,0,0,0,0,1,1.9152239293980866,0,0,1,0,0,3.0453352724055964,0,0,0,1,0,1.0460955192753487,0,1,0,0,0,3.030622145357232,0,0,0,1,0,5.031084522010788,0,0,0,0,1,3.052381676366515,0,0,0,1,0,1.979047294727201,0,0,1,0,0,1.96285765082686,0,0,1,0,0,10.030912513131472,0,0,0,0,0,2.9476562649062137,0,0,0,1,0,2.0273858095171704,0,0,1,0,0,157.0,0,15,38,38,65,117.0,0,5,15,34,63,109.0,1,4,22,40,41,84.0,0,2,19,32,32,93.0,1,2,24,28,39,69.0,2,11,21,15,20,64.0,0,5,12,18,29,54.0,0,5,9,17,23,71.0,0,2,6,13,50,33.0,0,3,6,8,16,118.0,0,4,23,35,56,83.0,1,4,25,29,24,20.0,0,0,1,2,17,148.0,0,6,23,28,92,749.0,5,25,105,247,368,POINT (104.9304981593516 11.54352328083331),0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Doun Penh,Srah Chak,8865846aa1fffff,3565.048934702321,47.89147833675729,170735.46382577583,104.9070265688362,11.57574950631558,3.948461042091928,0,0,0,1,0,3.0435800925436602,0,0,0,1,0,3.957980145012526,0,0,0,1,0,3.031395449546008,0,0,0,1,0,10.0233252985035,0,0,0,0,0,2.917154147919032,0,0,0,1,0,5.965218169179689,0,0,0,0,1,2.039963373572325,0,0,1,0,0,0.9788721302948559,0,1,0,0,0,0.9158624511343472,0,1,0,0,0,3.002548281832009,0,0,0,1,0,1.0805657852696013,0,1,0,0,0,1.0044152739638998,0,1,0,0,0,1.0254295049836797,0,1,0,0,0,2.1035474579785194,0,0,1,0,0,2.02814442313461,0,0,1,0,0,8.005917775445695,0,0,0,0,1,2.003791260402679,0,0,1,0,0,1.988289304910088,0,0,1,0,0,194.0,4,6,55,34,94,160.0,4,11,40,29,75,114.0,1,4,49,33,26,92.0,1,1,21,48,21,109.0,1,5,19,61,23,101.0,0,6,24,19,52,82.0,0,2,23,22,35,73.0,0,4,20,18,31,112.0,0,3,51,22,36,37.0,0,1,9,10,17,119.0,0,1,14,82,22,103.0,4,1,25,37,36,22.0,0,0,2,8,12,180.0,0,6,82,55,36,832.0,16,23,259,347,185,POINT (104.9070265688362 11.57574950631558),0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a8bfffff,3119.1479162679225,203.72907083298946,635461.1067719191,104.89679551220055,11.548891460618432,3.9599798913583797,0,0,0,1,0,2.0310470314896376,0,0,1,0,0,3.0269675665743496,0,0,0,1,0,4.948226483971118,0,0,0,0,1,7.015631259633185,0,0,0,0,1,3.050128993352908,0,0,0,1,0,5.886383647112944,0,0,0,0,1,4.92324379323704,0,0,0,0,1,0.9967242362471074,0,1,0,0,0,2.896141100668257,0,0,0,1,0,2.098780915930322,0,0,1,0,0,3.9096319753312514,0,0,0,1,0,4.073458990049696,0,0,0,1,0,2.9475240180716447,0,0,0,1,0,3.0073045045011737,0,0,0,1,0,3.9724423114776757,0,0,0,1,0,5.9789421951066615,0,0,0,0,1,3.9219876673738807,0,0,0,1,0,3.9457979674557437,0,0,0,1,0,181.0,0,5,25,51,101,172.0,0,7,36,37,91,113.0,1,4,7,50,51,97.0,0,0,1,7,89,104.0,2,4,20,23,54,93.0,0,3,17,24,49,77.0,1,2,16,13,45,91.0,4,1,19,24,43,112.0,0,6,19,51,36,36.0,0,1,4,14,17,120.0,0,0,1,12,107,103.0,0,3,9,28,62,28.0,0,0,5,10,13,165.0,0,0,5,79,80,793.0,5,15,55,202,513,POINT (104.89679551220055 11.548891460618432),0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a9dfffff,3280.3780995625584,46.81334513477956,153565.47214739432,104.89006731477264,11.551732280141396,4.941159712307907,0,0,0,0,1,2.124718030576162,0,0,1,0,0,3.9622670926037262,0,0,0,1,0,4.982760206544176,0,0,0,0,1,6.957923752566833,0,0,0,0,1,4.008749551486723,0,0,0,1,0,5.9932347117794995,0,0,0,0,1,4.038047311719409,0,0,0,1,0,2.109301051559237,0,0,1,0,0,3.097139029779272,0,0,0,1,0,2.9542837427830415,0,0,0,1,0,3.989002738190497,0,0,0,1,0,4.981307329208433,0,0,0,0,1,3.0686577794862773,0,0,0,1,0,4.026597072887566,0,0,0,1,0,3.983454599329329,0,0,0,1,0,4.929887470028197,0,0,0,0,1,4.112124462742415,0,0,0,1,0,4.094259562323586,0,0,0,1,0,186.0,1,1,28,35,120,177.0,1,5,25,54,91,113.0,0,0,13,31,69,93.0,0,1,0,4,88,102.0,1,4,13,22,62,98.0,0,4,11,23,60,81.0,1,2,12,17,49,95.0,0,10,17,21,47,113.0,1,4,30,45,33,37.0,0,0,6,8,23,118.0,0,0,0,1,117,102.0,0,2,5,21,73,30.0,0,2,4,6,18,170.0,0,0,10,40,119,778.0,0,5,50,128,602,POINT (104.89006731477264 11.551732280141396),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a99fffff,2616.5476390244344,167.40806502341087,438031.1772906547,104.88742480021185,11.542043904615618,6.012336096221919,0,0,0,0,1,2.046886891543987,0,0,1,0,0,4.070561071412871,0,0,0,1,0,6.032650221627656,0,0,0,0,1,7.019490110168797,0,0,0,0,1,4.105790659995451,0,0,0,1,0,7.083670068036038,0,0,0,0,1,4.978667742244674,0,0,0,0,1,2.989316949646358,0,0,0,1,0,4.017560347677304,0,0,0,1,0,3.0625367904826524,0,0,0,1,0,5.094047072369946,0,0,0,0,1,5.947105646748195,0,0,0,0,1,4.014109132109155,0,0,0,1,0,4.975940911454764,0,0,0,0,1,5.142739818147449,0,0,0,0,1,5.018147158445944,0,0,0,0,1,5.016118113456363,0,0,0,0,1,4.96128680287487,0,0,0,0,1,153.0,0,7,6,34,106,153.0,2,8,11,37,94,98.0,0,0,5,9,83,37.0,0,0,1,3,34,72.0,1,0,4,20,46,88.0,1,2,5,15,65,64.0,0,3,4,15,42,85.0,0,5,15,17,48,101.0,2,2,9,23,65,31.0,0,3,1,3,24,47.0,0,0,0,1,46,80.0,0,2,6,8,64,32.0,0,4,6,4,18,146.0,0,0,5,5,137,515.0,0,5,25,50,433,POINT (104.88742480021185 11.542043904615618),0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
