address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km,near_Phsar_Chas_in_km,Phsar_Chas_nearest,Phsar_Chas_1_2km,Phsar_Chas_2_3km,Phsar_Chas_3_5km,Phsar_Chas_5_10km,near_Phsar_kandal_in_km,Phsar_kandal_nearest,Phsar_kandal_1_2km,Phsar_kandal_2_3km,Phsar_kandal_3_5km,Phsar_kandal_5_10km,n_cafe_5km,nearest_cafe,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_5km,nearest_gas_station,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_5km,nearest_hospital,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_5km,nearest_hotel,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,n_mart_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_5km,nearest_pre_school,n_pre_school_in_1km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_5km,nearest_secondary_school,n_secondary_school_in_1km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_5km,nearest_primary_school,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_5km,nearest_university,n_university_in_1km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_5km,nearest_seven_eleven,n_seven_eleven_in_1km,n_seven_eleven_in_1km_to_2km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_5km,nearest_resturant,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_5km,nearest_super_market,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_5km,nearest_borey,n_borey_in_1km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_5km,nearest_bank,n_bank_in_1km,n_bank_in_1km_to_2km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,n_atm_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,geometry,f_bridleway,f_corridor,f_cycleway,f_disused,f_footway,f_motorway,f_path,f_pedestrian,f_primary,f_residential,f_road,f_secondary,f_service,f_steps,f_tertiary,f_track,f_trunk,f_trunk_link,f_unclassified,f_unused
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a91fffff,3249.7738547542785,52.84932875496313,171748.36682919267,104.88310022060264,11.55293201259622,5.7515168054580865,0,0,0,0,1,3.0858291064805377,0,0,0,1,0,4.980132850556308,0,0,0,0,1,4.969572585601013,0,0,0,0,1,8.085684493581576,0,0,0,0,1,4.0031174402213034,0,0,0,1,0,6.9717143919427595,0,0,0,0,1,4.114976839282335,0,0,0,1,0,3.009920823059011,0,0,0,1,0,3.9333001523731426,0,0,0,1,0,4.022823030962073,0,0,0,1,0,3.9814199165880804,0,0,0,1,0,4.986024379362673,0,0,0,0,1,3.990249258664015,0,0,0,1,0,5.059849167999767,0,0,0,0,1,5.093162496452358,0,0,0,0,1,3.942954961521019,0,0,0,1,0,4.954318042733444,0,0,0,0,1,4.990829296306037,0,0,0,0,1,167.0,4,2,16,26,120,172.0,7,0,22,36,109,102.0,0,1,5,18,79,44.0,0,1,2,5,36,81.0,0,1,10,16,53,88.0,1,1,10,16,60,72.0,0,2,7,16,48,92.0,2,7,11,25,47,108.0,0,4,26,47,31,32.0,0,1,3,6,22,45.0,0,0,0,1,44,80.0,1,0,8,12,61,33.0,1,2,2,7,21,148.0,0,5,0,5,138,579.0,0,10,25,50,497,POINT (104.88310022060264 11.55293201259622),0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Phnom Penh,Chamkar Mon,Phsar Daeum Thkov,8865846acbfffff,2357.9609183398957,179.68202868884848,423683.2013763326,104.91500317094444,11.528833076177357,2.9515867837888226,0,0,0,1,0,1.0435213943692154,0,1,0,0,0,1.8385903137036874,0,0,1,0,0,8.144809605034826,0,0,0,0,1,3.893582412856936,0,0,0,1,0,2.2231509631859345,0,0,1,0,0,3.943004447947508,0,0,0,1,0,6.855966311947629,0,0,0,0,1,3.096087515700255,0,0,0,1,0,3.959716954988349,0,0,0,1,0,2.1154008241092717,0,0,1,0,0,4.7799767910696875,0,0,0,0,1,5.938707286373269,0,0,0,0,1,4.1411771837640305,0,0,0,1,0,3.7971034324012396,0,0,0,1,0,4.01293411809553,0,0,0,1,0,7.980455229914601,0,0,0,0,1,5.024695176548138,0,0,0,0,1,4.116847935947983,0,0,0,1,0,144.0,0,4,23,30,86,114.0,3,4,19,26,61,101.0,0,0,0,17,83,73.0,0,1,2,5,63,84.0,0,0,7,20,56,69.0,1,4,8,21,34,61.0,1,4,7,11,38,62.0,2,1,7,15,37,59.0,0,0,4,10,45,32.0,0,3,3,6,20,86.0,1,0,6,8,73,78.0,1,2,8,14,54,31.0,0,0,3,2,26,158.0,0,0,15,1,142,627.0,0,10,30,75,510,POINT (104.91500317094444 11.528833076177357),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Saensokh,Phnom Penh Thmei,88658468cbfffff,3466.326691108962,139.038858806524,481954.1073823845,104.88616265240915,11.586712766887011,6.822753414259489,0,0,0,0,1,4.861459056332655,0,0,0,0,1,5.921113088469218,0,0,0,0,1,0.9943508272718307,0,1,0,0,0,11.097598555549538,0,0,0,0,0,4.929488332997841,0,0,0,0,1,7.858085767477502,0,0,0,0,1,0.08143238177597281,1,0,0,0,0,3.0677014694535445,0,0,0,1,0,3.057832605516374,0,0,0,1,0,5.147488676703512,0,0,0,0,1,2.7691570551626263,0,0,0,1,0,3.287568937090934,0,0,0,1,0,3.0164618608530307,0,0,0,1,0,4.774171281785245,0,0,0,0,1,5.135118636465824,0,0,0,0,1,6.130609700160998,0,0,0,0,1,3.959880620004299,0,0,0,1,0,4.943461461976782,0,0,0,0,1,137.0,1,1,26,30,80,149.0,2,11,20,39,76,82.0,0,0,2,9,73,59.0,0,1,5,4,48,80.0,1,1,7,13,58,61.0,1,5,20,9,27,62.0,0,1,10,9,41,69.0,1,1,11,11,45,100.0,0,2,22,40,36,25.0,0,1,4,6,14,62.0,0,1,1,0,62,69.0,0,3,11,8,47,29.0,1,3,5,3,17,160.0,0,0,25,0,136,609.0,0,10,30,72,502,POINT (104.88616265240915 11.586712766887011),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Saensokh,Phnom Penh Thmei,8865846ab1fffff,2979.374451783746,161.92027886227422,482421.1420679595,104.8895286363168,11.575789508097174,6.075819021814803,0,0,0,0,1,4.097749935298305,0,0,0,1,0,4.985784829855671,0,0,0,0,1,1.8707013776314994,0,0,1,0,0,10.042649987978933,0,0,0,0,0,4.153497718914581,0,0,0,1,0,6.972593223569112,0,0,0,0,1,2.0263724372890417,0,0,1,0,0,2.0738503981343803,0,0,1,0,0,3.0075107147914344,0,0,0,1,0,4.054607520837896,0,0,0,1,0,2.963043433286098,0,0,0,1,0,2.9862212507647925,0,0,0,1,0,3.240525055276299,0,0,0,1,0,3.8784831409203453,0,0,0,1,0,4.128371766931314,0,0,0,1,0,5.951666850499072,0,0,0,0,1,3.072307772286143,0,0,0,1,0,3.938124297730987,0,0,0,1,0,169.0,2,6,26,41,94,170.0,7,2,39,36,85,107.0,0,1,11,16,80,86.0,1,0,5,5,75,100.0,1,2,14,20,63,90.0,4,8,17,13,47,76.0,3,2,10,16,44,83.0,2,6,14,16,45,110.0,3,20,35,18,34,34.0,1,1,6,5,21,107.0,1,1,0,3,103,92.0,2,4,9,15,63,30.0,1,1,5,5,18,161.0,0,0,10,61,92,759.0,0,10,65,127,558,POINT (104.8895286363168 11.575789508097174),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Doun Penh,Chakto Mukh,8865846a39fffff,5133.654418543571,200.96457699566974,1031682.6886645597,104.95821817730398,11.558387501864685,0.8110353966941863,0,1,0,0,0,5.10689099447997,0,0,0,0,1,2.872883820442374,0,0,0,1,0,9.088092248670474,0,0,0,0,1,9.08388648685146,0,0,0,0,1,2.9150445885551757,0,0,0,1,0,1.001598722292501,0,1,0,0,0,8.140322211069357,0,0,0,0,1,5.1694455768072585,0,0,0,0,1,3.958011937806625,0,0,0,1,0,2.983329921090851,0,0,0,1,0,4.041052675352147,0,0,0,1,0,5.1304808792497445,0,0,0,0,1,3.8732798260375496,0,0,0,1,0,2.7534856392626272,0,0,0,1,0,2.9979403764309533,0,0,0,1,0,13.113003532887133,0,0,0,0,0,2.996483946708676,0,0,0,1,0,2.866904646061939,0,0,0,1,0,96.0,0,0,2,21,75,48.0,0,0,2,7,40,80.0,0,0,0,4,75,83.0,0,0,0,9,74,60.0,0,0,1,4,55,44.0,0,0,0,3,41,34.0,0,0,0,5,29,25.0,0,0,0,1,23,24.0,0,0,0,3,20,21.0,0,0,1,4,16,111.0,0,0,0,2,110,64.0,0,0,0,8,56,14.0,0,0,0,2,12,105.0,0,0,0,0,104,558.0,0,0,0,35,524,POINT (104.95821817730398 11.558387501864685),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,Chamkar Mon,Boeng Trabaek,8865846ac5fffff,3654.401267386966,203.37775579265133,743223.9285269819,104.9304981593516,11.54352328083331,0.910273321446283,0,1,0,0,0,0.8860612057024144,0,1,0,0,0,0.030896837486496246,1,0,0,0,0,7.96779590534633,0,0,0,0,1,6.021449492997002,0,0,0,0,1,0.778715955496128,0,1,0,0,0,1.9114056708955054,0,0,1,0,0,7.164232178070682,0,0,0,0,1,1.7834179146444946,0,0,1,0,0,3.0326013804012213,0,0,0,1,0,1.1440096765925676,0,1,0,0,0,2.7954072617064716,0,0,0,1,0,4.900718556708586,0,0,0,0,1,2.8932200172954636,0,0,0,1,0,2.0059326937669195,0,0,1,0,0,2.1804869113170455,0,0,1,0,0,10.034000532695373,0,0,0,0,0,2.998436472004813,0,0,0,1,0,1.867804783727335,0,0,1,0,0,157.0,0,15,38,38,65,117.0,0,5,15,34,63,106.0,1,4,22,40,41,85.0,0,2,19,32,32,93.0,1,2,24,28,39,68.0,2,11,21,15,20,64.0,0,5,12,18,29,55.0,0,5,9,17,23,71.0,0,2,6,13,50,33.0,0,3,6,8,16,117.0,0,4,23,35,56,82.0,1,4,25,29,24,20.0,0,0,1,2,17,148.0,0,6,23,28,92,757.0,5,25,105,247,368,POINT (104.9304981593516 11.54352328083331),0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Doun Penh,Srah Chak,8865846aa1fffff,3910.317768363191,48.24597635353593,188657.09858726192,104.9070265688362,11.57574950631558,3.973757532816519,0,0,0,1,0,2.9690035425961674,0,0,0,1,0,4.144210083814876,0,0,0,1,0,2.9675762783685484,0,0,0,1,0,10.063886927933513,0,0,0,0,0,3.064623233729389,0,0,0,1,0,5.952676981887054,0,0,0,0,1,2.1152650719940196,0,0,1,0,0,1.0488430646034321,0,1,0,0,0,0.8877186099118413,0,1,0,0,0,3.0128572683819543,0,0,0,1,0,1.1120749422784313,0,1,0,0,0,1.0607892086601334,0,1,0,0,0,1.0863970856653353,0,1,0,0,0,2.1147202358647808,0,0,1,0,0,2.1294553259154343,0,0,1,0,0,7.949386957595556,0,0,0,0,1,1.98947017566117,0,0,1,0,0,2.246737411546608,0,0,1,0,0,194.0,4,6,55,34,94,157.0,4,11,40,29,75,111.0,1,4,49,33,26,93.0,1,1,21,48,21,109.0,1,5,19,61,23,101.0,0,6,24,19,52,81.0,0,2,23,22,35,71.0,0,4,20,18,31,112.0,0,3,51,22,36,37.0,0,1,9,10,17,121.0,0,1,14,82,22,103.0,4,1,25,37,36,22.0,0,0,2,8,12,175.0,0,6,82,55,36,833.0,16,23,259,347,185,POINT (104.9070265688362 11.57574950631558),0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a8bfffff,2973.48519837288,206.31857672567514,613485.2340431544,104.89679551220055,11.548891460618432,3.9419394770910063,0,0,0,1,0,2.064054106240589,0,0,1,0,0,2.8913780151051203,0,0,0,1,0,4.979406018798591,0,0,0,0,1,7.040615331328531,0,0,0,0,1,3.098973464908826,0,0,0,1,0,5.96995323482808,0,0,0,0,1,5.008116850764721,0,0,0,0,1,0.8842382104252704,0,1,0,0,0,2.944622892257238,0,0,0,1,0,2.0990744028422177,0,0,1,0,0,3.9647700577253224,0,0,0,1,0,3.843542186697544,0,0,0,1,0,3.1198046406939195,0,0,0,1,0,2.96637823493206,0,0,0,1,0,3.9058027950550964,0,0,0,1,0,5.985871774610219,0,0,0,0,1,4.0661886465898665,0,0,0,1,0,4.026793988930931,0,0,0,1,0,183.0,0,5,25,51,101,171.0,0,7,36,37,91,112.0,1,4,7,50,51,97.0,0,0,1,7,89,104.0,2,4,20,23,54,93.0,0,3,17,24,49,77.0,1,2,16,13,45,92.0,4,1,19,24,43,113.0,0,6,19,51,36,37.0,0,1,4,14,17,121.0,0,0,1,12,107,102.0,0,3,9,28,62,28.0,0,0,5,10,13,164.0,0,0,5,79,80,787.0,5,15,55,202,513,POINT (104.89679551220055 11.548891460618432),0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a9dfffff,4214.009911751811,45.66186732811616,192419.56150977768,104.89006731477264,11.551732280141396,4.996558827472297,0,0,0,0,1,1.9934591911175794,0,0,1,0,0,3.8324846226151745,0,0,0,1,0,5.094156919160621,0,0,0,0,1,6.898593107598773,0,0,0,0,1,4.013854742742151,0,0,0,1,0,6.221254273633274,0,0,0,0,1,3.8098218168757927,0,0,0,1,0,1.8571455308574947,0,0,1,0,0,2.8263990570550495,0,0,0,1,0,2.924841301970238,0,0,0,1,0,4.116022614966561,0,0,0,1,0,4.961394928272706,0,0,0,0,1,3.1436116681824795,0,0,0,1,0,3.9728289590851453,0,0,0,1,0,4.284001379902025,0,0,0,1,0,5.152327557834145,0,0,0,0,1,3.9503288910487786,0,0,0,1,0,3.966041976361191,0,0,0,1,0,186.0,1,1,28,35,120,176.0,1,5,25,54,91,113.0,0,0,13,31,69,93.0,0,1,0,4,88,102.0,1,4,13,22,62,97.0,0,4,11,23,60,80.0,1,2,12,17,49,96.0,0,10,17,21,47,113.0,1,4,30,45,33,37.0,0,0,6,8,23,118.0,0,0,0,1,117,101.0,0,2,5,21,73,30.0,0,2,4,6,18,170.0,0,0,10,40,119,780.0,0,5,50,128,602,POINT (104.89006731477264 11.551732280141396),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a99fffff,3159.8364376967916,169.08748427774952,534288.7939793163,104.88742480021185,11.542043904615618,6.165259218062768,0,0,0,0,1,2.0485616205756787,0,0,1,0,0,4.022362611571437,0,0,0,1,0,5.886773490194353,0,0,0,0,1,7.361325601380975,0,0,0,0,1,3.890267979367231,0,0,0,1,0,6.931144816113105,0,0,0,0,1,4.805038722759993,0,0,0,0,1,3.0571468336039107,0,0,0,1,0,4.050370196096507,0,0,0,1,0,2.999452692065079,0,0,0,1,0,4.88253466556167,0,0,0,0,1,5.982515403017097,0,0,0,0,1,3.888378750956112,0,0,0,1,0,4.87564238074552,0,0,0,0,1,4.997516397692116,0,0,0,0,1,4.8885962478196765,0,0,0,0,1,5.056225237396544,0,0,0,0,1,5.019829875988985,0,0,0,0,1,153.0,0,7,6,34,106,153.0,2,8,11,37,94,98.0,0,0,5,9,83,38.0,0,0,1,3,34,70.0,1,0,4,20,46,88.0,1,2,5,15,65,65.0,0,3,4,15,42,86.0,0,5,15,17,48,100.0,2,2,9,23,65,31.0,0,3,1,3,24,49.0,0,0,0,1,46,78.0,0,2,6,8,64,32.0,0,4,6,4,18,146.0,0,0,5,5,137,514.0,0,5,25,50,433,POINT (104.88742480021185 11.542043904615618),0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
