Unnamed: 0,address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km
0,Phnom Penh,Chbar Ampov,Preaek Pra,8865846a59fffff,2471.51,66,163119.66,104.96738768142184,11.51352220098881,5,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,13,0,0,0,0,0,6,0,0,0,0,1,6,0,0,0,0,1,3,0,0,0,1,0,12,0,0,0,0,0,8,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,14,0,0,0,0,0
1,Phnom Penh,Chamkar Mon,Tonle Basak,8865846ae1fffff,2234.87,80,178789.59999999998,104.92793204581876,11.55730967849466,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,6,0,0,0,0,1,8,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1
2,Phnom Penh,Mean Chey,Stueng Mean Chey,8865846ad1fffff,2385.72,44,104971.68,104.90161671339324,11.530884348844584,4,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,7,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,7,0,0,0,0,1
3,Phnom Penh,Pur SenChey,Chaom Chau,88658461a1fffff,2005.1,32,64163.2,104.87797224244044,11.529098082329169,7,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,5,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,4,0,0,0,1,0
4,Phnom Penh,Mean Chey,Boeng Tumpun,8865846ad5fffff,1048.19,40,41927.600000000006,104.90528786282096,11.536312647089268,4,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,7,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,7,0,0,0,0,1
5,Phnom Penh,Saensokh,Tuek Thla,8865846a9dfffff,2343.33,62,145286.46,104.89462032756484,11.544592583724707,5,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,6,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0,6,0,0,0,0,1,5,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,1
6,Phnom Penh,Saensokh,Phnom Penh Thmei,886584689dfffff,753.15,82,61758.3,104.86142028634347,11.604600499927097,10,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,2,0,0,1,0,0,14,0,0,0,0,0,9,0,0,0,0,1,12,0,0,0,0,0,3,0,0,0,1,0,7,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1
7,Phnom Penh,Chbar Ampov,Preaek Pra,8865846a5bfffff,3439.26,64,220112.64,104.95530743878476,11.515803347501686,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,12,0,0,0,0,0,5,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,1,0,11,0,0,0,0,0,6,0,0,0,0,1,7,0,0,0,0,1,5,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,13,0,0,0,0,0
8,Phnom Penh,Chamkar Mon,Tonle Basak,8865846a17fffff,2536.83,62,157283.46,104.9417485831379,11.552462493378847,0,1,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,8,0,0,0,0,1,8,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,7,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,11,0,0,0,0,0
9,Phnom Penh,Chamkar Mon,Tonle Basak,8865846ac1fffff,2755.52,32,88176.64,104.91828554129911,11.5399394347746,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,8,0,0,0,0,1
