price,land_area,address_line_2,latitude,longitude,price_per_m2
1100000.0,124.0,Chakto Mukh,11.57561,104.92025,8870.967741935483
680000.0,80.0,Boeng Keng Kang Ti Bei,11.55,104.93,8500.0
550000.0,66.0,Chey Chumneah,11.57561,104.92025,8333.333333333334
750000.0,116.0,Tonle Basak,11.5445,104.913586,6465.517241379311
420000.0,65.0,Chrouy Changvar,11.58,104.93,6461.538461538462
420000.0,65.0,Olympic,11.55,104.93,6461.538461538462
6500000.0,1010.0,Nirouth,11.54177567,104.970984,6435.643564356436
450000.0,70.0,Boeng Keng Kang Ti Muoy,11.55,104.93,6428.571428571428
899900.0,140.0,Phsar Depou Ti Muoy,11.57,104.89,6427.857142857143
770000.0,120.0,Phsar Thmei Ti Muoy,11.57561,104.92025,6416.666666666667
320000.0,50.0,Stueng Mean Chey,11.53,104.91,6400.0
460000.0,72.0,Boeng Keng Kang Ti Pir,11.5445,104.913586,6388.888888888889
460000.0,72.0,Toul Svay Prey Ti Mouy,11.55,104.93,6388.888888888889
1720000.0,270.0,Tuek L'ak Ti Muoy,11.572623,104.89913,6370.37037037037
980000.0,154.0,Tuek Thla,11.55,104.89,6363.636363636364
380000.0,60.0,Preaek Pra,11.52,104.95,6333.333333333333
380000.0,60.0,Boeng Kak Ti Pir,11.57494717,104.8923637,6333.333333333333
550000.0,87.0,Boeng Tumpun,11.5445,104.913586,6321.83908045977
1675800.0,266.0,Boeng Keng Kang Ti Muoy,11.55176911,104.9248861,6300.0
6766200.0,1074.0,Tonle Basak,11.5445,104.913586,6300.0
1675800.0,266.0,Boeng Keng Kang Ti Muoy,11.55100911,104.92897,6300.0
400000.0,64.0,Veal Sbov,11.55,104.96,6250.0
450000.0,72.0,Chrouy Changvar,11.57966367,104.9308583,6250.0
500000.0,80.0,Boeng Tumpun,11.55,104.93,6250.0
450000.0,72.0,Tuol Tumpung Ti Muoy,11.537783,104.920232,6250.0
2500000.0,400.0,Chakto Mukh,11.57561,104.92025,6250.0
350000.0,56.0,Phsar Thmei Ti Bei,11.56935282,104.9245434,6250.0
560000.0,90.0,Phsar Kandal Ti Pir,11.57264016,104.9233632,6222.222222222223
620000.0,100.0,Toul Svay Prey Ti Mouy,11.54342656,104.9165271,6200.0
430000.0,70.0,Tuol Tumpung Ti Muoy,11.537783,104.920232,6142.857142857143
1100000.0,180.0,Boeng Keng Kang Ti Muoy,11.55134548,104.9279401,6111.111111111111
440000.0,72.0,Phsar Chas,11.57561,104.92025,6111.111111111111
1100000.0,180.0,Boeng Keng Kang Ti Muoy,11.55291454,104.9266227,6111.111111111111
1100000.0,180.0,Nirouth,11.52,104.95,6111.111111111111
520000.0,86.25,Boeng Keng Kang Ti Muoy,11.539474,104.917352,6028.985507246377
330000.0,55.0,Boeng Trabaek,11.53465324,104.9219066,6000.0
4200000.0,700.0,Boeng Kak Ti Muoy,11.55,104.93,6000.0
720000.0,120.0,Phsar Chas,11.569135,104.9248,6000.0
720000.0,120.0,Boeng Keng Kang Ti Muoy,11.54405503,104.9236877,6000.0
1600000.0,267.3,Boeng Proluet,11.54787665,104.9140508,5985.7837635615415
1100000.0,184.0,Boeng Keng Kang Ti Pir,11.5445,104.913586,5978.260869565217
430000.0,72.0,Khmuonh,11.55,104.89,5972.222222222223
430000.0,72.0,Toul Svay Prey Ti Mouy,11.55,104.93,5972.222222222223
380000.0,64.0,Phsar Thmei Ti Bei,11.57561,104.92025,5937.5
900000.0,151.956,Tuek Thla,11.559712,104.878121,5922.767116796968
450000.0,76.0,Boeng Keng Kang Ti Bei,11.55123731,104.9190326,5921.052631578948
425000.0,72.0,Cheung Aek,11.48,104.9,5902.777777777777
7257000.0,1230.0,Boeng Kak Ti Pir,11.57,104.89,5900.0
2000000.0,340.0,Boeng Trabaek,11.55,104.93,5882.35294117647
540000.0,92.0,Chakto Mukh,11.57561,104.92025,5869.565217391304
2500000.0,426.0,Tuol Tumpung Ti Muoy,11.55,104.93,5868.544600938967
2450000.0,420.0,Phsar Depou Ti Muoy,11.562248,104.898461,5833.333333333333
1050000.0,180.0,Tuek Thla,11.559712,104.878121,5833.333333333333
3500000.0,600.0,Boeng Kak Ti Pir,11.572623,104.89913,5833.333333333333
650000.0,112.0,Tuol Sangke Ti Pir,11.59015,104.909641,5803.571428571428
390000.0,67.2,Tuek Thla,11.55,104.89,5803.571428571428
3735200.0,644.0,Boeng Keng Kang Ti Muoy,11.5445,104.913586,5800.0
520000.0,90.0,Mittapheap,11.55,104.93,5777.777777777777
670000.0,116.0,Stueng Mean Chey,11.53,104.91,5775.862068965517
2800000.0,489.0,Boeng Reang,11.57561,104.92025,5725.971370143149
870000.0,152.0,Boeung Tumpun Mouy,11.5445,104.913586,5723.684210526316
6000000.0,1050.0,Tuol Tumpung Ti Muoy,11.55,104.93,5714.285714285715
1800000.0,315.0,Tonle Basak,11.55,104.93,5714.285714285715
900000.0,158.0,Phsar Chas,11.57163206,104.9240448,5696.202531645569
410000.0,72.0,Phnom Penh Thmei,11.57561,104.92025,5694.444444444444
