price,land_area,address_line_2,latitude,longitude,price_per_m2,geometry,index_right,population,h_id,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km,near_Phsar_Chas_in_km,Phsar_Chas_nearest,Phsar_Chas_1_2km,Phsar_Chas_2_3km,Phsar_Chas_3_5km,Phsar_Chas_5_10km,near_Phsar_kandal_in_km,Phsar_kandal_nearest,Phsar_kandal_1_2km,Phsar_kandal_2_3km,Phsar_kandal_3_5km,Phsar_kandal_5_10km,n_cafe_5km,nearest_cafe,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_5km,nearest_gas_station,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_5km,nearest_hospital,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_5km,nearest_hotel,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,n_mart_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_5km,nearest_pre_school,n_pre_school_in_1km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_5km,nearest_secondary_school,n_secondary_school_in_1km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_5km,nearest_primary_school,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_5km,nearest_university,n_university_in_1km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_5km,nearest_seven_eleven,n_seven_eleven_in_1km,n_seven_eleven_in_1km_to_2km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_5km,nearest_resturant,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_5km,nearest_super_market,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_5km,nearest_borey,n_borey_in_1km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_5km,nearest_bank,n_bank_in_1km,n_bank_in_1km_to_2km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,n_atm_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,f_bridleway,f_corridor,f_cycleway,f_disused,f_footway,f_motorway,f_path,f_pedestrian,f_primary,f_residential,f_road,f_secondary,f_service,f_steps,f_tertiary,f_track,f_trunk,f_trunk_link,f_unclassified,f_unused
1100000.0,124.0,Chakto Mukh,11.57561,104.92025,8870.967741935483,POINT (104.92025 11.57561),53920.0,16252.0,8865846aadfffff,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,10,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,174,11,10,33,44,76,142,0,14,20,26,82,112,8,13,48,22,21,89,7,23,35,15,9,109,2,14,28,38,27,93,2,0,12,33,46,78,2,2,22,20,32,64,1,2,13,20,28,103,3,3,11,40,46,35,1,3,6,8,17,119,3,47,42,19,8,97,1,14,28,25,29,16,0,0,1,4,11,270,9,79,112,40,30,1027,47,218,414,162,186,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
680000.0,80.0,Boeng Keng Kang Ti Bei,11.55,104.93,8500.0,POINT (104.93 11.55),53894.0,7658.0,8865846ae9fffff,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,10,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,164,7,14,32,49,62,122,2,1,9,53,57,111,2,14,29,44,22,88,2,8,27,39,12,101,3,5,32,29,32,79,7,10,16,19,27,73,4,3,16,16,34,63,0,4,13,15,31,81,2,3,11,11,54,33,2,0,8,11,12,118,9,7,34,64,4,88,2,13,23,30,20,19,0,0,1,2,16,252,1,7,64,166,14,973,12,84,206,496,175,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
550000.0,66.0,Chey Chumneah,11.57561,104.92025,8333.333333333334,POINT (104.92025 11.57561),53920.0,16252.0,8865846aadfffff,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,10,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,174,11,10,33,44,76,142,0,14,20,26,82,112,8,13,48,22,21,89,7,23,35,15,9,109,2,14,28,38,27,93,2,0,12,33,46,78,2,2,22,20,32,64,1,2,13,20,28,103,3,3,11,40,46,35,1,3,6,8,17,119,3,47,42,19,8,97,1,14,28,25,29,16,0,0,1,4,11,270,9,79,112,40,30,1027,47,218,414,162,186,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
750000.0,116.0,Tonle Basak,11.5445,104.913586,6465.517241379311,POINT (104.913586 11.5445),53909.0,23239.0,8865846ac7fffff,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,8,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,177,7,12,36,37,85,145,1,13,20,35,76,112,1,4,36,49,22,91,0,3,5,36,47,103,3,9,23,30,38,90,3,12,26,16,33,73,3,4,14,30,22,79,2,4,17,21,35,101,0,8,7,24,62,34,1,6,5,4,18,120,2,4,18,28,68,95,2,9,20,29,35,24,0,0,3,3,18,258,0,0,73,125,60,985,18,36,184,359,388,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
420000.0,65.0,Chrouy Changvar,11.58,104.93,6461.538461538462,POINT (104.93 11.58),54133.0,5351.0,886584685bfffff,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,10,0,0,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,157,0,6,27,37,87,106,0,0,17,26,63,109,1,4,20,54,30,87,0,20,40,12,15,104,2,7,25,17,53,84,0,1,5,18,60,65,0,2,14,17,32,52,0,0,9,10,33,83,0,1,8,10,64,31,0,0,7,4,20,118,0,35,49,18,16,87,0,4,23,26,34,14,0,0,0,4,10,252,0,32,62,127,31,973,12,115,313,317,216,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
420000.0,65.0,Olympic,11.55,104.93,6461.538461538462,POINT (104.93 11.55),53894.0,7658.0,8865846ae9fffff,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,10,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,164,7,14,32,49,62,122,2,1,9,53,57,111,2,14,29,44,22,88,2,8,27,39,12,101,3,5,32,29,32,79,7,10,16,19,27,73,4,3,16,16,34,63,0,4,13,15,31,81,2,3,11,11,54,33,2,0,8,11,12,118,9,7,34,64,4,88,2,13,23,30,20,19,0,0,1,2,16,252,1,7,64,166,14,973,12,84,206,496,175,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6500000.0,1010.0,Nirouth,11.54177567,104.970984,6435.643564356436,POINT (104.970984 11.54177567),53984.0,1781.0,8865846a09fffff,3,0,0,0,1,0,6,0,0,0,0,1,4,0,0,0,1,0,11,0,0,0,0,0,8,0,0,0,0,1,4,0,0,0,1,0,1,0,1,0,0,0,10,0,0,0,0,0,6,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,14,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,1,36,0,0,8,2,26,27,0,0,5,4,18,11,0,0,1,0,10,14,0,0,0,0,14,9,0,0,0,0,9,18,0,1,0,1,16,13,0,0,0,1,12,9,0,0,0,0,9,6,0,0,0,1,5,8,0,0,2,1,5,12,0,0,0,0,12,12,0,0,0,2,10,13,0,0,2,6,5,7,0,0,0,0,7,66,0,0,0,0,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450000.0,70.0,Boeng Keng Kang Ti Muoy,11.55,104.93,6428.571428571428,POINT (104.93 11.55),53894.0,7658.0,8865846ae9fffff,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,10,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,164,7,14,32,49,62,122,2,1,9,53,57,111,2,14,29,44,22,88,2,8,27,39,12,101,3,5,32,29,32,79,7,10,16,19,27,73,4,3,16,16,34,63,0,4,13,15,31,81,2,3,11,11,54,33,2,0,8,11,12,118,9,7,34,64,4,88,2,13,23,30,20,19,0,0,1,2,16,252,1,7,64,166,14,973,12,84,206,496,175,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
899900.0,140.0,Phsar Depou Ti Muoy,11.57,104.89,6427.857142857143,POINT (104.89 11.57),53919.0,5039.0,8865846ab1fffff,6,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,9,0,0,0,0,1,4,0,0,0,1,0,7,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,180,5,9,16,44,106,178,0,11,24,57,86,112,1,2,11,29,69,92,0,1,6,4,81,105,0,5,18,15,67,100,1,6,19,18,56,80,0,4,8,20,48,86,0,3,21,21,41,110,12,24,27,15,32,37,0,5,2,5,25,119,0,1,1,3,114,103,1,3,11,18,70,29,0,1,2,11,15,264,0,0,13,92,159,997,0,18,66,191,722,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
770000.0,120.0,Phsar Thmei Ti Muoy,11.57561,104.92025,6416.666666666667,POINT (104.92025 11.57561),53920.0,16252.0,8865846aadfffff,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,10,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,174,11,10,33,44,76,142,0,14,20,26,82,112,8,13,48,22,21,89,7,23,35,15,9,109,2,14,28,38,27,93,2,0,12,33,46,78,2,2,22,20,32,64,1,2,13,20,28,103,3,3,11,40,46,35,1,3,6,8,17,119,3,47,42,19,8,97,1,14,28,25,29,16,0,0,1,4,11,270,9,79,112,40,30,1027,47,218,414,162,186,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
