bedrooms,bathrooms,land_area,price_per_m2,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,population,median_price_per_m2,mean_price_per_m2,max_price_per_m2,min_price_per_m2,category_name_Condo,category_name_Land/Development,category_name_Villa,price
0,0,4000,25,6,27,37,87,0,17,26,63,4,20,54,30,40,12,15,2,7,25,17,53,5,18,60,14,17,32,0,9,10,33,8,10,64,4,20,35,49,18,16,4,23,26,34,0,4,10,11,6,2,24,68,47,36,5351,1728,2180,6461,25,0,1,0,100000
0,0,14270,30,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,0,0,428100
0,0,5825,31,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,185000
2,1,3029,32,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,98000
1,1,1000,35,16,30,43,104,8,38,40,76,6,21,54,31,4,26,63,3,7,13,43,42,24,11,60,15,26,39,12,10,24,38,23,32,28,6,23,1,4,31,83,5,16,29,53,4,6,16,10,11,2,4,25,76,81,15107,1424,2284,6370,35,1,0,0,35000
0,0,2200,36,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,79894
2,2,5825,42,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,249600
6,5,2000,47,0,9,7,43,1,11,18,57,0,0,1,11,0,0,8,0,0,0,1,22,1,3,26,3,3,23,1,6,9,32,1,5,25,3,8,0,0,0,6,0,4,3,16,5,19,7,0,2,0,0,0,1,16,7477,47,47,47,47,0,0,0,95000
2,3,738,51,0,1,2,6,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1785,1544,1676,3835,51,0,0,0,38000
0,0,1890,52,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,299,52,52,52,52,0,1,0,100000
