id,headline,price_display,bedrooms,bathrooms,land_area,address_subdivision,address_locality,address_line_2,address_line_1,category_name,is_parent,type,information,latitude,longitude,price_clean
235560.0,Link house for sale ,"$114,000",4.0,5.0,71.4,Phnom Penh,Chroy Changvar,Preaek Lieb, ,Unit,False,residential,"- Address: Commune Preaek Lieb, District Chroy Changva, Phnom Penh - Land area : 4.2m x 17m - Building area : 4.2m x 10m - Room ( s ) : 4 - Floors ( s ) : 2 - Price : $ 114000 - ID :  KEY-16165",11.589674,104.925654,114000.0
248374.0,Land for Sale,"$1,800.0/m²",,,104635.0,Phnom Penh,Russey Keo,Tuol Sangkae 1,273 273,Land/Development,False,residential,"Land Located at Tuol Kok Village, Sangkat Tuol Sangkae 1, Khan Russey Keo, Phnom Penh",11.5878099,104.9022337,188343000.0
248290.0,<b>Development Land For Sales (National Road 3)</b>,$700.0/m²,,,84000.0,Phnom Penh,Por Sen Chey,Kantaok,N3 N3,Land/Development,False,residential,Land for Sale or Rent on Road N3 Main Road - Hard Title - Land 8.40hectares - Price for Sale 700$/Sqm - Price for Rent 1.5$/Sqm - Kind of land : Development land - Commercial land,11.537783,104.920232,58800000.0
248489.0,?????????????????? ??? Urban Village Phase 2 ???????,"$90,000",1.0,1.0,76000.0,Phnom Penh,Meanchey,Chak Angrae Leu,   ,Condo,False,residential,"Condo for sale in Chak Angrae Leu, Meanchey, Phnom Penh at $90,000. Details This Condo has 1 bedroom and 1 bathroom plus parking for 0 cars. The property includes a generous land holding of 76000.00 m2, with an internal floor area of 56.00. Location Enjoy living in a convenient location with this Condo for sale. If you would like to know more about this property, send an email to the agent by clicking ""Enquire"" or ""Email Agent"" buttons, or click the phone icon to reveal the agent's number to make a call. Alternatively, you can save this property and revisit it later.",11.537783,104.920232,90000.0
235239.0,Land in front of Eden Garden inside Phnom Penh City Center for Sale  ( ??????),"$276,264,450",,,55811.0,Phnom Penh,Daun Penh,Srah Chak,  ,Land/Development,False,residential,"Land in front of Eden Garden for Sales Size: 55811 m2 Width: 166m Depth: 335 m Price: 4xxx/m2 Ownership Type: Hard Title Location: land located in front of Eden Garden and View Park inside the Phnom Penh City Center. This land is suitable for constructing an apartment complex, hotel, shopping mall, skyscraper, office building, and other commercial endeavors. Map: https://goo.gl/maps/oDS7UbiFvqonVEsn9 #PPCC #phnompenhcitycenter #land #sale #bussinesdistrict #Edengarden #??? #?????? PCC #phnompenhpenhcitycenter #land #sale #bussinesdistrict #Edengarden #??? #??????? #??????????? #?????? #????????? #?????? #Boeungkak #land",11.57920232,104.9086133,276264450.0
223801.0,Land for sale urgent (Road #3),"$22,550,000",,,41000.0,Phnom Penh,Por Sen Chey,Kantaok,of Ang troket Village,Land/Development,False,residential,"Land for Urgent Sale?? (Road # 3) 1. Sales / SQM Feature: 41000? Land / Lands: Garment is near the 3rd Arrong Road ? fland on the Main Road # 3 is located Only 1.8km from Choam Choam Chao. ?this property and Ground Has Surrounded A Lot of Building for Example Commercial condominiums, Hotel, Gasoline Station etc. 5. LOCATION Angk Village, Por Senat Village, Por Senat Village Kantaok, Kamboint, Phnom Penh (Road # 3)",11.44254322,104.8982163,22550000.0
224905.0,Land for Sale on the Road No. 3,"$16,400,000",,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,National Raod No. 3 3,Land/Development,False,residential,"Vacant Land for Sale ??Location: On the National road No. 3-Phum Anlong Takeat, Sangkat Kantaok, Khan Kamboul, Phnom Penh ??Selling Price: $400/sqm (Negotiable) ??Total Land Size: 41,000 square meters ??Hard title ownership",11.5445,104.913586,16400000.0
223921.0,Land for sale urgent (Road #3),"$22,550,000",,,41000.0,Phnom Penh,Por Sen Chey,Kantaok,National Road No.3,Land/Development,False,residential,"Land for Urgent Sale?? (Road # 3) 1. Sales / SQM Feature: 41000? Land / Land Feature on National Roads Gasten and near the 3rd Arrong Road ? landed on the Main Road # 3 is located Only 2.5km from the Sky Bridge Choam Choam Choam Chao. ?this property and Ground Has Surrounded A Lot of Building for Example Commercial condominiums, Hotel, Gasoline Station etc. 5. LOCATION Angkva Village, Por Sen Chang, Khambang, Por Sen Villak Vake Kantaok, Kamboint Kamboint Kantaoul, Phnom Penh, Phnom Penh, Phnom Penh https://maps.goo.Gool.gl/nvmfwvb6JqCHTH3JQQS36 Land for urgent Sale?? (Road # 3)",11.43012221,104.870161,22550000.0
247361.0,Factory and Land  for Sale ,"$19,000,000",,,40800.0,Phnom Penh,Prek Pnov,Kouk Roka,  ,Factory,False,commercial,"This expansive factory and land property , located in a thriving industrial area, is now available for sale at $19M . With a generous land size of 170m x 240m , the property is perfect for large-scale manufacturing or industrial use. The site includes: A spacious main factory building measuring 90m x 180m An EPS factory of 30m x 70m An office building spanning 20m x 35m across three floors Dormitory units (3 units, each 6m x 8m) The property also features a robust 380Amh electricity supply , ensuring smooth industrial operations. Conveniently located just 5 minutes from the PPSHV expressway , it is close to schools, supermarkets, restaurants, and a well-developed manufacturing area. This property offers both strategic location and functional infrastructure for businesses. Key Features: - Land size: 170m x 240m - Main factory: 90m x 180m - EPS factory: 30m x 70m - Office building: 20m x 35m (3 floors) - Dormitories: 3 units, 6m x 8m each - Electricity: 380Amh - Hard title - Prime location near expressway and commercial amenities Contact us now for more details or to arrange a viewing!",11.537783,104.920232,19000000.0
238522.0,Luxury Loft Condo For Sale (Fully furnished),"$98,000",1.0,1.0,40000.0,Phnom Penh,Chroy Changvar,Chroy Changvar, ,Condo,False,residential,"?? Concono for sale | CONDO FOR SALE ?? Sales Price | Sale Price: 80,000 $ ?? Chroy Changvar | Chroy Chong Var ?? Immediately login | Ready to Move in ?? Details | Unit Details: - Room size | Room Size: 58SQM - Bedroom | BedRoms: 1 (Loft) - Bathroom | Bathrooms: 1 - Living Room | Living Room: 1 - Kitchen | Kitchen: 1 ? Include | Included - Complete Furniture | Fully Furnished - Natural Garden 21% | 21% Green Garden - Swimming Pool | Swimming Pool - Gym Club | Gym - Security 24/7 | Security 24/7 - Liversist landscape | Sighseeing River View",11.62202982,104.9270802,98000.0
