id,price_display,bedrooms,bathrooms,land_area,address_subdivision,address_locality,address_line_2,category_name,is_parent,type,latitude,longitude
235560.0,114000.0,4.0,5.0,71.4,Phnom Penh,Chroy Changvar,Preaek Lieb,Unit,False,residential,11.589674,104.925654
248374.0,188343000.0,,,104635.0,Phnom Penh,Russey Keo,Tuol Sangkae 1,Land/Development,False,residential,11.5878099,104.9022337
248290.0,58800000.0,,,84000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.537783,104.920232
248489.0,90000.0,1.0,1.0,76000.0,Phnom Penh,Meanchey,Chak Angrae Leu,Condo,False,residential,11.537783,104.920232
235239.0,276264450.0,,,55811.0,Phnom Penh,Daun Penh,Srah Chak,Land/Development,False,residential,11.57920232,104.9086133
223801.0,22550000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.44254322,104.8982163
224905.0,16400000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586
223921.0,22550000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.43012221,104.870161
247361.0,19000000.0,,,40800.0,Phnom Penh,Prek Pnov,Kouk Roka,Factory,False,commercial,11.537783,104.920232
238522.0,98000.0,1.0,1.0,40000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Condo,False,residential,11.62202982,104.9270802
222501.0,5447904.0,,,32428.0,Phnom Penh,Por Sen Chey,Kakap,Land/Development,False,commercial,11.5476122,104.8602313
235646.0,3297720.0,,,27481.0,Phnom Penh,Dangkao,Krang Pongro,Land/Development,False,residential,11.500658,104.856173
235026.0,5070000.0,,,26000.0,Phnom Penh,Dangkao,Prey Sa,Land,False,commercial,11.500658,104.856173
218563.0,65000.0,1.0,1.0,25000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Condo,False,residential,11.59258451,104.9367586
157841.0,60000.0,1.0,1.0,25000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Condo,False,residential,11.58,104.93
218562.0,66000.0,1.0,1.0,25000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Condo,False,residential,11.59258451,104.9367586
248375.0,26601600.0,,,22168.0,Phnom Penh,Sen Sok,Khmuonh,Land,False,commercial,11.60078634,104.8784612
237126.0,119000.0,1.0,1.0,20000.0,Phnom Penh,Por Sen Chey,Chaom Chau 1,Condo,False,residential,11.549282,104.8646489
237361.0,100000.0,1.0,1.0,20000.0,Phnom Penh,Por Sen Chey,Chaom Chau 1,Condo,False,residential,11.54903429,104.8649125
248484.0,5256000.0,,,18777.0,Phnom Penh,Meanchey,Chak Angrae Kraom,Land,False,commercial,11.50144636,104.9259348
247330.0,35670600.0,,,18774.0,Phnom Penh,Meanchey,Chak Angrae Kraom,Land/Development,False,residential,11.51633096,104.954246
245643.0,30977100.0,,,18774.0,Phnom Penh,Dangkao,Cheung Aek,Land,False,commercial,11.48641675,104.9203548
221629.0,2400000.0,,,16000.0,Phnom Penh,Por Sen Chey,Ovlaok,Land/Development,False,residential,11.58477615,104.75505
224835.0,1462050.0,,,15390.0,Phnom Penh,Por Sen Chey,Kamboul,Land,False,commercial,11.5445,104.913586
224830.0,428100.0,,,14270.0,Phnom Penh,Por Sen Chey,Ovlaok,Land,False,commercial,11.5445,104.913586
227132.0,1320000.0,,,12000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586
247431.0,20000000.0,,,11817.0,Phnom Penh,Russey Keo,Tuol Sangkae 1,Land/Development,False,residential,11.537783,104.920232
227764.0,2800000.0,,,10826.0,Phnom Penh,Chroy Changvar,Koh Dach,Land/Development,False,residential,11.59354169,104.9299455
226992.0,3000000.0,,,10774.0,Phnom Penh,Chroy Changvar,Preaek Lieb,Land/Development,False,residential,11.67816267,104.90478
244640.0,3282500.0,,,10100.0,Phnom Penh,Sen Sok,Kouk Khleang,Land/Development,False,residential,11.578108,104.87022
246441.0,18605450.0,,,10057.0,Phnom Penh,Meanchey,Chak Angrae Leu,Land,False,commercial,11.51810089,104.9275476
163525.0,40500000.0,,,10000.0,Phnom Penh,Prek Pnov,Preaek Pnov,Land/Development,False,residential,11.624955,104.81784
241439.0,2000000.0,,,10000.0,Phnom Penh,Chroy Changvar,Bak Kaeng,Land/Development,False,residential,11.589674,104.925654
223096.0,35000.0,,6.0,10000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Food/Hospitality,False,commercial,11.589674,104.925654
223339.0,123500.0,4.0,5.0,9366.0,Phnom Penh,Russey Keo,Tuol Sangkae 2,House,False,residential,11.59015,104.909641
247338.0,1492800.0,,,9330.0,Phnom Penh,Dangkao,Pong Tuek,Land/Development,False,residential,11.46218433,104.8357977
155964.0,12240000.0,,,8160.0,Phnom Penh,Chbar Ampov,Chbar Ampov I,Land/Development,False,residential,11.47168139,104.9178604
201841.0,14996100.0,,,8106.0,Phnom Penh,Russey Keo,Tuol Sangke,Factory,False,commercial,11.59,104.9
243954.0,796000.0,,,7960.0,Phnom Penh,Dangkao,Tien,Land/Development,False,residential,11.43934032,104.849064
248709.0,14476000.0,,,7825.0,Phnom Penh,Meanchey,Chak Angrae Leu,Land/Development,False,residential,11.52402148,104.9285052
237930.0,944580.0,0.0,,7266.0,Phnom Penh,Por Sen Chey,Boeung Thum,Land/Development,False,residential,11.46605602,104.7488407
224859.0,2559960.0,,,7111.0,Phnom Penh,Chbar Ampov,Preaek Thmei,Land,False,commercial,11.52928,104.941454
249665.0,4230000.0,,,6792.0,Phnom Penh,Meanchey,Stueng Mean chey,Warehouse,False,commercial,11.530254,104.8976
240895.0,20521600.0,,,6413.0,Phnom Penh,7 Makara,Mittapheap,Land,False,commercial,11.56585712,104.9128345
243250.0,10000000.0,20.0,25.0,6300.0,Phnom Penh,Chbar Ampov,Preaek Pra,Villa,False,residential,11.50338427,104.9650477
245978.0,2001600.0,,,6255.0,Phnom Penh,Dangkao,Tien,Land/Development,False,residential,11.504923,104.89187
211836.0,3410000.0,,,6200.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Land/Development,False,residential,11.59345306,104.9543759
