Unnamed: 0,id,price_display,bedrooms,bathrooms,land_area,information,address_subdivision,address_locality,address_line_2,category_name,is_parent,type,source_url,language,latitude,longitude
766,148077,99000,1,1,55,"1Bedroom Condominium for Sale-(Chak Angrae Kraom) ,Rentex is proud to present this stunning property located in the Phnom Penh Neighborhood of Meanchey , This property is available for lease and is suitable for professionals looking to stay close to the center of Phnom Penh in a prestigious location. Properties Code : 1371 Sale Price: $1800 - $1950 / 1sqm Features include: - Full Furnished – Wifi & cable Tv – Gym,Pool – 24H/Security - Balcony - Parking Car & Motor",Phnom Penh,Meanchey,Chak Angrae Kraom,Condo,FALSE,residential,https://www.realestate.com.kh/148077/,en,11.55099,104.916054
957,235162,100000,,,1890,"Land for Sale in Thmor Village, Sangkat Tien, Khan Dangkor, Phnom Penh - Negotiable Price | Asking price: $ 55 / 1m² - Land size | Land size: 21m x 90m (5m in front of the road) - Solid plan | Hard title 1,862sqm - Location | Location: Thmor Village, Sangkat Tien, Khan Dangkor, Phnom Penh",Phnom Penh,Dangkao,Tien,Land/Development,FALSE,residential,https://www.realestate.com.kh/235162/,en,11.44846374,104.8506052
2076,217165,1848000,14,15,264,Shophouse sell $7000/1sqm (negotiable) 14Rooms Size 8m X 33m Located Phsa they,Phnom Penh,Daun Penh,Boeng Reang,Shophouse,FALSE,residential,https://www.realestate.com.kh/217165/,en,11.56176184,104.9246896
2655,216255,1675800,12,,266,"• Receive detailed information and fix your appointment with our agent today! • Contact me : phone, whatsapp, Line, Telegram or email. MORE DETAILS: Shophouse sell $6300/1sqm 12Bedrooms Fully furnished Size266sqm Hart tittle",Phnom Penh,Chamkarmon,BKK 1,House,FALSE,residential,https://www.realestate.com.kh/216255/,en,11.55100911,104.92897
3566,215874,1848000,14,0,264,Shophouse sell $7000/1sqm 14Rooms Size 8m X 33m Located Psa Thmey on Main Street (Negotiable),Phnom Penh,Daun Penh,Boeng Reang,Shophouse,FALSE,residential,https://www.realestate.com.kh/215874/,en,11.56022731,104.9222315
4023,222625,1050168,,,1406,"Land for sale not yet located on Chamkar Dong main road, close to brewery, 19 x 74, full title deed, price $780/1 sqm, negotiable, price 30-40% below market price Good location for warehouse , buildings, and various workshops.",Phnom Penh,Dangkao,Dangkao,Land/Development,FALSE,commercial,https://www.realestate.com.kh/222625/,en,11.51430396,104.8897497
183,222925,149000,2,1,75.69,"For Sale 2 Bedroom–1 Bathroom High Quality Condo: 18th floor, Area 75.69 sq.m R&F Garden City Complex Phnom Penh Cambodia Fully Furnished ready to move in Everything provided with Hard Title $149,000: Brand new 2 bedroom Condo for sale with all quality furniture and accessories Including: All light fittings, 2 X TVs 1- 49 inch, 1- 60 inch Samsung Smart TV wall mounted with sound bar, TV cabinet, Refrigerator, Washing machine, cable network, blackout curtains, rice cooker, air fryer, small oven, upgraded shower system, personal fitness equipment, cookware, quality cutlery, full size 1.8mX2m beds, security safe, rugs and other fixtures. Residents enjoy a world-class gymnasium, outdoor tennis court, snooker room, mahjong rooms, indoor golf practice facility, huge swimming pool, exterior and interior entertainment areas, indoor basketball, badminton and table tennis courts. 7/24 hour security service is also provided. Supermarkets, Hair dresser, Restaurants are included in the condo complex. Residents have access to 3 elevators in the apartment tower as well as a mailbox. There are 3 air-conditioned units in the unit, (lounge, master bedroom and second bedroom). Data communication and video intercom system are also installed. The property is covered by a comprehensive CCTV security system as well as a fire protection system including smoke sensors. This apartment is ready for you to move into now, whether buying or renting, personal items and food are the only things you need to bring with you. Close to new and upcoming construction projects nearing completion, Chip Mong Mega Mall (now open), : Aeon3 Shopping Mall  (Opening soon), PH Eco Mall, New International Airport, Borey Chip Mong, Borey Peng Huot, close to shops Restaurants and Embassies. You are most welcome to Inspect by appointment only.",Phnom Penh,Meanchey,Chak Angrae Leu,Apartment,FALSE,residential,https://www.realestate.com.kh/222925/,en,11.5445,104.913586
3826,247586,95000,2,1,3.6,"PRICE SLASHED FOR QUICK SALE Fantastic Investment Opportunity Superior Quality 2 Bedroom, 1 Bathroom Condominium Fully Furnished, Quality Furniture through out Ready to purchase now with Hard Title 12 Months Current Rental Agreement $95,000-Or Nearest Offer •	Lounge-Office: Desk, office chair, 2 door refrigerator •	60-inch Smart TV (wall mounted) with high quality Yamaha sound bar (wall mounted) •	Large quality lounge, with storage cabinet, TV storage cabinet, cable network (Wi Fi) •	Blackout curtains to all rooms. outside verandah with washing machine and clothes lines. •	Separate Kitchen: Online gas Cooking, water and electricity plus dehumidifier, microwave and dry fryer, with extra storage space. •	Dining: Large Quality dining table and 4 chairs. Full set of Dining requirements, cutlery and dining utensils. •	Bathroom: Upgraded shower system. Storage cabinets. •	Bedrooms X2 Both Full size beds 1.8X2m with wardrobes. Master bedroom has a security safe, wall mounted 49” inch TV. bedside lockers. Makeup desk. •	There are 3 air-conditioning units in the condo, (lounge/office, master bedroom and second bedroom). •	Amenities: Inside and exterior meeting areas, residents can enjoy a world-class gymnasium, outdoor tennis court, snooker room, mahjong rooms, indoor golf practice facility, huge swimming pool, interior and exterior entertainment areas, full size indoor basketball court, plus badminton and table tennis courts. New flyover nearing completion giving access to Monivong Blvd. Norodom Blvd. and Road No1. •	 7/24-hour security guard service is also provided. The property is covered by a comprehensive CCTV security system as well as a fire protection system including smoke sensors. •	Close to: Aeon3 Shopping Mall, Chip Mong Mega Mall, PH Eco Mall, Borey Chip Mong, Borey Peng Huot close to shops and restaurants, Embassies and Universities. New International Airport near completion, new flyover completed giving access to Monivong Blvd. Norodom Blvd. and Road No1 This Investment opportunity is available now.",Phnom Penh,Meanchey,Chak Angrae Leu,Condo,FALSE,residential,https://www.realestate.com.kh/247586/,en,11.52674897,104.9282872
1311,242938,2667000,,,4,"Land Sale: Rarar Street, Sangkat Phnom Penh Thmey, Sen Sok Land: 27m ?:::----------------------------------------------------------------------------- St.Rada, Phnom Penh Thmey, Sen Sok, PP eak Title: 10m ?:04M2 Hard Titlee, Warehouse, Investment and Other Business",Phnom Penh,Sen Sok,Phnom Penh Thmey,Land/Development,FALSE,residential,https://www.realestate.com.kh/242938/,km,11.58432554,104.8736786
1247,242847,120000,4,5,4.1,"House for sale at $ 120,000, negotiable, size 4.1mx16m, solid layout, 4 bedrooms, 5 bathrooms, tiled roof, facing south, Street 5, Kraing Angkrang village, Sangkat Kraing Thnong, Khan Sen Sok (New World Borey). ???? ???) -------------------------------------- House for Sale: Asking price USD120 , 000 Hard title. House in Borey Piphubthmei Sala Mom, Street 5, Phum Kraing Angkrang, Sangkat Kraing Thnung, Khan Sen Sok, Phnom Penh. Size: 4.1 mx 16 m 4 bedrooms 5 restrooms For more information:",Phnom Penh,Sen Sok,Krang Thnong,House,FALSE,residential,https://www.realestate.com.kh/242847/,en,11.58238352,104.860572
