id,price_display,bedrooms,bathrooms,land_area,address_subdivision,address_locality,address_line_2,category_name,is_parent,type,latitude,longitude,geometry,index_right,population
235560.0,114000.0,4.0,5.0,71.4,Phnom Penh,Chroy Changvar,Preaek Lieb,Unit,False,residential,11.589674,104.925654,POINT (104.925654 11.589674),54162.0,11327.0
235560.0,114000.0,4.0,5.0,71.4,Phnom Penh,Chroy Changvar,Preaek Lieb,Unit,False,residential,11.589674,104.925654,POINT (104.925654 11.589674),54162.0,11327.0
235560.0,114000.0,4.0,5.0,71.4,Phnom Penh,Chroy Changvar,Preaek Lieb,Unit,False,residential,11.589674,104.925654,POINT (104.925654 11.589674),54162.0,11327.0
248374.0,188343000.0,,,104635.0,Phnom Penh,Russey Keo,Tuol Sangkae 1,Land/Development,False,residential,11.5878099,104.9022337,POINT (104.9022337 11.5878099),54093.0,8037.0
248374.0,188343000.0,,,104635.0,Phnom Penh,Russey Keo,Tuol Sangkae 1,Land/Development,False,residential,11.5878099,104.9022337,POINT (104.9022337 11.5878099),54093.0,8037.0
248290.0,58800000.0,,,84000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
248290.0,58800000.0,,,84000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
248290.0,58800000.0,,,84000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
248290.0,58800000.0,,,84000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
248489.0,90000.0,1.0,1.0,76000.0,Phnom Penh,Meanchey,Chak Angrae Leu,Condo,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
248489.0,90000.0,1.0,1.0,76000.0,Phnom Penh,Meanchey,Chak Angrae Leu,Condo,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
248489.0,90000.0,1.0,1.0,76000.0,Phnom Penh,Meanchey,Chak Angrae Leu,Condo,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
248489.0,90000.0,1.0,1.0,76000.0,Phnom Penh,Meanchey,Chak Angrae Leu,Condo,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
235239.0,276264450.0,,,55811.0,Phnom Penh,Daun Penh,Srah Chak,Land/Development,False,residential,11.57920232,104.9086133,POINT (104.9086133 11.57920232),53926.0,9274.0
223801.0,22550000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.44254322,104.8982163,POINT (104.8982163 11.44254322),54817.0,1188.0
224905.0,16400000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0
224905.0,16400000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0
224905.0,16400000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0
224905.0,16400000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0
224905.0,16400000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0
224905.0,16400000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0
223921.0,22550000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.43012221,104.870161,POINT (104.870161 11.43012221),54812.0,994.0
247361.0,19000000.0,,,40800.0,Phnom Penh,Prek Pnov,Kouk Roka,Factory,False,commercial,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
247361.0,19000000.0,,,40800.0,Phnom Penh,Prek Pnov,Kouk Roka,Factory,False,commercial,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0
