id,price,bedrooms,bathrooms,land_area,address_subdivision,address_locality,address_line_2,category_name,is_parent,type,latitude,longitude,price_per_m2,information,price_display,geometry,index_right,population,h_id,nearest_cafe,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,nearest_gas_station,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,nearest_hospital,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,nearest_hotel,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,nearest_pre_school,n_pre_school_in_1km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,nearest_secondary_school,n_secondary_school_in_1km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,nearest_primary_school,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,nearest_university,n_university_in_1km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,nearest_seven_eleven,n_seven_eleven_in_1km,n_seven_eleven_in_1km_to_2km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,nearest_resturant,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,nearest_super_market,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,nearest_borey,n_borey_in_1km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,nearest_bank,n_bank_in_1km,n_bank_in_1km_to_2km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km
185714.0,1100000.0,7.0,7.0,124.0,Phnom Penh,Daun Penh,Chakto Mukh,Shophouse,False,residential,11.57561,104.92025,8870.967741935483,"Shop House for Sale Now In Business Area at Riverside  !!!/T'S HOME Real Estate Phnom Penh. ??Property ID : TS-108 ??Room Type :  7 Bedroom / 7 Bathroom ?? Price : 1,100,000USD ?? Land Size : 4m × 31m ?? House Size: 4m × 31m ?? Total Floor: 3 Location : Riverside Area, Phnom Penh.","$1,100,000",POINT (104.92025 11.57561),53920.0,16252.0,8865846aadfffff,11,10,33,44,76,0,14,20,26,82,8,13,48,22,21,7,23,35,15,9,2,14,28,38,27,2,0,12,33,46,2,2,22,20,32,1,2,13,20,28,3,3,11,40,46,1,3,6,8,17,3,47,42,19,8,1,14,28,25,29,0,0,1,4,11,2,5,8,8,5,15,41,72,27,31
185539.0,680000.0,4.0,5.0,80.0,Phnom Penh,Chamkarmon,BKK 3,House,False,residential,11.55,104.93,8500.0,"Shop House for Sale Now In Business Area at BKK3 !!!/T'S HOME Real Estate Phnom Penh. ??Property ID : TS-024 ??Room Type : 4 Bedroom / 5 Bathroom ?? Price : 680,000USD ?? Land Size : 5m × 16m ?? House Size: 4m × 16m ?? Total Floor: Ground Floor Location : BKK3 Phnom Penh.","$680,000",POINT (104.93 11.55),53894.0,7658.0,8865846ae9fffff,7,14,32,49,62,2,1,9,53,57,2,14,29,44,22,2,8,27,39,12,3,5,32,29,32,7,10,16,19,27,4,3,16,16,34,0,4,13,15,31,2,3,11,11,54,2,0,8,11,12,9,7,34,64,4,2,13,23,30,20,0,0,1,2,16,1,1,7,12,4,2,14,39,89,33
217752.0,550000.0,3.0,4.0,66.0,Phnom Penh,Daun Penh,Chey Chumneah,Retreat,False,residential,11.57561,104.92025,8333.333333333334,"Price: $550.000 (negotiable) House size: 5m x 11m Land size: 6m x 11m Ground Floor, first floor, and second floor with a beautiful terrace. 3 bedrooms, 4bathrooms, 1 living room, 2 kitchens. * It takes only few minutes to Preah Sisowath High School. *The house face North (Benefit: the house have rental monthly income)","$550,000",POINT (104.92025 11.57561),53920.0,16252.0,8865846aadfffff,11,10,33,44,76,0,14,20,26,82,8,13,48,22,21,7,23,35,15,9,2,14,28,38,27,2,0,12,33,46,2,2,22,20,32,1,2,13,20,28,3,3,11,40,46,1,3,6,8,17,3,47,42,19,8,1,14,28,25,29,0,0,1,4,11,2,5,8,8,5,15,41,72,27,31
228897.0,750000.0,9.0,10.0,116.0,Phnom Penh,Chamkarmon,Tonle Bassac,Villa,False,residential,11.5445,104.913586,6465.517241379311,"- Address: Commune Tonle Bassak , District  Chamkarmon , Phnom Penh - Land area :  11m x 12.5m - Built up area : 11m x 12.5m - Floors ( s ) : 3 - Price : $750,000","$750,000",POINT (104.913586 11.5445),53909.0,23239.0,8865846ac7fffff,7,12,36,37,85,1,13,20,35,76,1,4,36,49,22,0,3,5,36,47,3,9,23,30,38,3,12,26,16,33,3,4,14,30,22,2,4,17,21,35,0,8,7,24,62,1,6,5,4,18,2,4,18,28,68,2,9,20,29,35,0,0,3,3,18,0,0,10,9,7,3,6,28,59,83
190024.0,420000.0,5.0,6.0,65.0,Phnom Penh,Chroy Changvar,Chroy Changvar,House,False,residential,11.58,104.93,6461.538461538462,"Town House For Sale in Chroy Changvar Area, Phnom Penh/T'S HOME Real Estate Phnom Penh ??Property ID : TS-379 ??Bedroom : 5 ??Bathroom : 6 ?? Price : 420,000 USD ?? Land Size : 4.1m x 16m ?? Floor Size : 4.1m x 16m","$420,000",POINT (104.93 11.58),54133.0,5351.0,886584685bfffff,0,6,27,37,87,0,0,17,26,63,1,4,20,54,30,0,20,40,12,15,2,7,25,17,53,0,1,5,18,60,0,2,14,17,32,0,0,9,10,33,0,1,8,10,64,0,0,7,4,20,0,35,49,18,16,0,4,23,26,34,0,0,0,4,10,0,1,7,11,6,2,24,68,47,36
185535.0,420000.0,3.0,3.0,65.0,Phnom Penh,Chamkarmon,Olympic,House,False,residential,11.55,104.93,6461.538461538462,"Town House for Sale Now In Business Area Olympic !!!/T'S HOME Real Estate Phnom Penh. ??Property ID : TS-102 ??Room Type : 3 Bedroom / 3 Bathroom ?? Price : 420,000USD ?? Land Size : 65? ?? House Size: 64? ?? Total Floor: 2 Location : Olympic Phnom Penh.","$420,000",POINT (104.93 11.55),53894.0,7658.0,8865846ae9fffff,7,14,32,49,62,2,1,9,53,57,2,14,29,44,22,2,8,27,39,12,3,5,32,29,32,7,10,16,19,27,4,3,16,16,34,0,4,13,15,31,2,3,11,11,54,2,0,8,11,12,9,7,34,64,4,2,13,23,30,20,0,0,1,2,16,1,1,7,12,4,2,14,39,89,33
246446.0,1200000.0,,,186.0,Phnom Penh,Daun Penh,Boeng Reang,other,False,commercial,11.56709104,104.9204394,6451.612903225807,"This 5-story building in Daun Penh is now available for sale or rent . It sits on a land size of 186 sqm with a building size of 13m x 14m . With a hard title , this property is a great choice for long-term investment. Located in a highly convenient area , this building is surrounded by key attractions such as the Royal Palace, National Museum, the Riverside, and Central Market . It is also close to commercial buildings, clinics, residential areas, and international schools , making it perfect for businesses, offices, or rental opportunities. This property offers a great space for commercial use, such as an office, retail shop, or boutique hotel. The location attracts high foot traffic and is ideal for investment. Dont miss this chance to own or lease a property in a prime area. Contact us today for more details! Key Features:  Land size: 186 sqm  Building size: 13m x 14m  Total 5 floors (E0 to E4)  Hard title  Convenient location  Near Royal Palace, National Museum, Riverside, Central Market, commercial buildings, clinics, residential areas, and international schools","$1,200,000",POINT (104.9204394 11.56709104),53895.0,28799.0,8865846ae7fffff,4,18,47,49,59,3,6,26,37,79,17,29,42,15,9,10,24,42,8,7,5,17,38,28,22,0,6,17,32,41,3,11,11,22,29,1,7,7,26,33,3,8,11,41,42,1,5,5,12,11,5,45,58,5,7,9,16,30,17,26,0,1,2,1,10,5,4,10,4,3,17,60,62,27,19
238744.0,6500000.0,6.0,13.0,1010.0,Phnom Penh,Chbar Ampov,Nirouth,Villa,False,residential,11.54177567,104.970984,6435.643564356436,"Stylish modern villa for sale at Norea Cove Residences is an amazing luxury resort villa project that has never been seen on Koh Norea in a new style. This villa is located opposite of Diamond Island (Koh Pich) and you just travel 4 minutes from AEON Mall-1, 5 minutes from Independence Monument and 5 minutes from Riverside or Royal Palace, Phnom Penh. ? This project is development of 3.8 hectares with 34 houses, making life fresh, a beautiful view, natural beauty, private relaxing. ? Type A has 10 houses and facing to the Mekong River ? Land size: 26.37m x 38.3m = 1,010 sqm ? House size: 2,737 sqm ? Stories: 04 stories house ? 06 Bedrooms | 13 Bathrooms ? 10 Cars parking lots ? The house has equipped with a modern elevator that can carry 23 persons ? Swimming pool 5m x 25m with depth 1.2m The selling price is starting from $6,500,000 to $8,500,000 negotiable and for the payment, all customers can pay in Cambodia or make payments abroad. Comes with 3 amenities, big open living area, big terraces  view, security guard post, elevator, maid's room, driver's room, laundry room, dining area, dry and wet kitchen suite,  central air conditioning inside the villa, steam room, cinema room and swimming pool. Don't miss out on this chance to be part of the bustling city center. Contact us now to explore the potential of this remarkable property and secure your place in the heart of Koh Norea (Norea New City), Phnom Penh!","$6,500,000",POINT (104.970984 11.54177567),53984.0,1781.0,8865846a09fffff,0,0,8,2,26,0,0,5,4,18,0,0,1,0,10,0,0,0,0,14,0,0,0,0,9,0,1,0,1,16,0,0,0,1,12,0,0,0,0,9,0,0,0,1,5,0,0,2,1,5,0,0,0,0,12,0,0,0,2,10,0,0,2,6,5,0,0,0,0,2,0,0,0,0,11
214067.0,450000.0,4.0,5.0,70.0,Phnom Penh,Chamkarmon,BKK 1,Flat,False,residential,11.55,104.93,6428.571428571428,"Flat (3 floors) near Monivong Thom Road and Phumin Administration School need to sell urgently * Price only: $ 450,000 (negotiable) *This price includes transfer of title *Lot area: 70 sqm (size in plot) * House size: 5.2m x 12m * Parking in front of the street 5 m * 4 Bedrooms & 5 Bathrooms * house facing direction: east - Location: 150m from Phomin Administrative School, 700m from Boeung Keng Kang Market and 300m from Monivong Thom Road. - Can pay installment through bank for 20 years but need to pay 30% of the house price in advance.","$450,000",POINT (104.93 11.55),53894.0,7658.0,8865846ae9fffff,7,14,32,49,62,2,1,9,53,57,2,14,29,44,22,2,8,27,39,12,3,5,32,29,32,7,10,16,19,27,4,3,16,16,34,0,4,13,15,31,2,3,11,11,54,2,0,8,11,12,9,7,34,64,4,2,13,23,30,20,0,0,1,2,16,1,1,7,12,4,2,14,39,89,33
212884.0,899900.0,6.0,5.0,140.0,Phnom Penh,Toul Kork,Phsar Depou I,House,False,residential,11.57,104.89,6427.857142857143,"House near Sunthor Muk High School and Depo Market need to sell urgently * Sale price only: $899,900 dollars (negotiable) *This price includes transfer of title * Land size: 10m x 14m * House size: 10m x 9.8m * 4.2m left of front land * 6 Bedrooms & 5 Bathrooms * home facing : south - Location: 450m from Sunthor Muk High School, 600m from Depo Market and 550m from Depot Market Community School. - Can pay installment through bank for 20 years but need to pay 30% of the house price in advance.","$899,900",POINT (104.89 11.57),53919.0,5039.0,8865846ab1fffff,5,9,16,44,106,0,11,24,57,86,1,2,11,29,69,0,1,6,4,81,0,5,18,15,67,1,6,19,18,56,0,4,8,20,48,0,3,21,21,41,12,24,27,15,32,0,5,2,5,25,0,1,1,3,114,1,3,11,18,70,0,1,2,11,15,0,0,3,8,16,0,3,11,29,138
