name,lat,lon
ធនាគារ អេ​ស៊ី​លី​ដា ភី​អិល​ស៊ី,11.5550195,104.9283812
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5657976,104.9194082
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.584462,104.9001744
ធនាគារ​ អេស៊ីលីដា ភីអិលស៊ី,11.598483,104.9182391
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5438687,104.9209647
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី - ការិយាល័យ​កណ្តាល,11.5776358,104.9169979
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5930287,104.9301176
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5478981,104.9326897
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5591105,104.9094634
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5482374,104.9063608
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5627765,104.8620171
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.535846,104.8306006
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5360502,104.8861802
អេធីអឹម ធនាគារ​អេស៊ីលីដា,11.5777138,104.9170115
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.6201993,104.9125554
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5111988,104.8910169
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី (សាខាខេត្តកណ្តាល),11.4814025,104.9443042
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5292477,104.9147558
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.6623643,104.8611496
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5749761,104.9180132
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5584611,104.9093961
ACLEDA ATM - Orussey Restaurant,11.562452,104.922298
ធនាគារ​អេ​ស៊ី​លីដា​ សាខា​ច្បារអំពៅ​,11.5313334,104.9392225
ACLEDA Bank Plc. - GDT,11.5694677,104.8998782
ACLEDA Bank Plc. - AEON Mall Sen Sok City,11.5988853,104.8849486
ម៉ាស៊ីនដកប្រាក់ ធនាគារអេស៊ីលីដា,11.5737158,104.9208984
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5741383,104.9192652
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.521979,104.7821043
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5538358,104.9018332
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5583181,104.9053027
ACLEDA ATM - Raintree,11.572165,104.919156
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5695821,104.9105608
ACLEDA ATM - Amazon (Ang Doung),11.5727147,104.9238546
ACLEDA ATM - Central Park Sport Complex,11.5796837,104.9102343
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5610853,104.9256997
ACLEDA Bank Plc. - NSSF,11.60555,104.8568314
អេធីអឹម-ធនាគារ​អេស៊ីលីដា,11.5663032,104.8948925
អេធីអឹម ធនាគារ​អេស៊ីលីដា,11.5559926,104.919675
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5115582,104.7496266
ACLEDA Self Service Banking (ATM),11.567361,104.924862
ACLEDA Self Service Banking (ATM),11.5667984,104.9176846
ACLEDA ATM - Office of Council Ministers,11.5695113,104.912767
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5590192,104.9094062
