name,lat,lon
ABA ATM,11.5751716,104.9257393
CIMB Bank ATM,11.5737924,104.9214193
ABA ATM,11.5727412,104.924722
SATHAPANA Bank ATM,11.5751208,104.925748
ធនាគារ ចិន ម៉ាស៊ីនអេធីអឹម,11.5723944,104.9185561
KB PRASAC ATM - Cambodia Post,11.575103,104.9257227
អេធីអឹមធនាគារមេយប៊ែង,11.5718432,104.9213198
BRED Bank (Cambodia) ATM,11.5760396,104.9260343
ATM ធនាគារ​ស្ថាបនា,11.5733853,104.9243431
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5752072,104.925733
ACLEDA Self Service Banking (ATM),11.5736403,104.928146
J Trust Royal ATM,11.5732879,104.928274
ATM ធនាគារ​កាណា​ឌីយ៉ា,11.5739375,104.9240625
អេធីអឹម-ធនាគារ FTB,11.5763005,104.9246143
ABA ATM,11.5739044,104.9213586
BRED Bank (Cambodia) ATM,11.5751649,104.9191807
Prince Bank ATM,11.5752067,104.9257212
FTB ATM,11.571755,104.921989
J Trust Royal ATM,11.57385,104.92793
J Trust Royal ATM,11.57304,104.92799
WOORI ATM - Total Station La Gare,11.5720868,104.9173203
អេធីអឹម ហត្ថាកសិករ - តូតាល់ ឡាហ្គែ,11.5717307,104.9174421
SATHAPANA Bank ATM,11.5723333,104.9169385
ABA ATM,11.5647278,104.9194447
ABA ATM,11.5696252,104.9221409
FTB ATM,11.573818,104.917659
Wing Bank Wat Phnom Branch,11.5712454,104.9202109
ABA ATM,11.5714881,104.9216299
WOORI ATM/Cash-In - Phsar Thmey Ti3,11.5689903,104.9222147
"ហត្ថាកសិករ លីមីតធីត, ជិតផ្សារទំនើបសូរិយា អេធីអឹម",11.5667784,104.9216007
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5741383,104.9192652
អេធីអឹម ធនាគារ អេស៊ីលីដា,11.5749761,104.9180132
ឣេធីឣឹម ធនាគារ ប្រៃសណីយ៍កម្ពុជា ក.អ,11.5673965,104.9209674
