name,lat,lon
ធនាគារកម្ពុជាហធារណៈ,11.5694605,104.9259601
ធនាគារ ប្រេដ ប៊ែង (ខេមបូឌា) ភីអិលស៊ី,11.568278,104.9245439
ធនាគារ​ពាណិជ្ជកម្ម​ក្រៅ​ប្រទេស​នៃ​កម្ពុជា,11.5717577,104.9214633
ធនាគារស្ថាបនា សាខាមាត់ទន្លេ,11.575301,104.926812
ធនាគារប្រៃសណីយ៍កម្ពុជា,11.572225,104.9204914
M.G.N Emperor Bank Plc.,11.5705623,104.9239001
KB PRASAC Phsar Kandal Branch_CDM_ATM,11.5716104,104.9276696
ធនាគារ​ស្ថាបនា​,11.5661322,104.9252393
CIMB Bank,11.573797,104.921301
ACLEDA Self Service Banking (ATM),11.5736403,104.928146
ម៉ាស៊ីន​ដក់​ប្រាក់​ ធនាគារ​អេហ្វធីប៊ី,11.5701556,104.9208253
ធនាគារ​កម្ពុជា​សាធារណៈ (ការិយាល័យ​កណ្តាល),11.5713639,104.9189735
ធនាគារ ឈីហ្វ-សាខានរោត្តម,11.5694264,104.9246516
ធនាគារ​មេយប៊ែង,11.568629,104.9244984
Wing Bank Wat Phnom Branch,11.5712454,104.9202109
ធនាគារ​ពាណិជ្ជ​ទី​មួយ,11.5643608,104.9262303
ធនាគារកម្ពុជាពាណិជ្ជ,11.5713499,104.9185568
ធនាគារ ចិន,11.5721711,104.918479
មណ្ឌលសិក្សាបច្ចេកទេសធនាគារ,11.5745194,104.9255677
HH BANK Khan Doun Penh - Sangkat Chey Chummeah,11.5649193,104.9260038
Cambodian Public Bank ATM,11.5715171,104.9190381
Small and Medium Enterprise Bank of Cambodia Plc. - Phsar Thmei Branch,11.5704927,104.9227337
ABA ATM,11.5727412,104.924722
អេធីអឹម ធនាគារ កាណាឌីយ៉ា,11.5751875,104.9256875
ធនាគារ អេស៊ីលីដា ភីអិលស៊ី,11.5657976,104.9194082
Woori Bank - Phsar Thmei Ti Bei,11.568965,104.9222575
ABA ATM,11.5751716,104.9257393
ធនាគារ​ស្ថាបនា សាខា​ផ្សារ​ធំ​ថ្មី,11.5700449,104.9200088
J Trust Royal ATM,11.57304,104.92799
អគារ កាណាឌីយ៉ា,11.572065,104.9185425
អេធីអឹមធនាគារមេយប៊ែង,11.5718432,104.9213198
​អេប៊ីអេ,11.5716067,104.9276642
ABA ATM,11.571777,104.9284741
ធនាគារ ហុង លីអុង សាខាការិយាល័យកណ្ដាល,11.5606542,104.9245809
BRED Bank (Cambodia) ATM,11.5760396,104.9260343
J Trust Royal ATM,11.57385,104.92793
Canadia Bank ATM,11.5730625,104.9285625
អាគារ​ធនាគារ​ស្ថាបនា,11.565913,104.9252186
KB PRASAC ATM - Cambodia Post,11.575103,104.9257227
SATHAPANA Bank ATM,11.5706447,104.927775
J Trust Royal ATM,11.57157,104.92842
J Trust Royal ATM,11.5731043,104.9283025
Sathapana Bank ATM,11.5726837,104.9239143
ATM ធនាគារ​កាណា​ឌីយ៉ា,11.5739375,104.9240625
ABA ATM,11.5711135,104.9296447
អេធីអឹម-ធនាគារ​កាណាឌីយ៉ា,11.5738125,104.9280625
Canadia Bank ATM,11.5709949,104.9296595
CIMB Bank,11.5644422,104.9112267
