name,lat,lon
Café Amazon Concept Store,11.5814077,104.8978986
កាហ្វេ អាម៉ាហ្សូន,11.5761891,104.9193424
Café Amazon Cambodia,11.5497423,104.9283049
ហាង​កាហ្វេ​អាមេហ្សូន,11.5338937,104.9611793
កាហ្វេអាម៉ាហ្សូនផ្សារថ្មីស្ត៊ែនអឹឡូន - Café Amazon Phsar Thmei Stand-Alone,11.5694123,104.9221862
Café Amazon Riverside,11.5660556,104.9320063
Cafe Amazon CCV3 New Town,11.6029784,104.927393
Café Amazon Bokor - 24/7,11.5442792,104.9219008
Café Amazon Phnom Penh Center BBU,11.5556983,104.9332825
Café Amazon Kampuchea Krom,11.5667368,104.8953335
KANG BREW Cafe Phnom Penh City Center,11.5807267,104.9100941
ហាងកាហ្វេ អាម៉ាហ្សូន (ទំនប់កប់ស្រូវ),11.5430794,104.8120819
Café Amazon,11.5509205,104.9156279
Cafe​ Amazon,11.5766716,104.8879284
ហាងកាហ្វេ អាម៉ាហ្សូន ទួលពង្រ,11.5011894,104.841206
ហាង​កាហ្វេ អាមេហ្សូន,11.5293196,104.9439661
Amazon Café,11.5674845,104.9185769
Café Amazon the Point,11.5452932,104.9115083
Café Amazon Sovanna 271,11.5452764,104.9002283
Cafe Amazon,11.5877624,104.9071667
amazon,11.5620047,104.921889
Café Amazon KPN Boeung Tamok,11.6626406,104.8458289
PTT Amazon Grand Phnom Penh,11.6469168,104.8627636
ហាង​កាហ្វេ Amazon សាខា​ពេទ្យ​ចិន,11.5527703,104.9212658
កាហ្វេ អាម៉ាហ្សូន ៥១,11.5588642,104.9254823
កាហ្វេ អាម៉ាហ្សូន ទេពផន,11.5621824,104.8956222
អាម៉ាហ្សូន កាហ្វេ,11.543858,104.9074753
កាហ្វេ អ៉ាម៉ាហ្សូន ម៉ុងឫន្ធី,11.5907955,104.8810934
Amazon Cafe,11.5125971,104.9341337
Café Amazon Attwood,11.5626544,104.8656154
កាហ្វេអាម៉ាហ្សូន សាខាជ្រោយចង្វាស៊ីធី,11.5983543,104.9265707
Café Amazon De Stadium,11.5548572,104.9102513
Amazon Krang Thnong,11.568757,104.8322313
DELISH COFFEE,11.5672625,104.9034804
Cafe Amazon PTT National Road１,11.5326326,104.9951639
Café Amazon PTT Steung Meanchey,11.5428035,104.8936371
កាហ្វេ អាម៉ាហ្សូន,11.5321019,104.8613903
Cafe Amazon,11.6563738,104.7597781
Café Amazon Exchange Square,11.573746,104.921378
Amazon Chuk Meas III,11.5767041,104.8537134
Café Amazon The Boss Building (Kapal),11.5732283,104.8973298
Morning Cafe / Mee Ramen,11.5480125,104.9378824
អាម៉ាហ្សូន កាហ្វេ ផ្សារទួលទំពូង,11.5414018,104.9152218
Amazon Cafe វិមានឈ្នះឈ្នះ,11.6764766,104.8824662
Café Amazon Ratana Plaza,11.5615125,104.8725781
Ttp Amazon cafe,11.5366619,104.9152894
Café Amazon City Mall,11.5581238,104.909093
