name,lat,lon
ស្ថានីយ៍ប្រេងឥន្ធនៈកាល់តិច​កាលមែត្រ,11.5799264,104.9172523
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​កាល់តិច អប្សរា,11.5561607,104.9208139
ស្ថានីយប្រេង កាល់តិច,11.5627016,104.9122851
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​កាល់​តិច​ ឫស្សីកែវ​,11.5943866,104.9181364
ស្ថានីយ​ប្រេង កាល់តិច បឹងកេងកង,11.5492725,104.9285718
ស្ថានីយ​កាល់​តិច ទឹក​ល្អក់,11.560591,104.9009596
ស្ថានីកាល់តិចបឹងកក់,11.5744749,104.9040414
ស្ថានីយ​ប្រេង​កាល់តិច,11.5958333,104.9311111
ស្ថានីយប្រេងឥន្ធនៈ កាលតិច,11.536629,104.9231967
ស្ថានីយ​កាល់​តិច ទួល​សង្កែ,11.5878273,104.9130172
កាល់តិច ផ្សារ​ដើមគរ,11.5527455,104.9035542
ស្ថានីយ៌ប្រេងឥន្ធនៈ កាល់តិច ស្ទឹងមានជ័យ,11.5406387,104.8906618
ស្ថានីយប្រេង​ កាលតិច,11.5437966,104.922729
ស្ថានីយ៍ចាក់ប្រេង កាលតិច ផ្លវូ២០០៤,11.5528434,104.8838995
ស្ថានីយ​កាល់​តិច ទួល​គោក,11.5765183,104.8996801
កាហ្វេ ផ្លឹស កាលតិច សែនសុខ,11.5866284,104.8822363
Caltex,11.5658695,104.8415498
Caltex,11.5742238,104.9043264
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​កាល់​តិច​ ២៧១,11.5268815,104.9211804
Caltex Toulkork Indradevi,11.5790037,104.8898418
ស្ថានីយ៍ប្រេងឥន្ធនៈកាល់តិច,11.566252,104.871066
ស្ថានីយ៍​ប្រេង​កាល់តិច ផ្លូវ​១៩៨៦,11.5742847,104.8818092
ស្ថានីយ​កាល់​តិច ផ្លូវ​ជាសុផារ៉ា,11.5790582,104.8898991
ស្ថានីយប្រេង កាល់តិច,11.5632883,104.8665759
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​កាល់តិច,11.5648915,104.888361
កាល់តិច​ម៉ាត ផ្លូវ​២០០៤,11.5527241,104.8839036
ស្ថានីយប្រេងឥន្ធនៈ កាល់តិច ផ្សារអ៊ីអន ២,11.5977948,104.868994
ស្ថានីយ​កាល់​តិច ឈូក​មាស,11.5741425,104.8537423
ស្ថានីយ​កាល់​តិច សេនជូរី ផ្លាហ្សា,11.5594048,104.8557093
ស្ថានីយ​ប្រេង​ឥន្ធនៈកាល់តិច,11.5312641,104.940253
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​កាល់តិច ទួលពង្,11.5310594,104.8591888
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​កាល់តិច,11.5319478,104.886601
ស្ថានីយ៍ប្រេងឥន្ធនៈ កាល់តិច ចាក់អង្រែ ផ្លូវជាតិលេខ២,11.5144664,104.9357771
កាល់តិច វាល​ស្បូវ,11.5341984,104.9771976
ស្ថានីយ​កាល់​តិច ហ្គ្រេន​ភ្នំពេញ,11.6246105,104.8764076
ស្ថានីយ​កាល់​តិច កប់​ស្រូវ,11.4490899,104.887233
ស្ថានីយប្រេងឥន្ធនៈ កាល់តិច (ព្រៃស),11.500602,104.8750999
ស្ថានីយ​កាល់​តិច ផ្លូវ​ជាតិ​លេខ​៣,11.5117701,104.8198117
ACLEDA ATM - Caltex BoengKak,11.5743175,104.9042613
ស្ថានីយ​កាល់​តិច ផ្លូវ​៥៩៨,11.6343287,104.8819105
ស្ថានីយ​កាល់​តិច ក្រាំង​ធ្នង់,11.5828973,104.8382754
WOORI ATM - Caltex Station BKK,11.5492957,104.9286943
ស្ថានីយប្រេងឥន្ទនៈ កាល់តិច អូដឹម,11.5297593,104.8022735
ស្ថានីយ​កាល់​តិច ព្រែក​ព្នៅ,11.6718523,104.8548172
ស្ថានីយ​កាល់​តិច សំរោង​អណ្ដែត,11.5851627,104.8661368
Circle K Caltex Phsar Deyhoy,11.5663163,104.8711992
PPCBank ATM (Caltex Toul Kouk),11.5765062,104.89969
ស្ថានីយ​កាល់តិច ផ្លូវថៃហ្គ័រ,11.5110017,104.9932993
Caltex TonTon Ring Road 3 & Coffee Plus,11.480414,104.804793
ស្ថានីយ​កាល់​តិច ទួល​កី,11.501903,104.847437
Caltex Ton Ton Ring Road 3,11.4805362,104.8047316
ស្ថានីយ​កាល់​តិច តា​ខ្មៅ​ផ្លូវ​២១,11.4609878,104.9562176
ស្ថានីយ​កាល់​តិច តា​ខ្មៅ,11.4776008,104.9424684
ស្ថានីយ​កាល់​តិច កប់​ស្រូវ,11.5887142,104.7996361
ACLEDA ATM - Caltex (St. 2004 Sensok),11.5527756,104.8839423
ស្ថានីយ៍ប្រេងឥន្ធនៈកាលតិច,11.7529721,104.9964294
Coffee Plus by CalTex 598,11.6343919,104.8819443
Caltex Kob Srov-2,11.5406465,104.8122324
Coffee Plus Caltex Aeon Mall 2,11.5979613,104.868876
PPCBank ATM (Caltex Gasoline Station Chbar Ampov),11.5312678,104.9402995
កាល់តិចផ្សារគគី,11.501094,105.0664109
កាល់តិច ផ្លូវ​ល្បឿន​លឿន,11.5501597,104.810093
PPCBank ATM (Caltex Gasoline Station 271),11.5269391,104.9211618
ACLEDA ATM - Caltex Indradevi,11.5790441,104.8898224
ស្ថានីយ​កាល់​តិច អង្គ​ស្នួល,11.5068428,104.7194766
ACLEDA ATM - Caltex Stueng Meanchey,11.5407584,104.8904815
KB PRASAC ATM - Caltex Gasoline Street 2004,11.5593989,104.8555907
Caltex Krong Loung-Odong,11.8285375,104.7789219
ACLEDA ATM - Caltex St.2004,11.5593216,104.8555963
WOORI ATM - Caltex Station Toul Pongror,11.5307344,104.8589749
ស្ថានីយ​កាល់​តិច កំពង់​ស្ពឹ,11.4602129,104.5107518
ស្ថានីយ​កាល់​តិច កណ្ដាល​ស្ទឹង,11.3667661,104.747052
ACLEDA ATM - Caltex ST598,11.6345674,104.8817392
"Coffee Plus, By Caltex Prek Tameak",11.7531415,104.9964901
ACLEDA ATM - Caltex Tuol Krasang,11.4611264,104.9563524
ACLEDA ATM - Caltex (Takhmao),11.4775087,104.9422955
ស្ថានីយ​កាល់​តិច តា​កែវ,10.9796689,104.7771358
ACLEDA ATM - Caltex (Prek Eng),11.5106976,104.9933323
ស្ថានីយ​កាល់​តិច ក្រុង​តា​ខ្មៅ,11.4775753,104.9425201
ACLEDA ATM - Caltex (Preaek Pnov),11.6717506,104.8548782
កាល់តិច ផ្សារអង្គតាសោម,11.0178854,104.6733272
ស្ថានីយ៍ប្រេងឥន្ទនៈ កាល់តិច ពេជ្រនិល,11.212861,104.1203379
ស្ថានីយ៍​ប្រេង​កាល់តិច,10.9594397,104.660181
