id,information,type,province,price,land_size,price/m2,lat,long
rl-128119873,"📢 ដី និង ផ្ទះសម្រាប់លក់ 
👉  ទីតាំង បឹងកេងកង១ 
👉 តម្លៃលក់ $10.000.000
✅ទំហំដី 38m x 30m
✅ ទំហំក្នុងប្លង់ : 1140m² ( ប្លង់រឹង )
✅ទីតាំងល្អ នៅលើផ្លូវ ចរាចរណ៍ ជិតផ្សារសាលារៀន ហើយល្អសម្រាប់បើកអាជីវកម្មគ្រប់ប្រភេទ និង សាងសងជា អគារធំៗ។
✅ លេខអាជ្ញាប័ណ្ណភ្នាក់ងារអចលនវត្ថុ: E-14-160
✅ ពត័មានលំអិតទាក់ទងលេខ 099 666 722 / 099 666 726
#forsale #ហ្វូជីរៀលធី #fujiRealty #PhnomPenh #Odem #realestateagency #propertyforsale #propertyforrent #propertyforlease #flateforsale #houseforsale #condoforsale #condoforren",LAND,Phnom Penh,10000000.0,1140.0,8771.929824561403,11.546709,104.917275
rl-121361083,"ដីលក់ នៅសង្កាត់ជ្រាវ ជាប់ផ្លូវក្រវ៉ាត់ក្រុងទី2 សៀមរាប
 តមៃ្ល $ 180/m² (ចរចា)
 ខាងមុខ​ជាប់ផ្លូវធំ ខាងក្រោយជាប់ផ្លូវលំ អាចពុះឡូត៍ សង់សណ្ឋាគារ ភោជនីយដ្ឋាន  រឺឃ្លាំងដាក់ ទំនិញផ្សេងៗបាន
 ផ្ទៃ​ក្រលា 5072m² (ទំហំ 38.92m x 137.78m)
 ប្លង់រឹង
 ទំនាក់ទំនង៖ 012 61 31 31/ 093 666 949 / 015 779 789",LAND,Siemreap,9130000.0,5362.4,1702.595852603312,,
rl-121336928,"ដីកែងលក់លេីផ្លូវកែងបួនជ្រុង (ផ្លូវ ៥៩៨ ឬ ផ្លូវ ជា សុផារ៉ា)  អាចបុះចែកជា ២ ឬ ៤ ឡូត៏
- ទំហំដី: 5,334 m2 ប្លង់រឹង (ជាក់ស្តែងជាង 6,000m2, ក្បាលដី 134 ម x 43 ម ) ចាក់ខ្សាច់ពេញ 
- ទីតាំង Google: https://goo.gl/maps/ZuqfEMUE9HMPkBwW8
- តំលៃ: 1,200$/m2 |  - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
#CornerLandForSale, #LandForSale, #LandForSaleInPhnomPenh",LAND,Phnom Penh,6400000.0,5434.0,1177.7695988222304,11.636381,104.880046
rl-121336927,"ដីកែងលក់លេីផ្លូវកែងបួនជ្រុង (ផ្លូវ ៥៩៨ ឬ ផ្លូវ ជា សុផារ៉ា)  អាចបុះចែកជា ២ ឬ ៤ ឡូត៏
- ទំហំដី: 5,334 m2 ប្លង់រឹង (ជាក់ស្តែងជាង 6,000m2, ក្បាលដី 134 ម x 43 ម ) ចាក់ខ្សាច់ពេញ 
- ទីតាំង Google: https://goo.gl/maps/ZuqfEMUE9HMPkBwW8
- តំលៃ: 1,200$/m2 |  - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
#CornerLandForSale, #LandForSale, #LandForSaleInPhnomPenh",LAND,Phnom Penh,6400000.0,5334.0,1199.8500187476566,11.636381,104.880046
rl-121014027,"Please contact me at: 012389108 / 098 389 108
ដីកែងលក់លេីផ្លូវកែងបួនជ្រុង (ផ្លូវ ៥៩៨ ឬ ផ្លូវ ជា សុផារ៉ា)
លក្ខណះពិសេស : ទីតាំងដីល្អ​ ជាដីកែងបួនជ្រុង (ច្រមុះ
ជ្រូក)​ ផ្លូវ​ ជាសុផារ៉ា(598) , ដីចាក់ខ្សាច់ពេញ
ដូចឃើញក្នុងរូប តម្លៃល្អ ហើយម្ចាស់
កាត់ប្លង់រឹងជូន ។ 
- ទំហំដី: 44 x 135m (ជាក់ស្តែងជាង 6,000m2)
- ទីតាំង Google: https://goo.gl/maps/CZEADERjvWu
- តម្លៃលក់: ក្រោម 1,260$/m2 (តំលៃល្អ អ្នកលក់កាត់ប្លង់រឹងជូន)
- មានអ្នកចាប់អារម្នណ៏ សូមជួយណែនាំ",LAND,Phnom Penh,6000000.0,5940.0,1010.10101010101,11.635246,104.881119
rl-121013870,"ដីលក់បន្ទាន់ នៅស្រុកស្អាង ខេត្តកណ្តាល [English- Below]
តំលៃ $5,969,900 ចរចារ (L-2217)
ទំហំសរុប 59699 sqm
ប្លង់ : ប្លង់រឹង
សម្រាប់ព័ត៌មានបន្ថែមសូមទំនាក់ទំនងលេខៈ
 085 222 769 \ 069 993 668 (Srey Huoy)
-------------------------------------
Land for sale at Kandal Province
Price: $5,969,900 (Negotiate)
Total Size: 59699 sqm
For more info: 085 222 769 \ 069 993 668 (Srey Huoy)",LAND,Kandal,5969900.0,59699.0,100.0,11.264608,104.973933
rl-128345072,"🏡 Land for Sale at BKK1
👉 FJ-0103
✅ Asking Price
✅ Land Size 17,5m x 34,4m 
👉 Hard title
✅ Real Estate Agency License Number: E-14-160
📲 Tel : 099 666 722 / 099 666 726
#Century21FujiRealty #ផ្ទះជួល #Shop_house #rent #ផ្ទះអាជីវកម្ម #villa #វីឡាជួល",LAND,Phnom Penh,5200000.0,602.0,8637.873754152824,11.546709,104.917275
rl-135308223,"គម្រោងខុនដូរ លក់បន្ទាន់​⚡️នៅតំបន់ OCIC ជ្រោយចង្វា (ID: #D3359 )
👉តម្លៃ ៖ $5,200,000 (ចរចា)
👉ទីតាំងស្ថិតក្នុងតំបន់ OCIC ជាប់គម្រោងផ្សារ Big C ក្បែរគម្រោងធំៗ មានគ្រឹះខុនដូជម្រៅ៥០ម៉េត្រ អាចប្រើប្រាស់បានតាមម្រូវការ។ 
👉ទំហំ ៖ 40m x 48m
👉 ប្លង់រឹង ៖ 1,589 m²
👉 បែរមុខទៅកេីត និងទិសខាងត្បូង។ 
👉 ចេញសេវាផ្ទេរកម្មសិទ្ធិជូន​(ប្លង់រឹង)	
👉 អត្តលេខក្រុមហ៊ុន E-19-306
សូមទំនាក់ទំនង ៖	
☎️ (Cellcard): 078 919 789 | 012 61 31 31  	
☎️ (Smart)   : 015 779 789	
🌐https://www.c21diamondinvestments.com	
↗️Telegram: https://t.me/century21diamond",LAND,Phnom Penh,5200000.0,1920.0,2708.3333333333335,11.660276,104.909743
rl-121765074,"ដីសម្រាប់លក់នៅបឹងកេងកង៣ 
* ទីតាំង៖សង្កាត់បឹងកេងកង, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ
* តម្លៃលក់៖ ៤,០០០,០០០ ដុល្លារ (ចរចារ)
* ទំហំដី៖ ២១ម x ២៨ម
* បែរទៅទិសកើត
📞 សម្រាប់ព័ត៌មានបន្ថែម: 085 336 777
📧 អ៊ីមែល៖ info.c21mekong.com.kh
🌍 https://rebrand.ly/343a5
សូមអរគុណ!
----------------
Land for sale at beong keng kong 3
* Location: sangkat beong keng kong 3, khan beong keng kong, phnom penh.
* Sale price: $4,000,000 (negotiable)
* Land size: 21m x 28m
* Direction: East
📞 More detail information: 085 336 777
📧 Email: info.c21mekong.com.kh
🌍 https://rebrand.ly/343a5
Thank you!!
#Team_General SHN (Mr. Ket Vichet)",LAND,Phnom Penh,4000000.0,588.0,6802.721088435374,11.547724,104.916984
rl-121013853,"ដីសម្រាប់លក់ប្រញាប់
- តម្លៃ : $4,000,000 (ចរចាបាន)
- ទំហំដី : 33,5ម x 30ម
- ប្លង់ : ប្លង់រឹង
- ទីតាំង : សង្កាត់បឹងកេងកង3  ខណ្ឌ ចំការមន
- ពិពណ៌នា: ទីតាំងល្អសម្រាប់ការរស់នៅ អាចសង់Condo Aparment និងល្អសំរាប់ការវិនិយោគ
☎ សូមធ្វើការទំនាក់ទំនង:085 222 938/069 993 668
- (MS Sreynich)
----------------------------------------
Villa for sale
- Price : $4,000,000 (Negotiate)
- Land size : 33,5m x 30m
- Title : Hard Title Title
- Location : sangkat BKK 3  , Khan Chamkar morn 
- Description : Good location for living , can build building, Apatment, Condo ,
☎ Contact Us now: (Ms Sreynich)",LAND,Phnom Penh,4000000.0,1005.0,3980.0995024875624,11.547724,104.916984
rl-121354381,"ដីកែង តំលៃល្អ លេីផ្លូវធំ សំរាប់លក់ នៅសង្កាត់ក្រាំងធ្នង់ ខណ្ឌសែនសុខ (សូមជួយណែនាំ និង ចែករំលែកបន្)ត:
- ទំហំដី: 13,707 ម២ (ក្បាលដី 130 ម x 100 ម)
- ទីតាំង https://goo.gl/maps/vovqrsQFmhTxDyQC9
- តំលៃ: 270$/m2 ||| - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
#CornerLandForSale, #LandForSale, #LandForSaleInKrangThnong, #LandForSaleInPorSenchey, #LandForSaleInPhnomPenh
CORNER Land for Sale in Krang Thnong (Khan Sen Sok):
- Size: 13,707 m2, about 130m x 100m
- Location:  https://goo.gl/maps/vovqrsQFmhTxDyQC9
- Price: 270$/m2
- Contact: 012 381 108 (Mr. Va Vireak | Telegram, WhatsApp or Line)",LAND,Phnom Penh,3700000.0,13700.0,270.0729927007299,11.59447,104.831873
rl-121014000,"Land for Sale in Krang Thnong, Por Senchey, P. Penh
ដីកែងល្អ លេីភ្លៅធំ សំរាប់លក់ នៅសង្កាត់ក្រាំងធ្នង់ ខណ្ឌពោធិ៍សែនជ័យ (សូមជួយណែនាំ និង ចែករំលែកបន្)ត: 
- ទំហំដី: 13,707 ម២ (ក្បាលដី 130 ម x 100 ម)
- អាចសង់ផ្ទះល្វែង ផ្ទះវីឡា ពុះដីឡូត៏ សង់ឃ្លាំង ឬទុកចំណេញ ។ល។ 
- ទីតាំង https://goo.gl/maps/vovqrsQFmhTxDyQC9
- តំលៃ: 270$/m2 |||
- លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
#LandForSale, #LandForSaleInKrangThnong, #LandForSaleInPorSenchey, #LandForSaleInPhnomPenh",LAND,Phnom Penh,3700000.0,13000.0,284.61538461538464,11.594392,104.832018
rl-121013857,"*វីឡាភ្លោះលក់បន្ទាន់ (P-2241)
បុរីពិភពថ្មីសែនសុខ ជិតផ្សារទំនេីប Aeon 2
- តំលៃសំរាប់លក់ : $ 329,000 (ចរចារ)
- ទំហំផ្ទះ : 6m x 12m
- ទំហំដី : 7.5m x 21m
- បន្ទប់គេង : 4
- បន្ទប់ទឹក : 5
- ផ្ទះបាយ : 1
- បន្ទប់ទទួលភ្ញៀវ1 កំពស់ 3 ជាន់
- កាត់ប្លង់រឹងជូន
- មានសម្ភារះ មួយចំនួន
- សំរាប់ព័ត៌មានបន្ថែម :
085 222 968 / 069 993 667 ( Mr. Narong​ )",LAND,Phnom Penh,3290000.0,157.5,20888.88888888889,11.57351,104.877057
rl-121013848,Please contact me at: +85595955777,LAND,Phnom Penh,3000000.0,631.0,4754.358161648178,11.585203,104.898336
rl-121591502,"ដីសម្រាប់លក់នៅទួលសង្កែរ
* នៅជិតអ៊ីអន២, សាកលវិឡាល័យ, ខុនដូ, អាផាតមិន,...
* ទីតាំង៖ សង្កាត់ទួលសង្កែរ, ខណ្ឌឬស្សីកែវ, ភ្នំពេញ
* តម្លៃលក់៖ ២,៧០០,០០០ ដុល្លារ ប្លង់រឹង (ចរចារ)
* ទំហំដី៖ ៣៧ម x ៤៧ម
* បែរទៅទិសខាងជើង
សម្រាប់ព័ត៌មានបន្ថែម៖ 095 933 777
🌍 https://rebrand.ly/24114
សូមអរគុណ!
----------------
Land for sale at toul songkae
Nearby AEON II, University, Condo, Apartment,…
Location: toul songkae, russei keo, phnom penh
Sale price: 2,700,000 hard title (negotiable)
Land size: 37m x 47m
Direction: North
For more information: 095 933 777
🌍 https://rebrand.ly/24114
Thank you!
#Team_Land (Mr. Bora)",LAND,Phnom Penh,2700000.0,1739.0,1552.6164462334675,11.590668,104.909745
rl-121013837,"ដីនិងផ្ទះលក់ នៅទួលគោក ស្ថិតក្នុងតំបន់មានសក្តានុពល សម្រាប់សាងសង់ខុនដូរ អគារពាណិជ្ជកម្ម ឬ ឃ្លាំង
👉 តមៃ្ល $ 4,200/m² (ចចារ)
👉 ទំហំ 20m x 30m
👉 ប្លង់រឹង",LAND,Phnom Penh,2520000.0,600.0,4200.0,11.571264,104.888135
rl-121591503,"ដីសម្រាប់លក់នៅព្រែកលៀប
* ដីនៅតាមបណ្តោយផ្លូវជាតិលេខ៦A នៅក្បែរបុរី
អាចសាងសង់ជាលំនៅដ្ឋាន, ឃ្លាំង, ជាទីតាំងអាចប្រកបអាជីវកម្មបានគ្រប់យ៉ាង
* ទីតាំង៖ សង្កាត់ព្រែកលៀប, ខណ្ឌជ្រោយចង្វារ, ភ្នំពេញ
* តម្លៃលក់៖ ២,២៥០,០០០ ដុល្លារ ប្លង់រឹង (ចរចារ)
* ទំហំដី៖ ១៩ម x ៤៣ម
* បែរទៅទិសខាងលិច
សម្រាប់ព័ត៌មានបន្ថែម៖ 061 352 222
សូមអរគុណ!
----------------
Land for sale at prek leap
Location: prek leap, chroy chongva, phnom penh
Sale price: 2,250,000 hard title (negotiable)
Land size: 19m x 43m
Direction: West
For more information: 061 352 222
Thank you!
#Team_6A (Mr. Nay Nem)",LAND,Phnom Penh,2250000.0,817.0,2753.9779681762548,11.660139,104.909685
rl-121434164,"ដីលក់ក្នុងខណ្ឌឬស្សីកែវ 
(L-1342)
-តម្លៃ: $1,500/m2 (ចរចា)
-ទំហំដី: 30m x 45m
-ប្លង់: រឹង (កាត់ឈ្មោះផ្ទេរកម្មសិទ្ធ)
-លេខទំនាក់ទំនង: 082 222 759/ 069 993 667 (Mr.Panha) សូមស្វាគមន៍ចំពោះអតិថិជនពិត សូមអគុណ។
--------------------------------------
Land for sale at Russie Kaev
Price : 1500$/sqm
Land Size: 1350/sqm
Tittle: Hard
Contact Us: 082 222 759/ 069 993 667 (Mr.Panha)",LAND,Phnom Penh,2025000.0,1350.0,1500.0,11.609026,104.917809
rl-121341607,"ដីកែង តំលៃល្អ លេីផ្លូវធំ សំរាប់លក់ នៅសង្កាត់ក្រាំងធ្នង់ ខណ្ឌសែនសុខ (សូមជួយណែនាំ និង ចែករំលែកបន្)ត:
- ទំហំដី: 13,707 ម២ (ក្បាលដី 130 ម x 100 ម)
- អាចសង់ផ្ទះល្វែង ផ្ទះវីឡា ពុះដីឡូត៏ សង់ឃ្លាំង ឬទុកចំណេញ
- ទីតាំង https://goo.gl/maps/vovqrsQFmhTxDyQC9
- តំលៃ: 270$/m2 ||| - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
CORNER Land for Sale in Krang Thnong (Khan Sen Sok):
- Size: 13,707 m2 (on soft title) or about 11,450 m2 (on hard title), about 130m x 100m
- Location:  https://goo.gl/maps/vovqrsQFmhTxDyQC9
- Price: 270$/m2 (soft title) or 295$/m2 (hard title)
- Contact: 012 381 108 (Mr. Va Vireak | Telegram, WhatsApp or Line)",LAND,Phnom Penh,2000000.0,500.0,4000.0,11.56626,104.904229
rl-121014026,Please contact me at: 12381108,LAND,Phnom Penh,2000000.0,160.0,12500.0,11.576124,104.875529
rl-121341608,"ដីកែង តំលៃល្អ លេីផ្លូវធំ សំរាប់លក់ នៅសង្កាត់ក្រាំងធ្នង់ ខណ្ឌសែនសុខ (សូមជួយណែនាំ និង ចែករំលែកបន្)ត:
- ទំហំដី: 13,707 ម២ (ក្បាលដី 130 ម x 100 ម)
- អាចសង់ផ្ទះល្វែង ផ្ទះវីឡា ពុះដីឡូត៏ សង់ឃ្លាំង ឬទុកចំណេញ
- ទីតាំង https://goo.gl/maps/vovqrsQFmhTxDyQC9
- តំលៃ: 270$/m2 ||| - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
CORNER Land for Sale in Krang Thnong (Khan Sen Sok):
- Size: 13,707 m2 (on soft title) or about 11,450 m2 (on hard title), about 130m x 100m
- Location:  https://goo.gl/maps/vovqrsQFmhTxDyQC9
- Price: 270$/m2 (soft title) or 295$/m2 (hard title)
- Contact: 012 381 108 (Mr. Va Vireak | Telegram, WhatsApp or Line)",LAND,Phnom Penh,2000000.0,500.0,4000.0,11.56626,104.904229
rl-134353287,"ដីលក់បន្ទាន់ ⚡️នៅមុខប្រលានពោធិចិនតុង​ ក្បែរផ្លូវសហពន្ធ័រុស្សី (ID: #D3044)
👉តម្លៃ ៖ $2,000,000 (ចរចា) 
👉 ទីតាំងនៅមុខប្រលានយន្តហោះពោធិ៍ចិនតុង ក្បែរផ្លូវសហពន្ធ័រុស្សី​ ជាតំបន់ពាណិជ្ជកម្ម ដីពេញខ្នាតស្អាត អាចសាងសង់សណ្ឋាគា ផ្ទះវិឡា​ ខុនដូរ និងសំណង់គ្រប់ប្រភេទ។ 
👉 ទំហំដី: 36m x 40m
👉 ទំហំសរុបក្នុងប្លង់រឹង ៖ 1,443m²
👉 បែរមុខទៅទិសខាងកើត
👉 ចេញសេវាផ្ទេរកម្មសិទ្ធិជូន​(ប្លង់រឹង)	
សូមទំនាក់ទំនង ៖	
☎️ (Cellcard): 078 919 789 | 012 61 31 31  	
☎️ (Smart)   : 015 779 789	
🌐https://www.c21diamondinvestments.com	
↗️Telegram: https://t.me/century21diamond",LAND,Phnom Penh,2000000.0,1440.0,1388.888888888889,11.553437,104.84404
