id,information,type,province,price,land_size,price/m2,lat,long,translate
rl-128119873,"📢 ដី និង ផ្ទះសម្រាប់លក់ 
👉  ទីតាំង បឹងកេងកង១ 
👉 តម្លៃលក់ $10.000.000
✅ទំហំដី 38m x 30m
✅ ទំហំក្នុងប្លង់ : 1140m² ( ប្លង់រឹង )
✅ទីតាំងល្អ នៅលើផ្លូវ ចរាចរណ៍ ជិតផ្សារសាលារៀន ហើយល្អសម្រាប់បើកអាជីវកម្មគ្រប់ប្រភេទ និង សាងសងជា អគារធំៗ។
✅ លេខអាជ្ញាប័ណ្ណភ្នាក់ងារអចលនវត្ថុ: E-14-160
✅ ពត័មានលំអិតទាក់ទងលេខ 099 666 722 / 099 666 726
#forsale #ហ្វូជីរៀលធី #fujiRealty #PhnomPenh #Odem #realestateagency #propertyforsale #propertyforrent #propertyforlease #flateforsale #houseforsale #condoforsale #condoforren",LAND,Phnom Penh,10000000.0,1140.0,8771.929824561403,11.546709,104.917275,"📢 Land and home for sale 
👉 Location of BKK 1 
👉 Sales price $ 10,000,000
✅ Land size 38m x 30m
✅ Layout Size: 1140m² (solid layout)
✅ A good location on the traffic road near the market market and is good for opening all kinds of businesses and builds as large buildings.
✅ ✅ Real Estate Agency license number: E-14-160
Details related 099 666 722/099 666 726
#Forsale #ugi Realty #Fujirealty #odem #roptyForsale #prealtyForsale #houseforsale #condofrefen"
rl-121336928,"ដីកែងលក់លេីផ្លូវកែងបួនជ្រុង (ផ្លូវ ៥៩៨ ឬ ផ្លូវ ជា សុផារ៉ា)  អាចបុះចែកជា ២ ឬ ៤ ឡូត៏
- ទំហំដី: 5,334 m2 ប្លង់រឹង (ជាក់ស្តែងជាង 6,000m2, ក្បាលដី 134 ម x 43 ម ) ចាក់ខ្សាច់ពេញ 
- ទីតាំង Google: https://goo.gl/maps/ZuqfEMUE9HMPkBwW8
- តំលៃ: 1,200$/m2 |  - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
#CornerLandForSale, #LandForSale, #LandForSaleInPhnomPenh",LAND,Phnom Penh,6400000.0,5434.0,1177.7695988222304,11.636381,104.880046,"Porn Land Sell four-hand roads (Route 598 or Route 598 or Road Sophara) can be divided into 2 or 4)
- Land Size: 5,334 M2 solid layout (more than 6,000m2, 134 mg x 43 mc 43 m), full sand 
- Google Location: https://goo.gl/maps/zuqfemue9hmpkbww8
- Price: $ 1,200 |  - Phone: 012 381 108 (Mr. Wisist)
#CornerlandForsale, #landForsale, #landForsalinnompenh"
rl-121336927,"ដីកែងលក់លេីផ្លូវកែងបួនជ្រុង (ផ្លូវ ៥៩៨ ឬ ផ្លូវ ជា សុផារ៉ា)  អាចបុះចែកជា ២ ឬ ៤ ឡូត៏
- ទំហំដី: 5,334 m2 ប្លង់រឹង (ជាក់ស្តែងជាង 6,000m2, ក្បាលដី 134 ម x 43 ម ) ចាក់ខ្សាច់ពេញ 
- ទីតាំង Google: https://goo.gl/maps/ZuqfEMUE9HMPkBwW8
- តំលៃ: 1,200$/m2 |  - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
#CornerLandForSale, #LandForSale, #LandForSaleInPhnomPenh",LAND,Phnom Penh,6400000.0,5334.0,1199.8500187476566,11.636381,104.880046,"Porn Land Sell four-hand roads (Route 598 or Route 598 or Road Sophara) can be divided into 2 or 4)
- Land Size: 5,334 M2 solid layout (more than 6,000m2, 134 mg x 43 mc 43 m), full sand 
- Google Location: https://goo.gl/maps/zuqfemue9hmpkbww8
- Price: $ 1,200 |  - Phone: 012 381 108 (Mr. Wisist)
#CornerlandForsale, #landForsale, #landForsalinnompenh"
rl-121014027,"Please contact me at: 012389108 / 098 389 108
ដីកែងលក់លេីផ្លូវកែងបួនជ្រុង (ផ្លូវ ៥៩៨ ឬ ផ្លូវ ជា សុផារ៉ា)
លក្ខណះពិសេស : ទីតាំងដីល្អ​ ជាដីកែងបួនជ្រុង (ច្រមុះ
ជ្រូក)​ ផ្លូវ​ ជាសុផារ៉ា(598) , ដីចាក់ខ្សាច់ពេញ
ដូចឃើញក្នុងរូប តម្លៃល្អ ហើយម្ចាស់
កាត់ប្លង់រឹងជូន ។ 
- ទំហំដី: 44 x 135m (ជាក់ស្តែងជាង 6,000m2)
- ទីតាំង Google: https://goo.gl/maps/CZEADERjvWu
- តម្លៃលក់: ក្រោម 1,260$/m2 (តំលៃល្អ អ្នកលក់កាត់ប្លង់រឹងជូន)
- មានអ្នកចាប់អារម្នណ៏ សូមជួយណែនាំ",LAND,Phnom Penh,6000000.0,5940.0,1010.10101010101,11.635246,104.881119,"PLASE Contact Me AT: 012389108/098 389 108
Porn Land Selling Railed Railroy Rail (Route 598 or Road, Sophara)
Features Features: A good soil location is a square corner (nose
Pigs) Push Sophara (598), full sand
As seen in good prices, the owner
Cutting a solid layout. 
- Land size: 44 x 135m (obvious over 6,000m2)
- Google Location: https://goo.gl/maps/czeaderjvwu
- Sales Price: Below $ 1,260 / M2 (Good Price, Serveric Solutions)
- Criteria, please advise"
rl-121013870,"ដីលក់បន្ទាន់ នៅស្រុកស្អាង ខេត្តកណ្តាល [English- Below]
តំលៃ $5,969,900 ចរចារ (L-2217)
ទំហំសរុប 59699 sqm
ប្លង់ : ប្លង់រឹង
សម្រាប់ព័ត៌មានបន្ថែមសូមទំនាក់ទំនងលេខៈ
 085 222 769 \ 069 993 668 (Srey Huoy)
-------------------------------------
Land for sale at Kandal Province
Price: $5,969,900 (Negotiate)
Total Size: 59699 sqm
For more info: 085 222 769 \ 069 993 668 (Srey Huoy)",LAND,Kandal,5969900.0,59699.0,100.0,11.264608,104.973933,"Sokhang Instant Selling Land in Saang District, Kandal Province [English-BELOW]
Price $ 5,969,900 Negotiable (L-227)
Total size 59699 sqm
Layout: Hard layout
For more information, please contact us:
 085 222 769 \ 069 993 (Srey Huoy)
-------------------------------------
Land for Sale AT Kandal Province
PRICE: $ 5,969,900 (Negotiate)
Total Size: 59699 SQM
For More Info: 085 222 769 \ 069 993 668 (Srey Huoy)"
rl-128345072,"🏡 Land for Sale at BKK1
👉 FJ-0103
✅ Asking Price
✅ Land Size 17,5m x 34,4m 
👉 Hard title
✅ Real Estate Agency License Number: E-14-160
📲 Tel : 099 666 722 / 099 666 726
#Century21FujiRealty #ផ្ទះជួល #Shop_house #rent #ផ្ទះអាជីវកម្ម #villa #វីឡាជួល",LAND,Phnom Penh,5200000.0,602.0,8637.873754152824,11.546709,104.917275,"🏡 Land for Sale AT BKK1
👉 FJ-0103
✅ Asking Price
✅ Land Size 17.5m x 34.4m 
👉 Hard Title
✅ Real Estate Agency License Number: E-14-160
📲 Tel: 099 666 722/099 666 726
# Century21Fujirealty #Hop_heouse #rent #rent #Villa Home House #villa # Villa Rental"
rl-135308223,"គម្រោងខុនដូរ លក់បន្ទាន់​⚡️នៅតំបន់ OCIC ជ្រោយចង្វា (ID: #D3359 )
👉តម្លៃ ៖ $5,200,000 (ចរចា)
👉ទីតាំងស្ថិតក្នុងតំបន់ OCIC ជាប់គម្រោងផ្សារ Big C ក្បែរគម្រោងធំៗ មានគ្រឹះខុនដូជម្រៅ៥០ម៉េត្រ អាចប្រើប្រាស់បានតាមម្រូវការ។ 
👉ទំហំ ៖ 40m x 48m
👉 ប្លង់រឹង ៖ 1,589 m²
👉 បែរមុខទៅកេីត និងទិសខាងត្បូង។ 
👉 ចេញសេវាផ្ទេរកម្មសិទ្ធិជូន​(ប្លង់រឹង)	
👉 អត្តលេខក្រុមហ៊ុន E-19-306
សូមទំនាក់ទំនង ៖	
☎️ (Cellcard): 078 919 789 | 012 61 31 31  	
☎️ (Smart)   : 015 779 789	
🌐https://www.c21diamondinvestments.com	
↗️Telegram: https://t.me/century21diamond",LAND,Phnom Penh,5200000.0,1920.0,2708.333333333333,11.660276,104.909743,"Instant Sale Plans ⚡️ in the OCIC Chroy Changvar area (ID: # D3359)
👉 Price: $ 5,200,000 (Negotiable)
បត់ In the OCIC area, the Big C market, near major projects has 50 mall condominations are compatible. 
👉 Size: 40m x 48m
👉 Hard layout: 1,589 mº
👉 Challenge to fish and south. 
👉 Release the Oil Transfer Service (solid layout)	
E-19-306 ID ID
Contact:	
☎️ (Cellcard): 078 919 789 | 012 61 31113  	
☎️ (smart): 015 779 789	
🌐https: //www.c21diamondInvestments.com	
↗️telgram: https://t.me/century21diamond"
rl-121765074,"ដីសម្រាប់លក់នៅបឹងកេងកង៣ 
* ទីតាំង៖សង្កាត់បឹងកេងកង, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ
* តម្លៃលក់៖ ៤,០០០,០០០ ដុល្លារ (ចរចារ)
* ទំហំដី៖ ២១ម x ២៨ម
* បែរទៅទិសកើត
📞 សម្រាប់ព័ត៌មានបន្ថែម: 085 336 777
📧 អ៊ីមែល៖ info.c21mekong.com.kh
🌍 https://rebrand.ly/343a5
សូមអរគុណ!
----------------
Land for sale at beong keng kong 3
* Location: sangkat beong keng kong 3, khan beong keng kong, phnom penh.
* Sale price: $4,000,000 (negotiable)
* Land size: 21m x 28m
* Direction: East
📞 More detail information: 085 336 777
📧 Email: info.c21mekong.com.kh
🌍 https://rebrand.ly/343a5
Thank you!!
#Team_General SHN (Mr. Ket Vichet)",LAND,Phnom Penh,4000000.0,588.0,6802.721088435374,11.547724,104.916984,"Land for sale in BKK3 
* Location: Sangkat BKKK Kang, Bak Keng Bangkong, Phnom Penh
* Sale Price: $ 4,000,000 (Negotiable)
* Land size: 21 m x 28mm
* Turn to the direction
📞 For more information: 085 336 777
📧 Email: info.c2mekong.com.kh
🌍 https://reprand.ly/343a5
Thanks!
-----------------
Land for Sale at Beong Keng 3
* Location: Sangkat Beong Keng 3, Khan Bong Keng Keng Kong Keng Keng Keng Keng Keng Keng.
* Sale Price: $ 4,000,000 (Negotiable)
* Land Size: 21m x 28m
* Direction: East
📞 More Remail Information: 085 336 777
📧 Email: info.c2mekong.com.kh
🌍 https://reprand.ly/343a5
THANKY !!
#Team_General shn (Mr. Ket Vichet)"
rl-121013853,"ដីសម្រាប់លក់ប្រញាប់
- តម្លៃ : $4,000,000 (ចរចាបាន)
- ទំហំដី : 33,5ម x 30ម
- ប្លង់ : ប្លង់រឹង
- ទីតាំង : សង្កាត់បឹងកេងកង3  ខណ្ឌ ចំការមន
- ពិពណ៌នា: ទីតាំងល្អសម្រាប់ការរស់នៅ អាចសង់Condo Aparment និងល្អសំរាប់ការវិនិយោគ
☎ សូមធ្វើការទំនាក់ទំនង:085 222 938/069 993 668
- (MS Sreynich)
----------------------------------------
Villa for sale
- Price : $4,000,000 (Negotiate)
- Land size : 33,5m x 30m
- Title : Hard Title Title
- Location : sangkat BKK 3  , Khan Chamkar morn 
- Description : Good location for living , can build building, Apatment, Condo ,
☎ Contact Us now: (Ms Sreynich)",LAND,Phnom Penh,4000000.0,1005.0,3980.0995024875615,11.547724,104.916984,"Land for sale in hurry
- Price: $ 4,000,000 (Negotiable)
- Land size: 33.5 mm x 30m
- Layout: Hard layout
- Location: Boeung Keng Kang 3, Chamkam Morn 3
- Description: Good location for a living can build condo aparment and good for investment
☎ Please contact: 085 222 938/069 993 668
- (MS Sreynich)
---------------------------------------
Villa for sale
- PRICE: $ 4,000,000 (Negotiate)
- Land Size: 33.5m x 30m
- Title: Hard Title title
- Location: Sangkat BKK 3, Khan Chamkar Morn 
- Description: Good locations for living, can build building, apocation, condo,
☐ Contact us NOW: (MS Sreynich)"
rl-121354381,"ដីកែង តំលៃល្អ លេីផ្លូវធំ សំរាប់លក់ នៅសង្កាត់ក្រាំងធ្នង់ ខណ្ឌសែនសុខ (សូមជួយណែនាំ និង ចែករំលែកបន្)ត:
- ទំហំដី: 13,707 ម២ (ក្បាលដី 130 ម x 100 ម)
- ទីតាំង https://goo.gl/maps/vovqrsQFmhTxDyQC9
- តំលៃ: 270$/m2 ||| - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
#CornerLandForSale, #LandForSale, #LandForSaleInKrangThnong, #LandForSaleInPorSenchey, #LandForSaleInPhnomPenh
CORNER Land for Sale in Krang Thnong (Khan Sen Sok):
- Size: 13,707 m2, about 130m x 100m
- Location:  https://goo.gl/maps/vovqrsQFmhTxDyQC9
- Price: 270$/m2
- Contact: 012 381 108 (Mr. Va Vireak | Telegram, WhatsApp or Line)",LAND,Phnom Penh,3700000.0,13700.0,270.0729927007299,11.59447,104.831873,"Well-litigation is well-termed for sale in Sen Sok district Khan Khan Sen Sok district (please advise)
- Land Size: 13,707 m2 (130m x 100 m)
- HTTPS://goo.gl/maps/vovqfmfmfmfmfmfmfmfmkxdyqc9
- Price: 270 $ / m2 ||| - Phone: 012 381 108 (Mr. Wisist)
#CornforlandForsale, #landForsale, #landForsealinlangthnong, #landForseLompenh
Corner Land For Sale in Krang Thnong (Khan sen sok):
- size: 13,707 m2, About 130m x 100m
- Location: https://goo.gl/maps/vovqfmfmfmfmfmfmfmfmfmkxdyqc9
- PRICE: 270 $ / m2
- Contact: 012 381 108 (Mr88 (Mr88 (Mr88 (Mr8) Telegram, Whatsapp or Line)"
