name,lat,lon
Residence 110 Hotel and Apartments,11.572939,104.9258035
សណ្ឋាគារ វ័នឌេហ្ស ភ្នំពេញ,11.5730895,104.9283493
សណ្ឋាគារ សាន់ អ៊ែន មូន,11.5704936,104.9272167
សណ្ឋាគារ សាន់​​​ & ម៉ូន,11.5313383,104.9312625
M9 Kirirom Hotel Restaurant & Mart,11.5766027,104.9260836
Queenwood Hotel,11.5707076,104.9272567
Le Hotel Hotel Phnom Penh,11.5702115,104.9233335
សណ្ឋាគារ ញ៉ូវស៊ីសិន រីវើសាយ,11.5727573,104.9288032
Riverside Hotel Phnom Penh,11.5711551,104.9291077
សណ្ឋាគារ​ ស៊ីធី ឡូដ,11.5712715,104.9267741
សណ្ឋាគារ តារារង្សី,11.5720076,104.9272849
Le Vincent Hotel,11.571265,104.92729
Koh Dach View Boutique,11.6616875,104.9229375
សាន់ដាន់រីរេីសាយ,11.5755998,104.9266103
BK Hotel,11.590404,104.86946
Lux Riverside Hotel & Apartment,11.5711997,104.9293096
OSTRO Hotel,11.5716773,104.9285698
Golden House International Hotel,11.571367,104.9288856
បាលីរីស៊ត,11.5523209,104.8624668
"Eco Garden Residences, Phnom Penh",11.4106382,104.7895822
Pooltop​​ Phnom Penh,11.5782269,104.923384
Sun Chakra Boutique Hotel,11.5666406,104.9269318
"Snowbell Hotel, Phnom Penh",11.5521608,104.9361269
Aurea Central Hotel,11.5698166,104.9186344
Unique Hotel and Restaurant,11.5776222,104.9228223
Ohana Phnom Penh Palace Hotel,11.5696358,104.9296941
សណ្ឋាគារ រ៉ូសវូឌ ភ្នំពេញ,11.5735371,104.9193122
Ny Ka Smy Hotel,11.5405157,104.9194442
សណ្ឋាគារ បេស សេនត្រលភាញ់,11.5672012,104.9284295
"RS II Guesthouse, Phnom Penh",11.5666933,104.9302261
Sovanphum Riverside Hotel,11.5669702,104.931005
Midland Hotel,11.5837943,104.9013305
Monsoon Riverside Hostel,11.5716544,104.9279114
The Local Riverside Guesthouse,11.5704066,104.9295132
"CHILCHILL Hotel Riverside, Phnom Penh",11.5816601,104.9216417
Grand Elevation Hotel,11.552692,104.9323786
Amanjaya Pancam Hotel,11.568975,104.930167
Hotel De Palace,11.5744143,104.926954
ផ្ទះសំណាក់ភូមិខ្មែរ,11.5700832,104.926089
Keang You Boutique Hotel,11.5609807,104.857149
សណ្ឋាគារ និង រីសត ឡារីម៉ា,11.5851588,104.8702179
Hotel Sor,11.5670968,104.9187853
សណ្ឋាគារ ភ័ញ ប៊ូទីក,11.5717902,104.9289362
សណ្ឋាគារ ហៃយ៉ាត់ រីជិនស៊ី ភ្នំពេញ,11.5661017,104.9281583
Hotel,11.5716915,104.9279003
"Bona Hotel (Hostel, Private Rooms, and Restaurant)",11.568253,104.9270148
The ONRA Hotel,11.550693,104.9187679
Tropico Bar & Bistro,11.566874,104.9278278
សារាវ័នរ៉ូយ៉ាល់ជាលេស,11.5649872,104.9267
Fairfield by Marriott Phnom Penh,11.5701865,104.9028127
Angkor Mithona Guest House,11.5692796,104.9302188
139 Guest House,11.5304043,104.9229878
The Eighty8 Phnom Penh,11.5781077,104.9193394
"Sarina Boutique Hotel, Phnom Penh",11.5718455,104.8751315
Citadines Flatiron Phnom Penh,11.5728589,104.9077017
Casa Boutique Hotel Casa Club KTV,11.5780662,104.9213534
House Boutique,11.5454337,104.9260103
នោរ៉ា,11.5666388,104.9301516
CHECK inn Phnom Penh Royal Palace,11.5648827,104.9227433
