name,lat,lon
KOI Thé RULE,11.535946,104.9233964
KOI Thé POIPET,13.6575749,102.562303
KOI Thé Toul Tum Poung,11.5381161,104.9154856
KOI Thé Phsar Thom Thmey,11.5678965,104.9213774
KOI Thé Preah Norodom,11.549053,104.928596
KOI Thé 2004,11.5528701,104.8805003
KOI Thé Veng Sreng,11.5315149,104.8602451
KOI Thé Mao Tse Toung,11.5466436,104.9084805
KOI Thé REACHTHEANY,11.5673235,104.8956495
KOI Thé KOB SROV,11.5425952,104.8117198
KOI Thé Toul Kork,11.5826401,104.8975645
KOI Thé Krong Battambang,13.10692,103.1971388
KOI Thé Chom Chao,11.5237732,104.8222356
KOI Thé Russey Keo,11.6095813,104.917748
KOI Thé Preah Trasak Paem,11.5534039,104.9235607
KOI Thé SKUN,12.0517766,105.042503
KOI Thé IFL,11.5678854,104.8936339
KOI Thé Expressway,11.1097957,103.9683119
KOI Thé Capital Lifestyle Park,11.5730632,104.9199773
KOI Thé AEON Mean Chey,11.4839303,104.9176684
KOI Thé Siem Reap Phsar Ler,13.3604797,103.8722355
KOI Thé Krong Kampot,10.6140184,104.1762964
KOI Thé TA KHMAO,11.4771829,104.9473169
KOI Thé Kampong Speu,11.4604582,104.5106571
KOI Thé ORUSSEY,11.5620662,104.9177588
KOI Thé Domrey Park,11.6303932,104.8848899
KOI Thé SIHANOUKVILLE,10.6207424,103.5259558
KOI Thé KOH NOREA,11.5480065,104.9565074
KOI Thé CHOUK MEAS MALL,11.5759854,104.8537565
KOI Thé Steung Mean Chey,11.5356954,104.886352
KOI Thé Piphop Thmey Chamkardoung,11.5126435,104.884792
KOI Thé Olympic,11.5540015,104.9095398
KOI Thé Eden Garden,11.5775317,104.9111131
KOI Thé The Green Mall,11.5983927,104.8756624
KOI Thé Siem Reap Sivutha,13.3607459,103.8553053
KOI Thé Chroy Chongva,11.5919283,104.9293906
KOI Thé Beoung Snor,11.537301,104.9607417
KOI Thé Aeon Mall Sen Sok City,11.6008558,104.8856663
KOI Thé Makro Chroy Changva,11.6828148,104.9202041
