,address_subdivision,address_locality,address_line_2,h_id,category_name,type,price_per_m2,land_area,price,longitude,latitude,population
0,Phnom Penh,Chamkarmon,BKK 3,8865846ac1fffff,Shophouse,residential,3920.95,74,290150.3,104.91976799743159,11.538209313782403,18375.0
1,Phnom Penh,Chamkarmon,BKK 3,8865846ac1fffff,Shophouse,residential,3920.95,74,290150.3,104.91976799743159,11.538209313782403,18375.0
2,Phnom Penh,Chamkarmon,BKK 3,8865846ac1fffff,Shophouse,residential,3920.95,74,290150.3,104.91976799743159,11.538209313782403,18375.0
3,Phnom Penh,Chamkarmon,BKK 3,8865846ac1fffff,Shophouse,residential,3920.95,74,290150.3,104.91976799743159,11.538209313782403,18375.0
4,Phnom Penh,Chroy Changvar,Preaek Lieb,886584698bfffff,Unit,residential,1234.77,84,103720.68,104.90588380511437,11.653464302291153,1785.0
5,Phnom Penh,Toul Kork,Boeung Salang,8865846ab1fffff,Land/Development,residential,5000.0,48,240000.0,104.889664531047,11.573348195888643,5039.0
6,Phnom Penh,Toul Kork,Boeung Salang,8865846ab1fffff,Land/Development,residential,5000.0,48,240000.0,104.889664531047,11.573348195888643,5039.0
7,Phnom Penh,Toul Kork,Boeung Salang,8865846ab1fffff,Land/Development,residential,5000.0,48,240000.0,104.889664531047,11.573348195888643,5039.0
8,Phnom Penh,Toul Kork,Boeung Salang,8865846ab1fffff,Land/Development,residential,5000.0,48,240000.0,104.889664531047,11.573348195888643,5039.0
9,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a03fffff,Land,commercial,800.0,102,81600.0,104.96120973933517,11.550108196606905,22.0
10,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a03fffff,Land,commercial,800.0,102,81600.0,104.96120973933517,11.550108196606905,22.0
11,Phnom Penh,Meanchey,Boeung Tumpun,8865846ae9fffff,Flat,residential,1390.75,54,75100.5,104.9292390664536,11.551811207930964,7658.0
12,Phnom Penh,Meanchey,Boeung Tumpun,8865846ae9fffff,Flat,residential,1390.75,54,75100.5,104.9292390664536,11.551811207930964,7658.0
13,Phnom Penh,Dangkao,Cheung Aek,8865846183fffff,Villa,residential,2869.54,104,298432.16,104.85586936513403,11.500771251794458,2310.0
14,Phnom Penh,Dangkao,Cheung Aek,8865846183fffff,Villa,residential,2869.54,104,298432.16,104.85586936513403,11.500771251794458,2310.0
15,Phnom Penh,Daun Penh,Wat Phnom,8865846aadfffff,Condo,residential,2306.51,110,253716.10000000003,104.92334919771392,11.575783181233524,16252.0
16,Phnom Penh,Daun Penh,Wat Phnom,8865846aadfffff,Condo,residential,2306.51,110,253716.10000000003,104.92334919771392,11.575783181233524,16252.0
17,Phnom Penh,Daun Penh,Wat Phnom,8865846aadfffff,Condo,residential,2306.51,110,253716.10000000003,104.92334919771392,11.575783181233524,16252.0
18,Phnom Penh,Daun Penh,Wat Phnom,8865846aadfffff,Condo,residential,2306.51,110,253716.10000000003,104.92334919771392,11.575783181233524,16252.0
19,Phnom Penh,Daun Penh,Wat Phnom,8865846aadfffff,Condo,residential,2306.51,110,253716.10000000003,104.92334919771392,11.575783181233524,16252.0
20,Phnom Penh,Daun Penh,Wat Phnom,8865846aadfffff,Condo,residential,2306.51,110,253716.10000000003,104.92334919771392,11.575783181233524,16252.0
21,Phnom Penh,Por Sen Chey,Kakab 1,8865846f0dfffff,Condo,residential,1388.89,118,163889.02000000002,104.84804172135895,11.564560397503294,5105.0
22,Phnom Penh,Por Sen Chey,Chaom Chau 1,8865846f1dfffff,Villa,residential,708.33,46,32583.18,104.8285750110435,11.549848536528973,2554.0
23,Phnom Penh,Toul Kork,Boeung Kak 2,8865846abdfffff,Land/Development,residential,4500.0,40,180000.0,104.8926190479557,11.570888583215353,15107.0
24,Phnom Penh,Toul Kork,Boeung Kak 2,8865846abdfffff,Land/Development,residential,4500.0,40,180000.0,104.8926190479557,11.570888583215353,15107.0
25,Phnom Penh,Toul Kork,Boeung Kak 2,8865846abdfffff,Land/Development,residential,4500.0,40,180000.0,104.8926190479557,11.570888583215353,15107.0
26,Phnom Penh,Russey Keo,Russey Keo,88658468c9fffff,Flat,residential,3487.13,96,334764.48,104.90156593876269,11.58224779414456,8037.0
27,Phnom Penh,Russey Keo,Russey Keo,88658468c9fffff,Flat,residential,3487.13,96,334764.48,104.90156593876269,11.58224779414456,8037.0
28,Phnom Penh,Sen Sok,Phnom Penh Thmey,88658468d5fffff,Twin Villa,residential,2112.83,118,249313.94,104.8776197405413,11.595126132250616,2630.0
29,Phnom Penh,Toul Kork,Boeung Kak 1,8865846ab5fffff,Twin Villa,residential,4090.28,38,155430.64,104.8935132260172,11.579461890967824,13220.0
30,Phnom Penh,Toul Kork,Boeung Kak 1,8865846ab5fffff,Twin Villa,residential,4090.28,38,155430.64,104.8935132260172,11.579461890967824,13220.0
31,Phnom Penh,Chbar Ampov,Nirouth,8865846a0bfffff,Shophouse,residential,3388.89,84,284666.76,104.96438861326287,11.541534715011162,1726.0
32,Phnom Penh,Chbar Ampov,Nirouth,8865846a0bfffff,Shophouse,residential,3388.89,84,284666.76,104.96438861326287,11.541534715011162,1726.0
33,Phnom Penh,Dangkao,Dangkao,8865846183fffff,Offices,commercial,1689.34,96,162176.63999999998,104.8566604086973,11.501656633970343,2310.0
34,Phnom Penh,Dangkao,Dangkao,8865846183fffff,Offices,commercial,1689.34,96,162176.63999999998,104.8566604086973,11.501656633970343,2310.0
35,Phnom Penh,Daun Penh,Chakto Mukh,8865846aadfffff,Flat,residential,5042.77,88,443763.76,104.923818770716,11.577197029091245,16252.0
36,Phnom Penh,Daun Penh,Chakto Mukh,8865846aadfffff,Flat,residential,5042.77,88,443763.76,104.923818770716,11.577197029091245,16252.0
37,Phnom Penh,Daun Penh,Chakto Mukh,8865846aadfffff,Flat,residential,5042.77,88,443763.76,104.923818770716,11.577197029091245,16252.0
38,Phnom Penh,Daun Penh,Chakto Mukh,8865846aadfffff,Flat,residential,5042.77,88,443763.76,104.923818770716,11.577197029091245,16252.0
39,Phnom Penh,Daun Penh,Chakto Mukh,8865846aadfffff,Flat,residential,5042.77,88,443763.76,104.923818770716,11.577197029091245,16252.0
40,Phnom Penh,Daun Penh,Chakto Mukh,8865846aadfffff,Flat,residential,5042.77,88,443763.76,104.923818770716,11.577197029091245,16252.0
41,Phnom Penh,Toul Kork,Phsar Daeum Kor,8865846ab1fffff,House,residential,4200.84,38,159631.92,104.88797431716269,11.57458055475239,5039.0
42,Phnom Penh,Toul Kork,Phsar Daeum Kor,8865846ab1fffff,House,residential,4200.84,38,159631.92,104.88797431716269,11.57458055475239,5039.0
43,Phnom Penh,Toul Kork,Phsar Daeum Kor,8865846ab1fffff,House,residential,4200.84,38,159631.92,104.88797431716269,11.57458055475239,5039.0
44,Phnom Penh,Toul Kork,Phsar Daeum Kor,8865846ab1fffff,House,residential,4200.84,38,159631.92,104.88797431716269,11.57458055475239,5039.0
45,Phnom Penh,Daun Penh,Srah Chak,8865846aadfffff,Villa,residential,5000.0,88,440000.0,104.91899968577832,11.576777652651637,16252.0
46,Phnom Penh,Daun Penh,Srah Chak,8865846aadfffff,Villa,residential,5000.0,88,440000.0,104.91899968577832,11.576777652651637,16252.0
47,Phnom Penh,Daun Penh,Srah Chak,8865846aadfffff,Villa,residential,5000.0,88,440000.0,104.91899968577832,11.576777652651637,16252.0
