,address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude
0,Phnom Penh,Chbar Ampov,Preaek Pra,8865846a59fffff,2471.51,66,163119.66,104.96738768142183,11.51352220098881
1,Phnom Penh,Chamkar Mon,Tonle Basak,8865846ae1fffff,2234.87,80,178789.59999999998,104.92793204581876,11.55730967849466
2,Phnom Penh,Mean Chey,Stueng Mean Chey,8865846ad1fffff,2385.72,44,104971.68,104.90161671339324,11.530884348844584
3,Phnom Penh,Pur SenChey,Chaom Chau,88658461a1fffff,2005.1,32,64163.2,104.87797224244045,11.529098082329167
4,Phnom Penh,Mean Chey,Boeng Tumpun,8865846ad5fffff,1048.19,40,41927.600000000006,104.90528786282096,11.536312647089268
5,Phnom Penh,Saensokh,Tuek Thla,8865846a9dfffff,2343.33,62,145286.46,104.89462032756485,11.544592583724707
6,Phnom Penh,Saensokh,Phnom Penh Thmei,886584689dfffff,753.15,82,61758.299999999996,104.86142028634349,11.604600499927095
7,Phnom Penh,Chbar Ampov,Preaek Pra,8865846a5bfffff,3439.26,64,220112.64,104.95530743878477,11.515803347501686
8,Phnom Penh,Chamkar Mon,Tonle Basak,8865846a17fffff,2536.83,62,157283.46,104.9417485831379,11.552462493378847
9,Phnom Penh,Chamkar Mon,Tonle Basak,8865846ac1fffff,2755.52,32,88176.64,104.91828554129913,11.539939434774599
10,Phnom Penh,Pur SenChey,Trapeang Krasang,8865846c09fffff,1412.22,68,96030.96,104.78564296979293,11.558323478088619
11,Phnom Penh,Chbar Ampov,Veal Sbov,88658478b3fffff,1918.37,88,168816.56,104.96444955971752,11.509430449687768
12,Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Muoy,8865846ae9fffff,3476.44,78,271162.32,104.93230514167534,11.549169994278536
13,Phnom Penh,Saensokh,Khmuonh,88658468a3fffff,1270.34,52,66057.68,104.88003188335685,11.63970107086907
14,Phnom Penh,Dangkao,Dangkao,8865846027fffff,424.78,54,22938.12,104.89286600290612,11.476910788981304
15,Phnom Penh,Mean Chey,Stueng Mean Chey,8865846f4dfffff,3008.72,50,150436.0,104.86749776788632,11.539921986206034
16,Phnom Penh,Doun Penh,Voat Phnum,8865846aadfffff,1214.8,76,92324.8,104.92160092834516,11.574980005619288
17,Phnom Penh,Chraoy Chongvar,Bak Kaeng,88658469adfffff,235.89,74,17455.86,104.92770131214772,11.679969530653871
18,Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Muoy,8865846ac7fffff,3234.61,86,278176.46,104.91615393082552,11.546297398536922
19,Phnom Penh,Doun Penh,Phsar Kandal Ti Muoy,8865846ae5fffff,1710.24,46,78671.04,104.93667212836596,11.565070139349812
20,Phnom Penh,Doun Penh,Srah Chak,8865846819fffff,3737.03,46,171903.38,104.91843613660505,11.588742580121554
21,Phnom Penh,Pur SenChey,Phleung Chheh Roteh,8865846e6bfffff,2031.3,104,211255.19999999998,104.82299740923926,11.510341033078303
22,Phnom Penh,Pur SenChey,Kamboul,8865846c1bfffff,196.05,30,5881.5,104.75318635074295,11.559277713955616
23,Phnom Penh,Saensokh,Krang Thnong,8865846d45fffff,533.26,56,29862.559999999998,104.83767417158424,11.60877027783233
24,Phnom Penh,Chraoy Chongvar,Bak Kaeng,88658469bdfffff,322.73,52,16781.96,104.90557434646894,11.679638353530157
25,Phnom Penh,Saensokh,Krang Thnong,8865846d49fffff,1515.06,64,96963.84,104.84024657021284,11.59299221054398
26,Phnom Penh,Mean Chey,Stueng Mean Chey,88658461a1fffff,1842.84,30,55285.2,104.87105014049398,11.524684898190145
27,Phnom Penh,Prampir Meakkakra,Veal Vong,8865846aa9fffff,2672.38,120,320685.60000000003,104.91838169117221,11.56371294059941
28,Phnom Penh,Russey Keo,Ruessei Kaev,8865846817fffff,949.43,42,39876.06,104.91051454912338,11.612767591077764
29,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a59fffff,2191.4,114,249819.6,104.96462013342966,11.514891543735612
30,Phnom Penh,Pur SenChey,Chaom Chau,8865846183fffff,1554.27,68,105690.36,104.85733748771669,11.504558403853094
31,Phnom Penh,Dangkao,Pong Tuek,8865846085fffff,148.39,84,12464.759999999998,104.83420672457777,11.462784562477506
32,Phnom Penh,Mean Chey,Chak Angrae Leu,8865846acdfffff,4700.32,118,554637.76,104.93395467778905,11.532017481308996
33,Phnom Penh,Doun Penh,Chey Chummeah,8865846ae1fffff,2268.05,120,272166.0,104.92380640635854,11.554373455451382
34,Phnom Penh,Praek Pnov,Ponsang,886580d2d9fffff,320.16,84,26893.440000000002,104.78443662381953,11.64969308531096
35,Phnom Penh,Saensokh,Tuek Thla,8865846a93fffff,1922.45,92,176865.4,104.86884830946951,11.553967023873968
36,Phnom Penh,Russey Keo,Chrang Chamreh Ti Pir,88658468abfffff,2910.41,38,110595.57999999999,104.87695182861476,11.624490183013412
37,Phnom Penh,Doun Penh,Srah Chak,8865846aa1fffff,4063.01,88,357544.88,104.90825178977727,11.580382850778633
38,Phnom Penh,Tuol Kouk,Phsar Daeum Kor,8865846a81fffff,3445.09,98,337618.82,104.9001819775665,11.555989678848492
39,Phnom Penh,Pur SenChey,Kakab,8865846f19fffff,758.18,80,60654.399999999994,104.82302282478044,11.545280190291464
40,Phnom Penh,Chraoy Chongvar,Preaek Ta Sek,88658469dbfffff,2546.6,48,122236.79999999999,104.90296635002743,11.634383120764298
