h3,population,geometry,index_right,Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn
886586a6ebfffff,255.0,"MULTIPOLYGON (((104.97555292017218 11.708691974953547, 104.97608514914073 11.713860345604637, 104.97182851218547 11.716920980891619, 104.96703957343883 11.714813151617578, 104.96650746270647 11.709644648541378, 104.97076417247447 11.706584107155585, 104.97555292017218 11.708691974953547)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6ddfffff,1337.0,"MULTIPOLYGON (((104.95959051419976 11.686861803454798, 104.96012249571483 11.692030565343378, 104.95586564055121 11.69509091882142, 104.95107673127946 11.692982416395624, 104.95054486805367 11.68781352224986, 104.95480179580024 11.684753262778338, 104.95959051419976 11.686861803454798)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6dbfffff,125.0,"MULTIPOLYGON (((104.94522418806201 11.680535771736167, 104.94575596877286 11.685704795804174, 104.9414987419401 11.688765001678695, 104.93670966200425 11.686656089469809, 104.9361779996402 11.68148693332058, 104.94043529885508 11.678426821452701, 104.94522418806201 11.680535771736167)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6d9fffff,764.0,"MULTIPOLYGON (((104.95426989678246 11.679584370911494, 104.95480179580024 11.684753262778338, 104.95054486805367 11.68781352224986, 104.94575596877286 11.685704795804174, 104.94522418806201 11.680535771736167, 104.94948118831495 11.677475606306261, 104.95426989678246 11.679584370911494)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6d7fffff,323.0,"MULTIPOLYGON (((104.94681957690541 11.696042716241713, 104.94735140432836 11.70121161244135, 104.9430940233415 11.704271952443086, 104.93830474251051 11.702163302334908, 104.93777303343883 11.69699427406193, 104.94203048683679 11.693934027961726, 104.94681957690541 11.696042716241713)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6d7fffff,323.0,"MULTIPOLYGON (((104.94681957690541 11.696042716241713, 104.94735140432836 11.70121161244135, 104.9430940233415 11.704271952443086, 104.93830474251051 11.702163302334908, 104.93777303343883 11.69699427406193, 104.94203048683679 11.693934027961726, 104.94681957690541 11.696042716241713)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6d5fffff,715.0,"MULTIPOLYGON (((104.95586564055121 11.69509091882142, 104.95639758628558 11.700259682827776, 104.95214050444685 11.703320076610359, 104.94735140432836 11.70121161244135, 104.94681957690541 11.696042716241713, 104.95107673127946 11.692982416395624, 104.95586564055121 11.69509091882142)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6d3fffff,502.0,"MULTIPOLYGON (((104.9414987419401 11.688765001678695, 104.94203048683679 11.693934027961726, 104.93777303343883 11.69699427406193, 104.93298376279962 11.694885399933762, 104.93245213627183 11.689716241633423, 104.93670966200425 11.686656089469809, 104.9414987419401 11.688765001678695)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6d3fffff,502.0,"MULTIPOLYGON (((104.9414987419401 11.688765001678695, 104.94203048683679 11.693934027961726, 104.93777303343883 11.69699427406193, 104.93298376279962 11.694885399933762, 104.93245213627183 11.689716241633423, 104.93670966200425 11.686656089469809, 104.9414987419401 11.688765001678695)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6d1fffff,657.0,"MULTIPOLYGON (((104.95054486805367 11.68781352224986, 104.95107673127946 11.692982416395624, 104.94681957690541 11.696042716241713, 104.94203048683679 11.693934027961726, 104.9414987419401 11.688765001678695, 104.94575596877286 11.685704795804174, 104.95054486805367 11.68781352224986)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
