name,lat,lon
Little Learners Daycare (Central Market),11.5717605,104.9209869
Sambo's Tots Phnom Penh School,11.5573751,104.9223421
Woodland International Preschool,11.5796132,104.9010554
Whizz-Kids Montessori Academy,11.5774727,104.8951472
សិល្ប:ខ្មែរអង្គរ,11.5667098,104.9302751
Orange Crest Preschool,11.579396,104.8987639
Ikigai Kids,11.5531753,104.9318914
សាលាមត្តេយ្យ ហ្គេខូ ហ្គាដិន,11.5549704,104.9305132
Combi Plaza International Pre-School,11.5556755,104.9217584
សាលា​អន្តរជាតិ The Giving Tree,11.5462544,104.9226818
Acacia French International Pre-School Phnom Penh,11.5515555,104.930259
Glow Early Learning - Phnom Penh,11.5850183,104.8943294
Meriawa Education (Sala Sekai): Japanese Preschool in Phnom Penh,11.5399172,104.9115308
Home of English Cambodia (Preschool),11.5479741,104.9154541
The Rainbow House - Boeung Trabek,11.5303658,104.9238077
"Kinderland International Preschool @Toul Kork, Phnom Penh",11.5846446,104.8983342
Canadian International School of Phnom Penh - Olympia City Campus,11.5620875,104.9134252
បងតូចបងធំ,11.5622321,104.92446
Learning Jungle International School - Kindergarten Campus,11.5841035,104.8962783
លីសេ បារាំង រឺណេ ដេកាត,11.5747508,104.9197843
智博教育-ZhiBo Education,11.549482,104.926447
OrbRom Center - Olympia City,11.5620865,104.9134265
DK SchoolHouse,11.5354578,104.9276041
Home Of English International School,11.5478858,104.9148703
The Rainbow House - Sen Sok,11.5732426,104.8860886
Willkids International School - Main Cam...,11.5379392,104.9679429
Play store,11.5563738,104.9282099
Shichida School TK,11.5874738,104.8968588
JISPP - Japanese International School of Phnom Penh,11.5763811,104.8934328
Kinderland Preschool @ Toul Tom Poung (TTP),11.5410602,104.9192177
Learning Jungle International School - Kindergarten Campus 598,11.5951448,104.9009898
Zhong Ying International School (Depo Campus),11.5646747,104.9078478
FIS CARE,11.5805534,104.8918698
Parrot Kindergarten,11.5760945,104.8855561
Millennium School I - សាលាមីលលេននៀម ១ - ការអប់រំទូទៅកម្រិតមត្តេយ្យ ដល់ វិទ្យាល័យ - (干禧年学校),11.5543425,104.9074396
Edukidz Nursery School,11.5575159,104.9223116
Paragon International School - Kindergarten Campus,11.5791458,104.8937027
MGM,11.5735032,104.894027
JCSF Center International,11.536924,104.910116
Akira Playschool Cambodia,11.5366215,104.8866787
Kids World International School (TK Campus),11.5789287,104.8948397
ផ្ទះកុមារឆ្លាត,11.5574324,104.8929764
សាលាអន្តរជាតិ អាយ ស៊ី អេស,11.5611001,104.926199
Mulberry International Preschool,11.5244551,104.952095
SAN LORENZO MONTESSORI PRESCHOOL,11.5622899,104.8660612
office,11.5628909,104.8959618
The Creative Kid'z Club,11.5673537,104.8924263
សាលា​អន្តរជាតិ លីបឺធី,11.5632971,104.8969626
សាលា​មត្តេយ្យ​ភូមិ​៥,11.5390844,104.9158197
Horizon International Academy Kindergarten Campus,11.547537,104.9083912
Discovery Language Academy (DLA) Toul Svay Prey,11.5520307,104.9037593
The giving tree international school primary campus,11.5460979,104.9227639
