name,lat,lon
សាលាបឋមសិក្សា អនុវត្តន៍រាជធានី,11.5563953,104.887298
Solar Primary School,11.5460076,104.8845658
Yamabiko Primary School,11.5575338,104.8771477
សាលារៀនបឋមសិក្សា សឡា,11.5459994,104.8845937
សាលាបឋមសិក្សា ពោធិចិនតុង,11.5630057,104.8590226
JIN MEI HUA INTERNATIONAL ACADEMY,11.5566658,104.8782803
សាលាបឋមសិក្សាភ្នំពេញថ្មី,11.5761723,104.8714343
Santipheap Primary School,11.5634372,104.8765552
សាលា ដុនបូស្កូ ទឹកថ្លា,11.5517361,104.8693296
សាលា ញូលែន,11.5454305,104.8843207
CIA FIRST International School,11.5524156,104.8766263
សាលាបឋមសិក្សា​ស្ទឹងមានជ័យ,11.5451997,104.8960938
សាលាបឋមសិក្សាបឹងសាឡាង,11.5510482,104.8984744
សាលាភ្នំពេញម៉ុនតែសសូរីអន្តរជាតិ,11.5544855,104.8790522
Goodwill International School,11.5433741,104.8750937
សាលាអន្តរជាតិ ន័រវេស,11.5562884,104.8605546
Paragon International School Primary Campus,11.5791339,104.8944931
Ontario International School,11.5632644,104.8617834
សាលា​បឋមសិក្សា សន្ធរម៉ុក,11.5662795,104.8996885
មជ្ឈមណ្ឌលភាសា ស៊ីអិលអេ,11.5528964,104.8843254
សាលាបឋមសិក្សាអេម៉ាញូអែល,11.5548294,104.8972265
សាលារៀន ថោនឃីដស៍,11.5468094,104.8930688
សាលាបឋមសិក្សា សុភមង្គល,11.5650648,104.8556635
Methodist School of Cambodia,11.5747081,104.889864
Toul Kork Primary School,11.5794069,104.8996447
SOS Hermann Gmeiner School Phnom Penh,11.5752903,104.8709762
សាលាបឋមសិក្សា ទឹកល្អក់,11.560366,104.8982795
សាលាអន្តរជាតិអេផលអាមេរិកាំង,11.5680704,104.8513329
MAKSON International Academy,11.5762185,104.8807348
សាលា អន្តរជាតិ ប៊េស វ៉េ,11.5401768,104.8788011
សាលារៀនខូលីងវូដភ្នំពេញ,11.5782139,104.8941938
SANGAPAC,11.5672652,104.8791874
FISTK-Primary,11.5797891,104.891814
Pleroma School for Girls (primary),11.570902,104.8507943
សាលាបឋមសិក្សារទួលស្វាយព្រៃ,11.5515962,104.9066985
សាលាបឋមសិក្សាភូមិឬស្សី,11.5279596,104.8874101
Start up 5:40-7:30,11.5761339,104.8959059
អនុវិទ្យាល័យ ហ៊ុនសែនពោធិ៍ចិនតុង,11.5630017,104.8590284
សាលាបឋមសិក្សាឯកភាព,11.5558751,104.9033289
មណ្ឌលសិក្សាទំនើប សាខា បឹងសាឡាង,11.551007,104.8983679
"Golden Gate American School, Campus 5",11.5758426,104.893041
សំរាប់កូនក្មេង,11.5729428,104.8532982
Modern Learning Center ToulKok. MLCTK,11.5780853,104.8992138
វិទ្យាល័យ ​ជាស៊ីម សន្ធរម៉ុក,11.5662572,104.8987544
សាលាអន្តរជាតិ ផូលីម៉ាដ្ស,11.535988,104.9016969
សាលារៀន​ អ៊ី អិល អេ​ សាខាត្រពាំថ្លឹង,11.5325341,104.8591529
Chey Chomneah Primary School,11.546188,104.9188864
Toul Sleng Primary School,11.5510237,104.9125494
Preah Norodom Primary School,11.5687029,104.9253534
Rice Academy,11.5307868,104.8961402
សាលាបឋមសិក្សាទួលទំពូងទី ២,11.5378886,104.9109101
Aknuwat Primary School,11.5681126,104.8419388
សាលាបឋមសិក្សា បាក់ទូក,11.5644078,104.9135566
"HV52+J2P រាជធានី​ភ្នំពេញ, កម្ពុជា",11.5591306,104.8501233
បង,11.5337963,104.8656989
Phnom Doun Penh Primary School,11.5641082,104.9228705
សាលាបឋមសិក្សាសំពៅមាស,11.5602302,104.9150354
សាលាអន្តរជាតិឡូហ្គោស,11.5846513,104.8717684
The giving tree international school primary campus,11.5460979,104.9227639
The Rice Academy (Cambodian Children’s Fund),11.5298798,104.8877901
The South Trobek Lake Primary School (Beng Trobek Kang Tbong),11.5268378,104.9188283
សាលាបឋមសិក្សា​ទួល​ទំពូង,11.5437338,104.9159138
សាលាបឋមសិក្សា ហ៊ុននាង បឹងត្របែកខាងកើត,11.5348928,104.9211818
សាលា​បឋមសិក្សា​គោកបញ្ជាន់,11.5332364,104.8466548
សាលាបឋមសិក្សាស្វាយជ្រុំ,11.5584402,104.9062989
សាលា​អន្តរជាតិ The Giving Tree,11.5462544,104.9226818
DK SchoolHouse,11.5354578,104.9276041
សាលាអន្តរជាតិ វើលដ៏ កម្ពុជា,11.5821574,104.9042133
សាលាបឋមសិក្សាកូលាបទី១​,11.5856291,104.919042
Club d'études des Langues Étrangères,11.5657621,104.9008944
សាលាបឋមសិក្សា​ពញាហុក,11.5467835,104.926362
Millennium School I - សាលាមីលលេននៀម ១ - ការអប់រំទូទៅកម្រិតមត្តេយ្យ ដល់ វិទ្យាល័យ - (干禧年学校),11.5543425,104.9074396
Dandelion International Academy of Education,11.5818822,104.8945169
សាលាបឋមសិក្សា តាំងកសាង,11.56507,104.841313
សាលាបឋមសិក្សា​វត្ត​សន្សំ​កុសល,11.5299603,104.9114183
សាលាបឋមសិក្សា ហំាងង៉ោស្រះចក,11.5739441,104.9187429
សាលាបឋមសិក្សា​ទួលពង្រ Toul Pongro Primary school,11.5178067,104.8704965
សាលាបឋមសិក្សា ទួលសង្កែ,11.5910513,104.911279
សាលាភាសាបារំងClé,11.5659615,104.9008925
សាលាបឋមសិក្សា​វត្តកំពែង,11.5095811,104.8492214
សាលាបឋមសិក្សា-អនុវិទ្យាល័យដង្កោ (Primary School - Secondary School),11.5104251,104.8919161
Feynman Learning Center,11.5322722,104.8874039
សាលា ចំណេះទូទៅ រូចដា,11.53595,104.8474141
សាលាបឋមសិក្សា​ ហ៊ុន​ នាង,11.5379503,104.9114909
Kdey Takoy Primary and Secondary School,11.5563738,104.9282099
Home Of English International School,11.5478858,104.9148703
សាលាប៊ែលធីអន្តរជាតិ ទី៣ (សាខាដេអិន),11.5687537,104.9054954
សាលាបឋមសិក្សា​វត្តព្រះពុទ្ធ,11.5622037,104.9115924
Digital Learning Center,11.5660466,104.8999741
សាលារៀន អ៊ី អិល អេ​ សាខាទួលពង្រ,11.5223096,104.8597328
សាលាបឋមសិក្សា​អនុវត្តន៍,11.5595943,104.9251016
សាលាបឋមសិក្សា ព្រះពន្លា,11.5212728,104.9406716
