name,lat,lon
ធនាគារវឌ្ឍនៈអាស៊ីចំកាត់ (ផ្សារថ្មី),11.5695979,104.9221252
ABA ATM,11.5751716,104.9257393
ABA 24/7 - Riverside,11.5704104,104.9298775
ការិយាល័យកណ្ដាល ធនាគារ​ អេប៊ីអេ,11.5590168,104.9203416
ABA ATM,11.5727412,104.924722
ABA 24/7 - Phsar Kandal,11.5681754,104.9285431
ABA ATM,11.5711135,104.9296447
ABA ATM,11.571777,104.9284741
ABA Bank ATM,11.569462,104.930142
ABA ATM,11.5739044,104.9213586
ABA Cash-in Machine,11.5704511,104.929876
ABA 24/7 - Phsar Thmey 2,11.5691358,104.9187285
ABA ATM 204,11.5754226,104.9267208
ABA Bank Head Office,11.5557998,104.9225604
ធនាគារ​ ABA សាខា​មិត្តភាព​,11.5713815,104.9160572
ធនាគារ​ អេប៊ីអេ សាខា ស្ដាតចាស់,11.5851767,104.9132404
ABA Chhroy Changvar​ Branch,11.5951345,104.9309909
ABA ATM,11.5714881,104.9216299
ABA 24/7 - Stade Chas,11.5854992,104.9156959
​អេប៊ីអេ,11.5716067,104.9276642
ABA 24/7 Sokha Plaza,11.5682249,104.9287274
ABA ATM,11.5725229,104.9290007
ធនាគារ ABA​ សាខា​វិមាន​ឯករាជ្យ​,11.5561337,104.9232083
ABA ATM,11.5722381,104.9191084
ធនាគារវឌ្ឍនៈអាស៊ីចំកាត់ (ផ្លូវសុធារស),11.5483188,104.9310955
ABA ATM,11.5696252,104.9221409
ABA 24/7 - Phsar Thmey 1,11.567923,104.9188993
ធនាគារវឌ្ឍនៈអាស៊ីចំកាត់ (សាខាបូរីកីឡា),11.5672479,104.9111505
​ធនាគារ វឌ្ឍនៈ​អាស៊ី ចំកាត់ - សាខា សន្ធរមុខ,11.5673256,104.9006251
ABA Card Machine - Central Market Branch,11.5696045,104.9221477
ABA 24/7 - Neang​ Kong​ Hing,11.5623685,104.912678
ABA Check Deposit Machine,11.5704492,104.9298733
ធនាគារ​ អេប៊ីអេ សាខាម៉ៅសេទុង,11.5441963,104.9179675
ABA Bank ATM,11.5673156,104.928813
ABA ATM,11.5687687,104.9273433
ABA Bank ATM,,
ABA ATM,11.5666255,104.9269333
ABA ATM,11.5678399,104.9261947
ABA ATM,11.5665755,104.9298799
ABA ATM/Cash-in Machine,11.5709868,104.9158269
ABA Toul Kork Branch,11.5834486,104.9000931
ABA Operational Hall of Head Office,11.5557558,104.9230653
ABA ATM,11.5638042,104.9267509
ABA ATM,11.568629,104.9189
ម៉ាស៊ីនដកប្រាក់​ធនាគារ​អេប៊ីអេ,11.5668578,104.9307192
ABA ATM,11.5647278,104.9194447
ABA 24/7 - Phsar Olympic,11.5555083,104.9104824
ធនាគារ វឌ្ឍនៈអាស៊ីចំកាត់,11.5550697,104.9059732
ម៉ាស៊ីនដកប្រាក់ ធនាគារ​ អេប៊ីអេ,11.5644428,104.9233114
ABA ATM/Cash-in Machine,11.5681648,104.9285563
ABA 24/7 - Wat​ Moha​ Montrei​,11.5558965,104.9144483
ម៉ាស៊ីនដកប្រាក់ ធនាគារ​ អេប៊ីអេ,11.5569265,104.9257201
ធនាគារ​ស្ថាបនា​,11.5661322,104.9252393
ABA 24/7 - Phsar​ Depo,11.5633179,104.9073825
ABA 24/7 - Phnom Penh Thmey,11.573783,104.8800935
ABA ATM,11.5619035,104.9223562
ធនាគារ​ អេប៊ីអេ សាខាទឹកថ្លា,11.5625263,104.8726159
ABA ATM,11.559764,104.928009
ABA 24/7 - Camko,11.5912699,104.897069
អេធីអឹម ធនាគារ អេប៊ីអេ-សួនអេដែន,11.577808,104.911133
ABA Card Machine - Operational Hall of Head Office,11.5557487,104.9229395
ABA ATM,11.5647745,104.9272573
ABA ATM/Cash-in Machine,11.5821831,104.9283486
ធនាគារ​ វឌ្ឍនៈអាស៊ីចំកាត់ (ស្ទឹងមានជ័យ),11.5352715,104.8854034
ABA Toul Tumpung,11.5395944,104.915421
ធនាគារ​ អេប៊ីអេ សាខាច្បារអំពៅ,11.5316792,104.9402139
ABA ATM,11.555779,104.9225172
ABA ATM/Cash-in Machine,11.5625722,104.9222116
សេវាកម្មស្វ័យប្រវត្តិ ធនាគារវឌ្ឍនៈអាស៊ីចំកាត់,11.543297,104.8937677
BRED Bank (Cambodia) ATM,11.5760396,104.9260343
ធនាគារវឌ្ឍនៈអាស៊ីចំកាត់ (អូរបែកក្អម),11.5493494,104.8917059
ABA ATM,11.5609887,104.9353518
ABA ATM,11.5851753,104.9132698
ABA Aeon Mall 2 Branch,11.5988471,104.8849327
ABA Card Machine - Central Branch,11.5590152,104.920317
ធនាគារ​អេប៊ីអេ សាខា​ផ្សារ​ដើម​ថ្លូវ,11.5289151,104.9150581
ABA ATM,11.5685168,104.9198833
ABA 24/7 - Sovanna,11.5459388,104.8996718
ABA ATM,11.5550441,104.9247742
ABA 24/7 - Phsar Derm Kor,11.5517862,104.9020039
ABA ATM,11.5584075,104.9199997
ABA ATM,11.5951281,104.9310392
ABA ATM,11.5573081,104.9182943
ABA ATM,11.5630461,104.9122372
ABA 24/7 - Russey Keo,11.6092837,104.9175579
ABA 24/7 - Street 2004,11.5519643,104.8763438
ABA Card Machine - Mittapheap Branch,11.5710271,104.9158126
ABA ATM/Cash-in Machine,11.5673623,104.9006269
ABA Sen Sok Branch,11.5893656,104.8694989
ABA 24/7 - Chamkarmon,11.5440936,104.9281645
ABA Check Deposit Machine,11.5517828,104.9020062
ABA ATM,11.5811389,104.916426
ABA Cash-in Machine,11.5623994,104.9129107
ABA ATM,11.5556934,104.9229791
ABA Boeung Trabek Branch,11.5382697,104.923005
ABA 24/7 - Pet Lok Sang,11.5617645,104.8905228
ABA ATM,11.5672821,104.9112152
ម៉ាស៊ីនដកប្រាក់ ធនាគារ​ អេប៊ីអេ,11.5598423,104.9342522
ABA 24/7 - Pochentong,11.5624509,104.8562552
ABA Check Deposit Machine,11.5457623,104.8996672
ABA ATM,11.5547467,104.9326993
ABA AEON MALL (Mean Chey) Branch,11.4840419,104.9178439
ABA Samdach Monireth Branch,11.5551182,104.906041
ABA ATM,11.5523334,104.9354238
ABA ATM/Cash-in Machine,11.589313,104.9285263
ម៉ាស៊ីនដកប្រាក់ ធនាគារ​ អេប៊ីអេ,11.583502,104.900002
ABA ATM,11.5719685,104.8991819
ABA ATM/Cash-in Machine,11.5658125,104.914766
ABA 24/7 - Boeung​ Trabek​,11.5348248,104.9235918
ធនាគារ​អេប៊ីអេ សាខា​ឫស្សីកែវ,11.6229732,104.9097793
ABA Chamkar Mon Branch,11.5320866,104.9300747
ABA Card Machine - Borei Keyla Branch,11.5672314,104.9111538
ABA ATM,11.5619736,104.9205599
ទូដកប្រាក់ ធនាគារ អេប៊ីអេ,11.5400664,104.9139789
ABA Check Deposit Machine,11.5623725,104.9129317
ABA ATM,11.5494324,104.9241921
ABA Bank,11.5306321,104.8572276
ABA ATM,11.5484794,104.9281963
ABA 24/7 - WB Arena,11.5102897,104.9373499
