name,lat,lon
ផ្សារអ៉ីអន ភ្នំពេញ,11.548192,104.9328627
​ផ្សារ​អ៊ីអន សែន​សុខ.,11.5996639,104.8853702
AEON MALL Sen Sok,11.5988832,104.8845771
Levi’s (Aeon Mall Phnom Penh),11.5480058,104.9328614
ផ្សារទំនើបសូរិយា,11.5676054,104.9208394
Swensen's Aeon Mall 2,11.5997762,104.8856625
Aeon mall sensok,11.5563738,104.9282099
ផ្សារទំនើប អ៊ីអនមានជ័យ,11.4841593,104.9178149
PARFUMERIE AEON MALL Phnom Penh,11.5477744,104.934228
Lyn Around AEON MALL Phnom Penh,11.548478,104.9325644
The SAEM aeon mall,11.5480972,104.9324017
AEON MaxValu BoeungKak,11.5765474,104.9112503
GARMIN AEON Mall Phnom Penh,11.5476041,104.9328892
Baleno Aeon Mall Phnom​ Penh,11.5477665,104.9331958
OWNDAYS Aeon Mall Phnom Penh,11.5478569,104.9330414
ផ្សារទំនើប អ៊ីអនម៉េកវេលយូ - ជ្រោយចង្វា,11.5901982,104.9285321
Converse Aeon Mall I,11.5476851,104.933672
Nike Store AEON Mall Phnom Penh,11.5478183,104.9324514
Yolé AEON Mall Phnom Penh,11.5481175,104.9328892
Crocs @ AEON Mall,11.5487009,104.9328526
AEON Mall Por Sen Chey,11.5103198,104.8608244
អ៊ីអន ម៉ាក្សវ៉ាល្យូ អេចប្រេស - បឹងកេងកង ៥១,11.549022,104.9272778
Pedro Aeon Mall Phnom Penh,11.5475029,104.9329507
អ៊ីអនថប់ ម៉ល,11.5602984,104.910928
Routine Aeon Mall Phnom Penh,11.5482732,104.9324532
Aeon Lounge,11.5482371,104.9334468
MLB (Aeon Mall Sen Sok City),11.6003875,104.8849844
MEGANE PRINCE - AEON MALL Phnom Penh,11.5477,104.9344308
Lenox-V Aeon Mall Phnom Penh,11.5476511,104.9327578
GINTELL - AEON MALL Phnom Penh,11.5476646,104.9342121
Gap - Aeon Mall Phnom Penh,11.5481783,104.9340027
ប្រៃសណីយ៍កម្ពុជាសាខាអ៊ីអនទន្លេបាសាក់ Post Office Aeon,11.5479178,104.9328386
ស្ដារប័កស៍,11.5484679,104.932067
Pomelo Aeon Mall Phnom Penh,11.5482018,104.932069
Sheridan aeon mall,11.5480292,104.9325392
KOI Thé AEON Mall,11.5475816,104.9334741
Elisa Cortes Aeon mall,11.5477293,104.9328465
អ៊ីអន ម៉ាក្សវ៉ាល្យូ អេចប្រេស - បឹងកេងកង ៥៧,11.5545775,104.9246502
ECCO AEON Mall Phnom Penh,11.5478338,104.9332217
VK Style Aeon Mall Phnom Penh,11.5477002,104.9340326
Toys & Me (AEON Mall Phnom Penh),11.5471501,104.934025
Pandora Aeon Mall,11.5476717,104.9328301
COACH Aeon 1,11.547408,104.9332795
"AEON (CAMBODIA) CO.,LTD",11.5480137,104.933257
Eye Care Optic AEON Mall Phnom Penh,11.5477584,104.9328623
"Love, Bonito Aeon Mall",11.5474971,104.933479
ផ្សារទំនើប អ៊ីអនម៉េកវេលយូ - ទួលគោក,11.5744025,104.8904627
Krispy Kreme - Aeon Mall,11.5482308,104.9327803
Travel Hub @ Aeon Mall,11.5477149,104.9334724
Nature Republic @ Aeon Mall,11.5483166,104.9324799
HANA TOKYO AEON mall Mean Chey,11.4837743,104.9189151
Bose AEON Mall Sen Sok City,,
Ucare Pharmacy AEON Mall (1st floor),11.5480167,104.9335564
G2000 AEON MALL PHNOM PENH,11.547581,104.9330702
MI-A JAPAN (AEON Mall Phnom Penh),11.5480205,104.933011
អូកា | OKA AEON MALL SenSok,11.5994993,104.884358
Time Station NEO,11.5482104,104.9324472
ផ្សារទំនើប aeon mall ផ្លូវ 60 ម៉ែត្រ,11.483013,104.9184734
LAMY Aeon Mall Sen Sok,11.5994818,104.8852765
Bear Cambodia - AEON Mall Sen Sok,11.5985149,104.8833882
Nine West Aeon Mall 2,11.6014625,104.8856406
Burger King Aeon Mall 1,11.5476276,104.9342238
Norm+ AEON Mall SenSok,11.5998051,104.8856629
Mido Watches @ Aeon Mall,11.547837,104.9330408
ROUTINE AEON MALL SENSOK,11.6002727,104.8847315
Menard Facial Salon (AEON MALL),11.5483977,104.9328131
Bear Cambodia - AEON Mall Mean Chey,11.48462,104.9175351
L'occitane at AEON Mall,11.5474183,104.9331432
Yolé AEON Mall Sensok City,11.5999423,104.885507
SIMPL'SELF AEON MALL Phnom Penh 1st Floor,11.5480821,104.933272
TWG Tea at Aeon Mall Phnom Penh,11.5482292,104.9327957
Estelle,11.5475685,104.9330727
bodia store (Aeon Mall 1),11.5487587,104.932763
