,name,lat,lon
0,ABA 24/7 - Phsar Thmey 2,11.5691358,104.9187285
1,ABA ATM,11.5751716,104.9257393
2,CIMB Bank ATM,11.5737924,104.9214193
3,ABA ATM,11.5727412,104.924722
4,SATHAPANA Bank ATM,11.5751208,104.925748
5,KB PRASAC ATM - Cambodia Post,11.575103,104.9257227
6,BRED Bank (Cambodia) ATM,11.5760396,104.9260343
7,ATM ធនាគារ​ស្ថាបនា,11.5733853,104.9243431
8,ACLEDA Self Service Banking (ATM),11.5736403,104.928146
9,J Trust Royal ATM,11.5732879,104.928274
10,ATM ធនាគារ​កាណា​ឌីយ៉ា,11.5739375,104.9240625
11,ABA ATM,11.5739044,104.9213586
12,BRED Bank (Cambodia) ATM,11.5751649,104.9191807
13,Prince Bank ATM,11.5752067,104.9257212
14,FTB ATM,11.571755,104.921989
15,J Trust Royal ATM,11.57385,104.92793
16,J Trust Royal ATM,11.57304,104.92799
17,WOORI ATM - Total Station La Gare,11.5720868,104.9173203
18,SATHAPANA Bank ATM,11.5723333,104.9169385
19,ABA ATM,11.5647278,104.9194447
20,ABA ATM,11.5696252,104.9221409
21,FTB ATM,11.573818,104.917659
22,ABA ATM,11.5714881,104.9216299
23,WOORI ATM/Cash-In - Phsar Thmey Ti3,11.5689903,104.9222147
24,ATM Anytime,11.5683128,104.9250269
25,WOORI ATM /Cash-in - Mittapheap,11.567478,104.9114801
26,SATHAPANA Bank ATM,11.5655787,104.9220636
27,SATHAPANA Bank ATM,11.5686846,104.9121634
28,ABA ATM,11.5672821,104.9112152
29,ACLEDA ATM - Office of Council Ministers,11.5695113,104.912767
30,SBC ATM,11.5770203,104.9175873
31,KB PRASAC ATM - NUM University,11.5749981,104.9180102
32,ABA ATM/Cash-in Machine,11.5658125,104.914766
33,ANZ Royal ATM,11.5652609,104.9237102
34,Canadia Bank ATM,11.5674782,104.9229896
35,FTB ATM,11.5622237,104.9203581
36,ACLEDA Self Service Banking (ATM),11.5624016,104.9180371
37,Canadia Bank ATM,11.5736875,104.9211875
38,BRED Bank (Cambodia) ATM,11.5622771,104.920869
39,ACLEDA Self Service Banking (ATM),11.567361,104.924862
40,PPCBank ATM Cash In/Out (Ou Ruessei Branch),11.5601688,104.9195539
41,WOORI ATM - Preah Norodom Primary School,11.5682154,104.9249373
42,ATM Anytime,11.5695145,104.9271843
43,Sathapana Bank ATM,11.5726837,104.9239143
44,WOORI Self-banking (ATM/Cash-in) - Eden Garden,11.5767935,104.9115277
45,ACLEDA ATM - Amazon (Ang Doung),11.5727147,104.9238546
46,ACLEDA ATM - PSC Computer,11.5619459,104.9205654
47,ACLEDA ATM - Orussey Restaurant,11.562452,104.922298
48,FTB ATM,11.5667294,104.9266953
49,PPCBank ATM (Bak Touk Branch),11.5635538,104.9115884
50,ABA ATM,11.5619035,104.9223562
51,ABA ATM,11.5678399,104.9261947
52,Canadia Bank ATM,11.5652243,104.9237178
53,ACLEDA Self Service Banking (ATM),11.5764037,104.910912
54,ACLEDA ATM - Raffles Le Royal,11.57626,104.918709
55,ABA ATM/Cash-in Machine,11.5625722,104.9222116
56,ABA ATM,11.5630461,104.9122372
57,FTB ATM,11.5605459,104.9225013
58,BIDC Bank ATM,11.5652434,104.9237157
59,SATHAPANA Bank ATM,11.5633053,104.9118338
60,ATM ធនាគារ​អេស៊ីលីដា,11.5706511,104.9277121
61,SATHAPANA Bank ATM,11.561672,104.9144569
62,Canadia Bank ATM,11.5625971,104.9223029
63,J Trust Royal ATM,11.5666336,104.9269207
64,ABA ATM,11.5619736,104.9205599
65,SATHAPANA Bank ATM,11.5607014,104.9196744
66,KB PRASAC Bak Touk Branch_CDM_ATM,11.5643343,104.9116494
67,FTB ATM,11.5658671,104.9283595
68,ANZ Royal ATM,11.562565,104.9117885
69,KB PRASAC Phsar Kandal Branch_CDM_ATM,11.5716104,104.9276696
70,ACLEDA Self Service Banking (ATM),11.5736403,104.928146
71,Cambodian Public Bank ATM,11.5715171,104.9190381
72,ABA ATM,11.5727412,104.924722
73,ABA ATM,11.5751716,104.9257393
74,J Trust Royal ATM,11.57304,104.92799
75,ABA ATM,11.571777,104.9284741
76,BRED Bank (Cambodia) ATM,11.5760396,104.9260343
77,J Trust Royal ATM,11.57385,104.92793
78,Canadia Bank ATM,11.5730625,104.9285625
79,KB PRASAC ATM - Cambodia Post,11.575103,104.9257227
80,SATHAPANA Bank ATM,11.5706447,104.927775
81,J Trust Royal ATM,11.57157,104.92842
82,J Trust Royal ATM,11.5731043,104.9283025
83,Sathapana Bank ATM,11.5726837,104.9239143
