,name,lat,lon,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,Wing Bank Beoung Trobek Branch,11.5417205,104.9225463,,,,,
1,Wing Bank Independence Monument Branch,11.5557996,104.9240568,,,,,
2,Wing Bank Wat Phnom Branch,11.5712454,104.9202109,,,,,
3,Wing Bank Preah Yukunthor Branch,11.5560078,104.9191052,,,,,
4,Wing Bank Tuol Kouk Branch,11.5784337,104.899991,,,,,
5,Wing Bank Orkide 2004 Branch,11.5519805,104.8763838,,,,,
6,Wing Bank Saensokh Branch,11.603237,104.8856922,,,,,
7,Wing Bank RGPPSEZ Branch,11.5174559,104.7797186,,,,,
8,PPCBank ATM Cash In/Out (Ou Ruessei Branch),11.5601688,104.9195539,44.0,43.0,42.0,41.0,40.0
9,PPCBank ATM (Bak Touk Branch),11.5635538,104.9115884,53.0,52.0,51.0,50.0,49.0
10,KB PRASAC Bak Touk Branch_CDM_ATM,11.5643343,104.9116494,70.0,69.0,68.0,67.0,66.0
11,KB PRASAC Phsar Kandal Branch_CDM_ATM,11.5716104,104.9276696,73.0,72.0,71.0,70.0,69.0
12,KB PRASAC Phsar Thmei Branch_CDM_ATM,11.5695631,104.920076,99.0,98.0,97.0,96.0,95.0
13,PPCBank ATM Cash In/Out (Ou Ruessei Branch),11.5601688,104.9195539,247.0,246.0,245.0,244.0,10.0
14,PPCBank ATM (Bak Touk Branch),11.5635538,104.9115884,248.0,247.0,246.0,245.0,12.0
15,KB PRASAC Bak Touk Branch_CDM_ATM,11.5643343,104.9116494,249.0,248.0,247.0,246.0,14.0
16,KB PRASAC Phsar Kandal Branch_CDM_ATM,11.5716104,104.9276696,250.0,249.0,248.0,247.0,15.0
17,KB PRASAC Phsar Thmei Branch_CDM_ATM,11.5695631,104.920076,251.0,250.0,249.0,248.0,20.0
18,PPCBank ATM Cash In/Out (Ou Ruessei Branch),11.5601688,104.9195539,383.0,382.0,381.0,8.0,40.0
19,PPCBank ATM (Bak Touk Branch),11.5635538,104.9115884,384.0,383.0,382.0,9.0,49.0
20,KB PRASAC Bak Touk Branch_CDM_ATM,11.5643343,104.9116494,385.0,384.0,383.0,10.0,66.0
21,KB PRASAC Phsar Kandal Branch_CDM_ATM,11.5716104,104.9276696,386.0,385.0,384.0,11.0,69.0
22,KB PRASAC Phsar Thmei Branch_CDM_ATM,11.5695631,104.920076,387.0,386.0,385.0,12.0,95.0
23,PPCBank ATM Cash In/Out (Ou Ruessei Branch),11.5601688,104.9195539,388.0,387.0,386.0,23.0,10.0
24,PPCBank ATM (Bak Touk Branch),11.5635538,104.9115884,389.0,388.0,387.0,25.0,12.0
25,KB PRASAC Bak Touk Branch_CDM_ATM,11.5643343,104.9116494,390.0,389.0,388.0,27.0,14.0
