name,lat,lon
Borey Bunly-បុរីប៊ុនលី,11.5157872,104.8955763
បុរី ប៉េង ហួត ដឹស្តា ជូមីរ៉ាហ៍,11.6415476,104.9177124
បុរី អង្គរភ្នំពេញ,11.6111324,104.8849233
បុរី​ ប៉េង ហួត ដឹស្តា អ៊េមឺរ៉លដ៏ ១,11.5923467,104.8859918
បុរី ភ្នំពេញថ្មី ណតប្រីត,11.5426928,104.8777118
បុរី លីម ឈាងហាក់ (គីឡូម៉ែត្រលេខ 6),11.6147215,104.90972
បុរីភ្នំពេញថ្មី (ការិយាល័យកណ្តាល),11.5743507,104.8852873
Borey new world NA3,11.5127295,104.9317691
បុរីភ្នំពេញថ្មី (ផាកស៊ីធី),11.5849578,104.8750162
បុរី ចតុមុខស៊ីធី ១,11.5906776,104.9629649
Borey Sen Sok ( Sen Sok Town ),11.5871474,104.8906353
កម្ពុបុរី,11.6560331,104.8603893
Borey CK Head Office,11.5555287,104.9072009
បុរី​ ប៉េង ហួត ដឹស្តា ផ្លាទីនីម ប៉ូឡារីស ១,11.5330543,104.9603118
បុរីវីឡាទួលសង្កែ អរិយក្សត្រ,11.5847492,104.966889
បុរី ពិភពថ្មី ឈូកមាស,11.5760125,104.8508896
បុរី ប៉េង ហួត ដឹស្តា អិតធឺណល,11.533307,104.8864625
បុរី ប៉េង ហួត ដឹស្តា ណេតឈឺរ៉ល,11.5171643,104.9160541
Borey Uptown,11.5012704,104.8796243
បុរី ហុង ឡាយ ត្រពាំងថ្លឹង,11.5330648,104.8537723
បុរីឡុងនី គម្រោងទី១ (ទួលពង្រ១),11.5252859,104.8595425
បុរី ថៃ ឈុនគ្រី,11.5938579,104.8531502
បុរី ពិភពថ្មី ផ្សារដីហុយ,11.571026,104.8673722
Borey HokChheng បុរីហុកឆេង (ចំការដូង),11.524488,104.8853977
បុរី​ភ្នំពេញសុខសាន្ត,11.5002984,104.8752429
Borey Prince One Tropica,11.6205807,104.8585888
បុរី ព្រីមៀអង្គរភ្នំពេញ,11.6409896,104.8652974
បុរី ប៉េង ហួត ដឹស្តា ផ្លាទីនីម ហឺមីនឹស៍,11.5256509,104.9556994
បុរី​ប៉េង ហួត-គម្រោង​៨ (​រ៉ូសាតូ),11.5205536,104.9572565
Borey Rachana - បុរីរចនា,11.6207393,104.8899447
បុរី អេច អិល,11.5030613,104.8585415
Borey Hok Ly II,11.6312258,104.8943037
បុរី ប៉េង ហួត ដឹស្តា ឡៃត៍,11.5809369,104.8859844
បុរី ប៉េង ហួត ចំការដូង,11.5339717,104.8811693
ការិយាល័យ បុរី ប៉េង ហួត,11.516862,104.9536214
Borey Angkor Oudom,11.4554152,104.8894435
Borey Monorom,11.6116894,104.9051634
Borey Sunny,11.4921007,104.8431612
Borey Williams Angkor Chey,11.5789248,104.7647872
បុរី​តារា​សំណាង,11.5228424,104.9777104
បុរី វីអាយភី ភ្នំពេញ,11.4599221,104.8788239
បុរី ប៉េង ហួត ដឹស្តា ដាយមិន,11.5044208,104.932151
បុរី​ប៉េង ហួត (គម្រោង​៦),11.5209069,104.9545835
បុរី​ បុស្បា​ អប្សរ​មេរា,11.473679,104.83603
Borey New World (La Sen Sok),11.5981586,104.8837556
បុរី ពិភពថ្មី ចម្ការដូង ៣,11.5046705,104.8706757
ដឹ វារីណា សែនសុខ,11.5830527,104.8392684
BOREY TANG LIM,11.596804,104.8627327
Borey Rith II,11.6330019,104.8844538
បុរី ប៉េង ហួត ដឹស្តា មេរាហ្កាដិន,11.4583613,104.9128981
Borey East Land and Home,11.6395985,104.9847804
Borey Heng Heang City,11.6503509,104.9141956
The Borey Varina 105K,11.5773663,104.8418413
បុរី ប៉េង ហួត ដឹស្តា ផ្លាទីនីម អេកូ មេឡូឌី,11.5140449,104.9679796
Borey PH,11.5349894,104.888122
បូរីជ័យជំនះ ការិយាល័យ​លក់,11.5364122,104.87922
ការិយាល័យ​លក់​ផ្ទះ បុរី​ប៉េង ហួត,11.5346895,104.957537
បុរី​ ប៉េង ហួត ដឹស្តា អ៊េមឺរ៉លដ៏ ២,11.593507,104.8901069
Borey Heng Heang New City,11.5289438,104.8398208
បុរី ភ្នំពេញសុខសាន្ត គម្រោងទី៩,11.5228163,105.008092
បុរី ហុង ឡាយ លូ៥ III,11.5293958,104.8786213
Borey Chea Ry The Green Ville,11.5258972,104.8182947
Borey TG - បុរី ធីជី,11.5026988,104.9358184
បុរី ពិភពថ្មី ឈូកវ៉ា ២,11.570854,104.8194907
បុរីមហាសេដ្ឋី​ (Borey Moha Sethei),11.5970094,104.9145107
Borey Williams,11.5563876,104.776499
Borey Housing,11.5569197,104.9226479
បុរី ភ្នំពេញថ្មី អេលីតផាក២,11.5930959,104.8459072
បុរី ចន្ទគីរី,11.4447736,104.906578
បុរីពិភពថ្មី​ សែនសុខ,11.5964166,104.8848682
បុរី ទីលាង,11.4654282,104.8447823
Borey LHL Sen Sok,11.5743875,104.8414024
Borey Laor Thmey PenhChet,11.7040348,104.9392623
Borey J&C,11.5793253,104.8462573
Borey ChanCastle បុរី ច័ន្ទខាស់សល,11.4969997,104.8736202
Borey Mongkul Phnom Penh 6,11.6360451,104.9175928
បុរីចតុមុខ សុីធី2,11.5982717,104.9748981
Borey Peng Huoth Beoung Snor,11.5255843,104.9563346
Borey Golden Park The Natural,11.6980483,104.9289121
Borey Lorn City Lotussana,11.5257653,104.8225941
បុរី ប៉េង ហួត ដឹស្តា ដាយមិន ២,11.5056903,104.9315512
Borey Ratanak Phnom Penh,11.4826983,104.8956565
Borey IC,11.4979603,104.8614341
Borey Prime Land,11.5244348,104.9937802
Borey,11.5524863,104.8849366
Borey ML Tiara 50m,11.4617862,104.947069
Kampu Borey The Riverfront,11.6412874,104.8798694
Borey H បុរី អេច,11.5114917,104.8567962
បុរីឡុងនី គម្រោងទី៤ (ចម្ការដូង២),11.4991067,104.8767295
Borey Courtyard,11.4637525,104.9040347
TATA Borey,11.5191154,104.8771335
បុរី អេចអិន ឌឹហ្គាឌិន វីឡា,11.4399236,104.8868304
បូរី ឡាក់គី វ័ន,11.4714708,104.9069344
Borey Or Bek Kaom,11.5457063,104.8824723
Borey Nyly (Head Office),11.546248,104.8845358
Borey LT,11.5482418,104.7895022
Borey BELTI,11.5263326,104.9016393
Borey Mongkol Phnom Penh,11.5333399,104.9930951
សុីណា សៀវភៅស្ដើង,11.4985606,104.866147
Borey Heng Na,11.493976,104.862644
Borey New world,11.6257726,104.9065657
បុរី ភូមិសាគូរ៉ា,11.44127,104.9133778
បុរី ឡាក់គីវ័ន្ត ផ្លូវ50ម៉ែត្រ​ (Borey Lucky One 50m),11.472684,104.894848
Borey Romchek Tuol Pongro Plan 6,11.5093862,104.8543132
បុរី ហុង ឡាយ កៀនស្វាយ,11.5161201,105.020432
