id,information,type,province,price,land_area,price_per_m2,lat,long
rl-121013794,"[Land for Sale-English Below]
Land for sale!
- Sale Price: $ 500,000 (Negotiable)
- Land size: 12.5m x 56m
- In Prek Leap, Chroy Changva district
- Land location near Borey Peng Huoth Borey, Mekong Borey Royal Borey Royal.
Contact: 085 222 928/085 222 759 993.
------------------------------------
Land for Sale AT Chrouy Chouy Changva District
- PRICE: $ 500,000
- Land Size: 12.5m x 56m
Near Borey Penghuoth, Borey Phnom Penh Park, Borey The Mekong Royal and Borey Oc
CONTACT OUR AGENT: 085 222 928/085 222 759/069 993 667 (MS Leaphea)",LAND,Phnom Penh,500000.0,700.0,714.2857142857143,11.660139,104.909685
rl-121367458,"House for sale
- Price: $ 290,000 (p-3317)
- Size: 4m x 17m
-E0e1
- bedrooms: 4
- Hard layout
- Location: BKK 3
- Contact No: 085 222 735 (MR Jeudi)
----------------------------
House for Sale
-Price: $ 290,000 (Nego)
-Size: 4mx17m
-E0e1 
-Title: Hard Title
-Location: BKK3 
-Contact: 085 222 735 | 085 222 768 (Jeudi)",LAND,Phnom Penh,290000.0,68.0,4264.705882352941,11.545763,104.930554
rl-121434153,"House for sale in Borey Great Sopheak
- Price: $ 98,000 (Negotiable)
- Home Size: 4.2m 14m
- Total Land size: 168 SQM
- Bedrooms: 2
- Bathrooms: 3
- Blecting hard
- Good location where the region is developing rich in the city of bore, which is under construction around
For more information: 085 222 928/085 222 969 993 667 (Mr.Narong)",LAND,Phnom Penh,98000.0,168.0,583.3333333333334,11.57351,104.877057
rl-121424857,"Land for sale at the Park Meng (3349)
- Price: $ 85,000 (negotum)
- Land size: 24m x 25m
- Layout: Soft
- direction: The foot
- Location: Kaing Meng Garden
----------------------------
Land for Sale
- Practe: $ 85000 (CAN Negotiate)
- Land Size: 24m x 25m
- Title: SOFT
- Direction: North
- Location: Borey Kang Meng
...................
For more information:
085 222 731/085 222 758/069 993 668",LAND,Phnom Penh,85000.0,600.0,141.66666666666666,11.450613,104.898006
rl-121424852,"Land for sale lower market (L-3354)
Price: $ 2,900 / M2 (Negotiable)
In the Chenda area in Chroy Changva district. Accompanied by the river calm for those who want to build a variety of housing or events.
+ Size: 30m x 70m
+ Layout: Hard
+ For more information:
085 222 759/069 993 667 (MR.PANHA)
Land for Sale Near Koe Chinda Area Area Ara in Chouy Chouy Changva District. ALONG THE RIVER, Environment Priverment Good For Building and House
+ Landsize: 30m x 70m
+ Tittle: HARD
+ For More Detail Please Call to MR Panha
085 222 759/069 993",LAND,Phnom Penh,2900.0,2100.0,1.380952380952381,11.589422,104.927091
rl-121424853,"Land for sale lower market (L-3353)
Price: $ 1,650 / m2 (Negotiable)
In the Chenda area in Chroy Changva district. Accompanied by the river calm for those who want to build a variety of housing or events.
+ Size: 75m x 25m
+ Layout: Hard
+ For more information:
085 222 759/069 993 667 (MR.PANHA)
Land for Sale Near Koe Chinda Area Area Ara in Chouy Chouy Changva District. ALONG THE RIVER, Environment Priverment Good For Building and House
+ Landsize: 75m x 25m
+ Tittle: HARD
+ For More Detail Please Call to MR Panha
085 222 759/069 993",LAND,Phnom Penh,1650.0,1875.0,0.88,11.589422,104.927091
rl-121424855,"[Land for Sale 20m x 30m] (English BELOW)
Land for sale lower market (L-3351)
Price: $ 1,500 / M2 (Negotiable)
In the Chenda area in Chroy Changva district. Accompanied by the river calm for those who want to build a variety of housing or events.
+ Size: 20m x 30m
+ Layout: Hard
+ For more information:
085 222 759/069 993 667 (MR.PANHA)
Land for Sale Near Koe Chinda Area Area Ara in Chouy Chouy Changva District. ALONG THE RIVER, Environment Priverment Good For Building and House
+ Landsize: 20m x 30m
+ Tittle: HARD
+ For More Detail Please Call to MR Panha
085 222 759/069 993",LAND,Phnom Penh,1500.0,600.0,2.5,11.589422,104.927091
rl-121424864,"- Price: $ 480 (Negotiable)
- Land size: 26 m x 150m
- 3 bedrooms 3 bathrooms
- Layout: Hard layout
- Location: Road 114, Sangkat Prek Lim Sampov, Chan Chomar Chhao, Phnom Penh
- Description: Good location for construction of school, school, hospital, hospital and flat.
☎ Please contact: 085 222 736/069 993 668
- (MR Sovanney)",LAND,Phnom Penh,480.0,3900.0,0.12307692307692308,11.515186,104.974617
rl-121389208,"Uzy and Land Emergency Urgent Sale 急售 near the 12 Price Market (PRICE: $ 1,900 / M²) Faji. The land has large and wide parking land. You can also develop condominiums, super schools, schools, or commercials. 
LOCATION: Near Samnong12 Market, Phnom Penh.
 Land Land Size: 72m x 34m, 2436m² area
 Contact:
012 61 31113
015 779 789
078 919 789",RESIDENTIAL,Phnom Penh,4620000.0,2436.0,1896.551724137931,11.557914,104.892261
rl-132596510,"4BED-ROOM PENTHouse 大型复式 4 房
Sales Price 出售: $ 2,100,000 ===> After DISCOUNT 折扣后 ===> $ 1,549,800
For rent 出租: $ 14,000
✌️ Floor 31th 楼
    + unit Type: Two Floors 复式 2 层
    + size: 472.00 SQM 平米
    + bathroom: 4 卫生间
    + BedRoom: 4 房间
    + Big Lving Area 大客厅
    + Big BBQ Terrace Bbq 阳台
    + Sauna Room 桑拿房
    + jacuzzi 按摩浴缸
    + Big Morden Kitchen Space 大厨房
    + Big Dining Area 大饭厅
👉 Unit Direction: East & South 朝向东南
👉 View: Riverside, Diamond Island, City View, etc. 河景, 钻石岛, 市景, 等
  📲📲t.me / Panhareth_duy
👇👇join Telegram Channel: 
T.ME/propty_brokerage",RESIDENTIAL,Phnom Penh,1549800.0,472.0,3283.4745762711864,11.548349,104.933046
