name,lat,lon
មន្ទីរពេទ្យព្រះ​អង្គឌួង,11.571661,104.9234386
មន្ទីរពេទ្យជប៉ុនសាន់រ៉ាយភ្នំពេញ,11.5811813,104.9310541
មន្ទីរពេទ្យរ៉ូយ៉ាល់ភ្នំពេញ,11.562302,104.8807683
មន្ទីរពេទ្យ គន្ធបុប្ផាទី៤,11.5775334,104.9213054
មន្ទីរពេទ្យ សង់ត្រាល់,11.5669169,104.9225047
រ៉ាហ្វល មេឌីខល,11.5596675,104.9249407
មន្ទីរពេទ្យព្រះកេតុមាលា (ពេទ្យយោធា ១៧៩),11.5800721,104.9226938
មន្ទីរពេទ្យ សូរិយា,11.565681,104.9228435
Bumrungrad Cambodia មន្ទីរពេទ្យបំរុងរ៉ាត់,11.5737726,104.9210779
មន្ទីរពេទ្យមិត្តភាពខ្មែរ សូវៀត,11.5448875,104.9033281
មន្ទីរពហុព្យាបាល​អន្តរជាតិ​ខេមា,11.5534411,104.9258981
មន្ទីរ​ពេទ្យបង្អែករាជធានី​ភ្នំពេញ,11.5673484,104.9124814
មន្ទីរ​ពេទ្យ​កាល់ម៉ែត,11.5812069,104.9165482
មន្ទីរពេទ្យមិត្តភាពកម្ពុជា-ចិន ព្រះកុសមៈ,11.5641788,104.8894827
Singapore Medical Center (Cambodia),11.5520633,104.9353021
មន្ទីរពេទ្យ​សាកលវិទ្យាល័យអន្តរជាតិ​សែនសុខ,11.5730379,104.8775279
Medicare Clinic,11.5695096,104.9195395
First Center Polyclinic,11.5466065,104.9223169
SingMed Medical Center,11.5739554,104.9180923
មន្ទីរពេទ្យ គន្ធបុប្ផាទី១,11.5774525,104.9213766
មន្ទីរសម្រាកព្យាបាល មិត្តភាព មណ្ឌលនៃក្តីសង្ឃឹម,11.5681261,104.9122892
គ្លីនិកអប្សរាភ្នំពេញ,11.5591387,104.918938
សម្ភព សោភា,11.5575988,104.9166296
Sun Medical International Clinic,11.5529969,104.9273042
Dynamic Clinic,11.5685465,104.9234294
មន្ទីរពេទ្យ​កុមារ​ជាតិ,11.568498,104.8974451
Intercare Hospital,11.5612309,104.9141004
គ្លីនិក ពេជ្រ ស័ក្តិសិទ្ធិ,11.567645,104.9231771
Mekong Phnom Penh Clinic,11.5512446,104.92392
មណ្ឌលពិនិត្យព្យាបាល អូឡាំព្យា,11.561241,104.9140958
Sanine Clinic and Maternity,11.5661347,104.9114041
បន្ទប់ពិគ្រោះជម្ងឺកុមារ លោកគ្រូ អាត | Lokrou Ath OPD Clinic,11.5692208,104.9225112
មន្ទីរ​ពហុព្យាបាល ឡុងហ័រ ចុងអុីយាន,11.5622622,104.9070967
មន្ទីរពេទ្យវីអាយភីសោភាសម្ភព,11.5575,104.9163889
Advance European Medicare Center AEMC French Doctors,11.5594341,104.9265887
មន្ទីរពេទ្យប៉ាស៊ីហ្វិកភ្នំពេញ,11.5665169,104.8903316
មន្ទីរពេទ្យអន្តរជាតិ អរៀនដា,11.5370347,104.8678071
មន្ទីរពេទ្យ​ ជោរៃ​ ភ្នំពេញ,11.5347414,104.9604243
UP Dental Hospital,11.562699,104.9212179
មន្ទីរពហុព្យាចាល & សម្ភព វនីដា,11.5639885,104.9013351
JAPAN AND KHMER HOSPITAL,11.5792506,104.9206255
មន្ទីរ​ពហុ​ព្យាបាល​ និងសម្ភពសំពៅ​មាស Sampeo Meas Polyclinic and Maternity,11.5487538,104.916104
មន្ទីរពេទ្យកុមារម៉ាក់ស៊ីឃែរ,11.5472122,104.9210034
Pachem Dental Clinic (Kampuchea Krom Branch),11.5676169,104.903689
មន្ទីរពហុព្យាបាល ឡាសង់តេ,11.5569224,104.9251701
Mercy Clinic,11.5557068,104.9079302
ពេទ្យសើរស្បែក ផ្សារដេប៉ូ,11.5630662,104.9082082
គ្លីនិក និងសម្ភព វិសាល ព្រីមៀម VISAL Premium Clinic and Maternity,11.5657606,104.9238875
Ham Long Medical Centre,11.5675526,104.9174404
មន្ទីរ​ពេទ្យ​មិត្តភាព​ខ្មែរ​សូវៀត​,11.543943,104.9027925
Nhem Sokhan Clinic,11.5626116,104.9074947
Phnom Penh Medical Services Company Limited,11.562399,104.8806862
គ្លីនិក ត្រូពិចខល និង​ត្រាវែល មេឌីខល,11.5728684,104.9219868
Intercare Emergency,11.5604032,104.9142147
Hospital Praram 9 Cambodia Office,11.5544468,104.9288589
Nguyen Du aesthetics plastic surgery center,11.5664675,104.9188536
Eye hospital,11.5674101,104.9248775
ពេទ្យធ្មេញជំនាញ,11.5679523,104.9159065
គ្លីនិក វេជ្ជបុត្រ,11.5582886,104.9149667
Sokhem Clinic,11.5621794,104.9242322
Choyang Medical St.63,11.5629564,104.9221255
គ្លីនិក ម៉េង អាយ,11.5604172,104.9169616
Olympia IM Clinic(올림피아 IM 클리닉)奥林匹亚国际中医馆,11.5615793,104.9125417
មន្ទីរសម្រាកព្យាបាល,11.5460837,104.9223452
ALPHA CLINIC,11.5722121,104.9247424
Ken Clinic,11.5478555,104.9263479
Regenerative Clinic 21+,11.5746793,104.9059916
មន្ទីរ​ពហុព្យាបាល ​សម្ភព​សោភា អូឡាំព្យា - Sorphear​ Maternity Polyclinic (Olympia),11.5607057,104.9111772
មន្ទីរពេទ្យ​គន្ធបុប្ផា​២,11.5612667,104.9307578
Sakal Polyclinic Street 2004,11.5517735,104.8768875
Doctor LEANG BUNSE,11.566251,104.9164982
中央醫院,11.5661817,104.9147207
Doctors Care,11.5663622,104.9165595
Yu Chaktomuk Clinic,11.559272,104.924522
Asia Clinic and Maternity,11.5698059,104.9027514
មន្ទីរពេទ្យចុងសីង,11.5557451,104.9239884
Hospital Doctor LIv Qing,11.5674993,104.9116615
មន្ទីពហុព្យាបាល ហុង អិន,11.5486674,104.8992821
មន្ទីពហុព្យាបាលត្បូងពេជ្រ និងសម្ភព,11.5559154,104.9329527
មន្ទីរព្យាបាលជំងឺកុមារ មុនីឃីត បឹងកេងកង,11.547659,104.9256925
"International Specialist Eye Center, Phnom Penh, Cambodia",11.550675,104.9064352
TK Medical and Skin Care,11.5616754,104.9225184
奥林匹亚生殖医学中心,11.5612584,104.9140933
មន្ទីរសម្ភព ណូប៊ែល,11.548314,104.9048022
Chum Neanh Dental Clinic,11.5675073,104.9163531
សម្ភព វិសាខា,11.5640245,104.9146965
ពេទ្យធ្មេញពេជ្រមរកត (PICH MOROKOT Dental Clinic),11.56124,104.9179216
វេជ្ជបណ្ឌិត អ៊ាវ សុខា,11.5594151,104.9161455
Pasteur Dental Clinic in Phnom Penh,11.5680722,104.9079926
Duong Bunn Trauma-Orthopedic Clinic,11.5566236,104.9245722
MOON Radiograph,11.5668606,104.9102865
HOANG KY PHNOM PENH CLINIC,11.5577042,104.9193682
ការិយាល័យទំនាក់ទំនង មន្ទីរពេទ្យ បំរុងរ៉ាត់ អន្តរជាតិ,11.5689227,104.9183075
Ophthalmology Building (Khmer Soviet Hospital),11.544666,104.9042649
គ្លីនិកដោះស្រាយនិងសម្ភព,11.5651605,104.9074506
Sorphear Maternity Hospital GOLD,11.5575349,104.916192
中心门诊（诊所-医院）,11.5448525,104.9330379
Metro Medical Centre,11.5595086,104.9275321
Royal Care Dental Clinic,11.5681858,104.9053342
Polyclinic and Maternity TBAUNG PICH,11.5559976,104.9329604
柬中,11.5661553,104.912079
Sok Leap Metrey Polyclinic & Maternity,11.5483069,104.9223098
វេជ្ជ. ស្រីសូផា (Srey Sopha Clinic),11.5612237,104.9178568
Biomedic hospital,11.5781871,104.8959213
ពេទ្យវត្តភ្នំ ២៤ ម៉ោង,11.5776041,104.9222683
Nanyang Olympia Regenerative Health and IVF Medical Center,11.561302,104.9140954
