name,lat,lon
ប៊ីកស៊ីមីនី NBC,11.5701123,104.9256302
Mart 7 24/H,11.5724134,104.9283847
The 101 Mart,11.5751892,104.9269216
ផ្សារណូរ៉ាម៉ាត,11.5752471,104.926151
Smile Mini Mart,11.570706,104.927996
ឌី ម៉ាត,11.57077,104.9296655
Ti Tuy Mart,11.5712956,104.9287006
Asian Mini Mart,11.571701,104.9264331
Simple Mart,11.5729061,104.9222244
ALFI MART,11.5715628,104.926633
RH Mart,11.5764939,104.9260771
គីម លៀង,11.5775668,104.9223924
24Friends Mini Mart | 24ហ្វ្រែន មីនីម៉ាត,11.5688748,104.9273943
RH MART 荣华家庭超市,11.5766355,104.9258945
S.K. Mini Mart,11.5679729,104.926839
Home Mart Store,11.5675282,104.923461
H Mart 81,11.5668434,104.9199103
Mustache Mart,11.5652941,104.9268285
Toukri Mart Golden Sorya Mall,11.5655539,104.923488
U-PAY Kiosk (Kiwi Mart 24),11.56646,104.92945
G-MART ទីផ្សារកូរ៉េ,11.553333,104.9250349
Star Mart,11.5561406,104.9209493
ដូនពេញម៉ាត,11.562203,104.922487
Phnom Penh Mart,11.5571172,104.9085144
Star Mart,11.5526605,104.9036987
រ៉ូយ៉ាល់ ម៉ាត,11.5384951,104.9167094
ដេលី ម៉ាត (Daily Mart),11.558425,104.9332402
Nature Mart,11.5579191,104.9226268
PPIU MART,11.5638258,104.9113088
ម៉ាតផ្លែប៉ោម Apple Mart Phone Shop,11.5695989,104.9242548
ប៊ីកស៊ី មីនី (បឹងព្រលឹត),11.558029,104.917762
Jay Jay Mini Mart,11.5612397,104.9232656
Kim Mart,11.5516511,104.9248194
R3 Mart,11.5728112,104.9078832
emart24 BKK,11.5514242,104.9251284
Maimai mart,11.5680407,104.9038981
Mart Online 168,11.5568838,104.9173141
2gether mart & coffee,11.5579542,104.9238827
រចនាហាងលក់សំភារៈសិក្សា នឹង ហាងកាហ្វេ,11.5653663,104.9285561
Small mart,11.5596637,104.918232
OP Mart (Oudompheap),11.5614875,104.9260781
តេលា ម៉ាត,11.5701422,104.900459
អូឡាំពិក ស៊ុបភើម៉ាត,11.5527252,104.9059533
Phsar Thmey Pharmacy & Baby Mart,11.5672745,104.9234527
8 Day Mart,11.5605693,104.9348786
Sunflower Mart (ឈូករ័ត្ន ម៉ាត),11.5510345,104.9148215
ហ្រង ម៉ាត,11.5668562,104.9269751
ផ្សារ អេ ធូ ហ្សេត,11.5502888,104.9255808
G Mart,11.5526335,104.9159411
Ki Wi Mart 24/7,11.5655531,104.8959861
ស្តារម៉ាត,11.5649222,104.8883667
T-Brother Mart,11.5513636,104.9073321
ស្តារម៉ាត,11.5603777,104.9009558
U-PAY Kiosk (Tela Mart Toul Kork Plaza),11.5804332,104.9004376
AMPM Mart,11.5668046,104.92664
Pheaktra Mart ភក្ត្រាម៉ាតលក់ទំនិញ,11.5859657,104.9128591
ធី តេឡាម៉ាត,11.5447327,104.9121208
BD MART বিডি মার্ট,11.5855749,104.9139937
P-mart,11.5590729,104.8990306
Deli Mart,11.5591716,104.934455
រតនៈ ម៉ាត,11.5585731,104.8988503
Star Mart,11.5495796,104.9287144
Green White Mart,11.5603301,104.8917497
Win Win Mart,11.5535642,104.9379187
Smart Mart,11.5511144,104.9160564
ហាកា មីនីម៉ាត & កាហ្វេ,11.5655186,104.9247229
ភី អេស ម៉ាត,11.5506639,104.9156744
B MART 24H Gold Area (BKK3),11.5500353,104.921278
S.S.U Mart,11.5796599,104.9149094
ស៊ី ម៉ាត,11.5799434,104.8873743
Chun Chun Mart,11.551814,104.9115438
វណ្នីន ម៉ាត,11.5841806,104.9296534
Bonjour Mart,11.5897107,104.9282889
Daleak Mini Mart,11.5651907,104.9063697
Tou Tou Mart,11.5546081,104.9167091
Winsou Mart CCV,11.5832448,104.92727
Sister Mart,11.5660439,104.8923969
លីលី គង់,11.5641768,104.9045229
Winsou Mart ITC,11.5711617,104.8991083
Tela Mart,11.5804419,104.9004774
អេ អិល ម៉ាត,11.5543096,104.9142031
Kim Mart -SenSok,11.5858199,104.8818873
LH Mart,11.5542983,104.8966477
One Mart,11.5922849,104.8961852
៧ ម៉ាត 2500,11.5494324,104.894426
Vattanac Mart,11.5993873,104.9127988
Lucky Mart 168,11.5521147,104.9080189
Mart Supply (269),11.554923,104.8877364
ផ្សារសុភមង្គល,11.549421,104.8994611
7 ម៉ាត 2500,11.5958675,104.9183137
Town Mart,11.551474,104.9434581
SKB Home P.Y MART,11.5851129,104.913088
ដំរីស ម៉ាត-Domreysor Mart,11.5808242,104.9165168
MOMO MINI MART,11.5474756,104.930864
Posh Mart,11.5934669,104.91178
តូតាល់​ម៉ាត,11.5571989,104.9089968
EP mart អុី ភី ម៉ាត,11.555804,104.901769
YAYA Mini Mart Cambodia,11.5508464,104.9122113
7 Mart,11.539668,104.9139324
Plovlom Mart ផ្លូវលំម៉ាត,11.5454067,104.8887274
ផ្សារកសិផលសុខៈ-Sokhak Mart,11.5750726,104.897704
Baby Go! Mini Mart,11.5460679,104.9137594
ផ្សារសុភមង្គល,11.5854679,104.8981599
អឹម ម៉ាត,11.5752556,104.8653237
Sophea Mart,11.5457117,104.9160479
Korea Mart,11.591862,104.8966931
៧ ម៉ាត,11.5308157,104.9427356
Tela Mart Chamkar Morn,11.5322439,104.9296274
ម៉េក្ស​ ម៉ាត​&កាហ្វេ,11.5658951,104.8966553
Dairy Mart,11.5395836,104.9170642
Jelly Wang Mart ផ្សារមាន់អាំង,11.5754401,104.8921515
