name,lat,lon
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី វត្ត​ភ្នំ,11.5813711,104.9197132
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី ប៉ាស្ទ័រ,11.558891,104.9254575
ស្ថានីយប្រេងឥន្ធនៈភីធីធី សាខាផ្សារថ្មី,11.5685483,104.9201977
ស្ថានីប្រេងឥន្ទនៈ ភីធីធី,11.5528944,104.8850262
ស្ថានីយ​ប្រេង​ឥន្ធនៈ ភីធីធី នាគ​វ័ន្ត,11.5705218,104.9050847
ស្ថានីយ៍ប្រេងឥន្ធនៈ ភីធីធី​ (ផ្សារអូឡាំពិច),11.5549349,104.9102759
ក្រុមហ៊ុន​ភីធីធី (កម្ពុជា​) ចំកាត់,11.5679312,104.9108218
ស្ថានីយ៍ប្រេង​ឥន្ធនៈ ភីធីធីបូកគោ,11.5444571,104.9220913
ភីធីធី ទួលសង្កែ,11.5877945,104.9071108
ស្ថានីយប្រេងឥន្ធនៈ​ភីធីធី,11.5306481,104.9303633
Ptt,11.5429183,104.8935406
ភីធីធី ភ្នំពេញ​ថ្មី,11.5744282,104.8857259
ស្ថានីយ៍ប្រេងឥន្ធនៈ ភីធីធី សាខាទេពផន,11.5622563,104.8956582
ស្ថានីយ​ភីធីធី បុរីកីឡា,11.56601,104.911306
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី សាខាបឹង​ត្របែក,11.536634,104.9207141
ស្ថានីយ៍ឥន្ធនៈ ភីធីធី ផ្លូវ៤៣០,11.5398374,104.9104745
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី​ | ស្ទឹងមានជ័យ,11.5428781,104.8936163
PTT ទួលស្វាយព្រៃ២,11.5520879,104.9056208
ស្ថានីយ​ប្រេង​ឥន្ធនៈភី​ធី​ធី (​៦​អា),11.6098243,104.9282061
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី (​ជ្រោយ​ចង្វា​),11.6039134,104.9303255
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី,11.5589634,104.8500933
ភីធីធី,11.5765268,104.891201
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី,11.5319622,104.8862399
ភីធីធី អង់តែន​ទួលគោក,11.5851437,104.9007054
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភី​ធី​ធី បឹង​ឈូក​,11.5667435,104.8531595
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី,11.5979003,104.8696578
ស្ថានីយប្រេង​ឥន្ធនៈភីធីធី ម៉ុងឫទ្ធី,11.5904884,104.8813549
ស្ថានីយ​ភីធីធី Northbridge,11.5539706,104.8710409
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី ចោមចៅ,11.5345302,104.8281553
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​​ភីធីធី ៣៧១,11.5232093,104.8985646
ស្ថានីយ​ភីធីធី ផ្សារ​ហេងលី,11.5608321,104.8895181
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី,11.603095,104.9268077
ស្ថានីយ​ភីធីធី ផ្លូវ​១៦៣,11.5350261,104.9142871
PTT Gas Station and Amazon Cafe,11.5521983,104.9055904
ភីធីធី អ៊ីអន សែន​សុខ,11.6057799,104.8865888
ស្ថានីយ៍ប្រេងឥន្ធនៈ ភីធីធី ធីខេ,11.5876803,104.8990149
ភីធីធី ខេមខូ,11.5983025,104.9006044
Café Amazon Ptt Station Toul Kork,11.5851469,104.9006571
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធី​ធី ច្បារ​អំពៅ​,11.5327494,104.9538752
ភីធីធី AsianHope,11.5934347,104.8512385
ស្ថានីយ៍ ភីធីធី គោកឃ្លាង,11.575049,104.8638006
ស្ថានីយ​ប្រេង​ឥន្ធនៈភីធីធី,11.496593,104.8929539
PTT Gas Station 271,11.5321125,104.9132656
ស្ថានីយ​ភីធីធី ពោធិចិនតុង,11.5726897,104.8414648
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី ទួលពង្រ,11.5017586,104.841126
Amazon Café PTT TK Gas Station,11.5876689,104.8991033
ស្ថានីយ​ប្រេង​ឥន្ធនៈភីធីធី កប់​ស្រូវ,11.5428544,104.8116815
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី ព្រៃព្រីង,11.5228668,104.8222336
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី ព្រៃកី,11.487583,104.816505
ស្ថានីយ​ភីធីធី តាំង​ក្រសាំង,11.5631949,104.8418706
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី ភូមិម័ល,11.5201532,104.8826484
កាហ្វេអាម៉ាហ្សូន និង ស្ថានីយ៍ឥន្ធនៈ ភីធីធី ២៧១,11.5319879,104.9131179
ភីធីធី ក្រាំងធ្នុង,11.5826317,104.8462589
ស្ថានីយឥន្ធនៈ ភីធីធី,11.5581848,104.8568687
PTT,11.5818288,104.8480106
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី ព្រៃស,11.4986365,104.872503
ស្ថានីយ៍ប្រេងឥន្ទន: ភីធីធី,11.549044,104.8402632
ស្ថានីយ​ភីធីធី កាកាប,11.5667997,104.824302
PTT Mart,11.552878,104.8847172
សេវេន-អ៊ីឡេវេន | ភីធីធី ព្រលាន,11.5587699,104.8498869
ស្ថានីយ៍ប្រេងឥន្ធនៈ​ ភីធីធី | បឹង​តាម៉ាត,11.51629,104.8989719
Café Amazon PTT Steung Meanchey,11.5428035,104.8936371
ស្ថានីយប្រេងឥន្ធនៈ ភីធីធី ផ្សារចំការដូង,11.5073062,104.8879235
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី,11.5483292,104.9113587
ភីធីធី វេងស្រេង សេនធ័រ,11.5348259,104.8834373
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី អរិយក្សត្រ,11.5770909,104.9555185
សេវេន-អ៊ីឡេវេន | ភីធីធី​បូកគោ,11.5443333,104.9219069
សេវេន-អ៊ីឡេវេន | នាគវ័ន្ត (ភីធីធី),11.570494,104.9054107
សេវេន-អ៊ីឡេវេន | ភីធីធីស្ទឹងមានជ័យ,11.5431006,104.8937116
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​ភីធីធី វេងស្រេង,11.5316387,104.861288
MOHANOKOR ATM PTT Sansom Kosal,11.5319843,104.9131371
PTT Charging Station,11.5739881,104.885848
