name,lat,lon
ខេម៉ា ឡា ប៉ុស្តិ៍,11.575821,104.9258096
ភោជនីយដ្ឋានទីតានិច,11.5748914,104.9274269
Sombok Restaurant,11.5690234,104.9302779
រីវើ ប៊ីស្ត្រូ,11.5731118,104.9285689
Wild Phnom Penh,11.551248,104.9297591
ឡា ក្រ័រសែត,11.5705432,104.929798
MANNAT INDIAN RESTAURANT,11.5711947,104.9270256
Brasserie Louis,11.5735056,104.9193766
ភោជយនីយដ្ឋាន ១២៦,11.5709932,104.9279061
MIAN JEE Restaurant and Hotel (حلال) 🇵🇰,11.572827,104.9288069
Nazrul Restaurant,11.5715775,104.9264397
ភោជនីយដ្ឋានរដូវថ្មី,11.572768,104.9288117
Khmer River House Restaurant,11.5695253,104.9301255
កណ្តាលផ្ទះកាហ្វេ,11.5707088,104.9297426
Rajdhani Restaurant,11.5721915,104.925849
3333 Restaurant II,11.5713629,104.922579
Kabbas restaurant,11.566857,104.927648
Khmer River Restaurant,11.5729786,104.9277815
អាហារដ្ឋាន ម្ចាស់ស្រុក,11.5675205,104.9233942
ស៊ែរ អ៊ី ប៉ានយ៉ាប ភោជនីដ្ឋានឥណ្ឌា,11.5718056,104.9288472
OWL SPORT & RESTAURANT ទីទុយ​ការហ្វេ​,11.5718196,104.928481
Le Manolis,11.5756166,104.9259138
Elia Greek Kitchen Bassac Lane,11.5529719,104.9304144
David's Restaurant Homemade Noodles,11.566826,104.9293041
B.J.M.A Indian Restaurant,11.5699357,104.9295761
Intoxica Restaurant,11.5714771,104.9279444
ភោជនីដ្ឋាន​ស៊ី​ណាន,11.5667294,104.9274664
Gourmet Kitchen,11.54055,104.9155715
IRF Restaurant,11.5707384,104.925742
YELLOW CHILLI INDIAN RESTAURANT,11.5710087,104.9296807
"Mealea Restaurant, Fine Dining, Western & Traditional Asian Cuisine",11.562284,104.9337739
Le Prestige Cafe & Restaurant,11.5667806,104.930982
AROMA Restaurant,11.5664384,104.9294359
Mama Kitchen Restaurant,11.5720267,104.9273616
Indian Royal Halal(حلال) Food Restaurant 🇵🇰🇮🇳 -Riverside Branch,11.572916,104.928666
Kraya Angkor Restaurant,11.5449962,104.9116756
អូស្ត្រូ ប៊ីស្ត្រូ ភោជនីយដ្ឋាន,11.5711152,104.9287407
Mufasa Restaurant & Cigar Club,11.5748658,104.9263041
Gastro 130 Restaurant & Bar 24/7,11.5716855,104.9285852
អាហារដ្ឋាន អូរឬស្សី,11.5736136,104.9268612
ភោជនីយដ្ឋាន អូម៉ាសេ,11.5727714,104.9247323
ខេម៉ា ប៉ាស្ទ័រ,11.5594679,104.9249142
Farm To Table,11.5487124,104.9264724
River Crown Restaurant,11.5670787,104.9313442
Lahore Punjab Restaurant & Hotel (Halal),11.5676004,104.9310125
Dhaka Guesthouse & Restaurant,11.5729176,104.9278862
អ៊ីលៀ ផ្ទះបាយម្ហូបក្រិក ផ្សារទួលទំពូង,11.5400277,104.9173549
Barishal Restaurant,11.5729918,104.9276098
Sipra Hotel & Arpa Restaurant,11.5717739,104.9276066
អាហារដ្ឋាន 72,11.5395645,104.9175426
Phnom Penh Three Rivers Restaurant,11.5668968,104.9292659
Green Wall Restaurant,11.5776968,104.915135
Halal Dulang Cafe & Restaurant,11.568282,104.9274789
Punjabi Kitchen (Street 172) Indian restaurant,11.5667806,104.9274014
អ៊ីឡេវិន វ័ន,11.5501473,104.9263876
New Delhi Indian Restaurant,11.5707673,104.9296723
ភោជនីយដ្ឋាន ឥន្ទ្រទេវី,11.5788766,104.8900529
Banana Tree Restaurant,11.5555472,104.930892
Addis Ethiopian Restaurant,11.5671492,104.9286855
Kengkong Restaurant,11.5516067,104.919189
អាហារដ្ឋាន ល្ពៅមាស,11.5394032,104.9167051
Samaky Restaurant and Lounge,11.5554754,104.9261012
Pissa Restaurant,11.5734304,104.925942
Old Durbar Restaurant-Sky Bar & Hotel,11.5589814,104.9224756
