name,lat,lon
ស្ដារប័កស៍ | ប្រៃសណីយ៍,11.575413,104.9256743
Starbucks,11.5657782,104.9253393
ស្ដារប័កស៍ | Exchange Square,11.5736798,104.920977
ស្ដារប័កស៍ | មាត់ទន្លេ ៣១៣,11.5680472,104.9306184
Starbucks Reserve BKK Flagship Store,11.5539666,104.9250084
ស្តារបាក់ កាហ្វេ,11.5771026,104.9104636
ស្ដារប័កស៍ | អាគារ​ភ្នំពេញ,11.558289,104.920002
ស្ដារប័កស៍ | មុនីវង្ស,11.5739483,104.9181059
ស្តារបាក់ កាហ្វេ សូរិយា,11.5680077,104.9211229
ស្តារបាក់ កាហ្វេ ជ្រោយចង្វា,11.5886882,104.9275201
ស្ដារប័កស៍ | ធីឃេ អេវេនូ,11.58359,104.899251
ស្ដារប័កស៍ | បូកគោ,11.5442982,104.9229838
ស្ដារប័កស៍,11.5484679,104.932067
ស្ដារប័កស៍ | នរម៉ល,11.5484207,104.9282173
ស្ដារប័កស៍ | ធីឃេ រ៉ូយ៉ាល់ វ័ន,11.5674597,104.8928663
ស្ដារប័កស៍ | ផ្សារ​អូឡាំព្យ៉ា,11.5615465,104.9130144
ស្ដារប័កស៍ | អាគារ​ឌឺប្រ៊ីដ,11.5520788,104.9354317
ស្ដារប័កស៍ | សាគូរ៉ា អេវេញូ,11.5991171,104.9264141
ស្ដារប័កស៍ | ទួលទំពូង,11.5371431,104.9155752
ស្ដារប័កស៍ | ផ្សារ​ឡាក់គី,11.5558149,104.922059
ស្ដារប័កស៍ | កាល់ម៉ែត,11.580894,104.9165374
ស្ដារប័កស៍ | ព្រីនស៍,11.5445358,104.9357214
ស្ដារប័កស៍ | ឌឺ ភ័ញ,11.5449116,104.911455
ស្ដារប័កស៍ | អាគារ​វីតាល់,11.6033125,104.8996875
ស្ដារប័កស៍ | កោះ​ពេជ្រ,11.5514954,104.94038
ហាង​កាហ្វេ​ Starbucks បឹង​ស្នោ​,11.535232,104.9569092
ស្ដារប័កស៍ | តូតាល់ អង្គរ​ភ្នំពេញ,11.6071462,104.8873891
ស្ដារប័កស៍ | ម៉ែដា ២០០៤,11.5523885,104.8759003
ស្ដារប័កស៍ | ជីបម៉ុង ២៧១,11.5235629,104.9234217
ស្ដារប័កស៍ | អ៊ីអន ២,11.5999472,104.8851033
ស្ដារប័កស៍ | ជីបម៉ុង សែនសុខ,11.5901531,104.8751108
ស្ដារប័កស៍ | សែនសុខ,11.5829713,104.8701815
ស្ដារប័កស៍ | ហ្វ័ន​ម៉ល,11.57767,104.8937956
ស្ដារប័កស៍ | ស៊ីជី ម៉ល,11.5581674,104.8489303
ស្ដារប័កស៍ | ព្រលាន,11.5523325,104.8446731
ស្ដារប័កស៍ | តូតាល់ ពោធិចិនតុង,11.5632151,104.8648785
ស្ដារប័កស៍ | តា​ខ្មៅ,11.4810762,104.949649
ស្ដារប័កស៍ | អ៊ីអន មានជ័យ,11.4848362,104.9198643
ស្ដារប័កស៍ | តូតាល់​ចម្ការ​ដូង,11.5143568,104.8902379
ស្ដារប័កស៍ | ឌី ឃេ ហ្ក្រោនដ៍,11.6272407,104.8865108
Starbucks,11.5449063,104.9114846
ស្ដារប័កស៍ | ស្ទឹងមានជ័យ,11.5349404,104.8851365
ស្ដារប័កស៍ | សួនអឺរ៉ូ,11.5167559,104.9568068
ស្ដារប័កស៍ | អ៊ីអន​មាន​ជ័យ,11.4836124,104.9182617
Coffee Concepts (Cambodia) Limited (STARBUCKS),11.5532177,104.9401767
ACLEDA ATM - Starbucks,11.5886554,104.9274576
