name,lat,lon
Bayon Market,11.570691,104.9164173
Lucky Supermarket Sorya,11.5679552,104.9205587
Lucky Supermarket Preah Sihanouk Blvd,11.5557365,104.9218681
Thai Huot Market (MV),11.5701983,104.9182933
Super Duper,11.5617938,104.9223133
Lucky Express Season Residence,11.5694455,104.9260697
Cambodian Superstore,11.5734349,104.8795795
Super Duper,11.5557092,104.9332801
Smile,11.5713965,104.9277454
EXCHANGE SQUARE,11.5740028,104.9214376
Smile,11.5727617,104.9247281
E-Supermart,11.5696586,104.927146
ហាងចរណៃសាខាផ្សារថ្មី,11.568576,104.9236423
D mart,11.57077,104.9296655
Lucky Supermarket Chroy Changva,11.5888968,104.9276487
Sorya Center Point,11.5676432,104.9208539
Big C Mini Mart (NBC),11.5701123,104.9256302
Neil's 24 Hour Minimart & Cafe,11.5714589,104.9291403
Chip Mong Supermarket Eden Garden,11.5779234,104.9104006
Thai Huot Market (Boeung Keng Kang),11.549392,104.924195
Indian Spices,11.5668743,104.9200813
Super Duper,11.5336938,104.916352
Thai Huot Market ( TK ),11.5732712,104.8967761
AEON MaxValu BoeungKak,11.5765474,104.9112503
NC Market,11.5673577,104.9019345
Chip Mong Supermarket Samnang 12 Market,11.5567789,104.8930249
Angkor Market,11.5389453,104.9152762
NHAM24 Fresh,11.552146,104.9268657
Phnom Penh Superstore,11.5438205,104.8727999
Home Mart Store,11.5675282,104.923461
Smile,11.5622981,104.9183614
Dinesh indian shop,11.5668066,104.9200398
Minigood Cambodia,11.5559554,104.9308731
Makro Cambodia,11.5932302,104.8806616
Big C Mini Depo Market,11.5618053,104.9076908
Big C Mini (Boeung Prolit),11.558029,104.917762
Lucky Supermarket Rose Garden,11.5445826,104.9321074
Lucky Express 128 Mittapheap,11.5679746,104.9077966
VIETNAM MART ( SIÊU THỊ VIỆT NAM TẠI CAMBODIA ),11.5501852,104.9061236
AEON MaxValu Chroy Changvar 06,11.5901982,104.9285321
Lucky Supermarket FB Plaza,11.5909436,104.9061689
Lucky Supermarket Sen Sok,11.5729945,104.8743062
Smile,11.5672361,104.9289787
LUCKY EXPRESS ONE PARK,11.5771464,104.9065818
VCMart - Siêu thị Việt Nam tại Campuchia,11.5581921,104.9171558
FoodMate Supermarket,11.5802745,104.8955178
ផ្សារទំនើបកសិផលធម្មជាតិ ឡេងណាវាត្រា,11.5624184,104.9134869
7-Eleven Trasak Paem,11.5621466,104.9219602
Super Duper,11.5845201,104.8963797
AEON MaxValu Express Chaktomuk 51,11.5569547,104.9257153
Lucky Express BKK3,11.547064,104.9159484
FairPlus Supercenter Steung Mean Chey,11.5434187,104.8939575
HOME TOP MARKET,11.5440301,104.9157841
Chip Mong Toul KorK supermarket,11.5899031,104.8954473
Smile,11.5668611,104.9307291
Lucky Supermarket Midtown,11.5532663,104.8795762
7-Eleven | Bak Touk,11.5657683,104.9147947
AEON MaxValu Express BKK 57,11.5545775,104.9246502
Daily Mart,11.558425,104.9332402
Orussey Market,11.5626462,104.917031
VeGGy's (Cambodia),11.5604822,104.9291998
1&1 Market,11.5366589,104.9108257
Asia Supermarket,11.5324804,104.9527239
Eden Garden Mall,11.5769366,104.9109293
AEON MaxValu Express BKK 63,11.5519374,104.9238071
Sambo Market,11.5323846,104.952282
Chinese Resources Vanguard Professional Supermarket,11.5519752,104.921387
Lucky Supermarket Prey Sar,11.5061724,104.8860902
7Ninigata(Cambodia),11.5868771,104.9189849
Lucky Supermarket,11.5710626,104.8542554
Delishop.asia,11.5431872,104.9083375
AEON MaxValu Toul Kork 315,11.5744025,104.8904627
VINAMART,11.5577544,104.9204916
Wangke Lay Supermarket,11.5544112,104.932641
stellar supermarket in cambodia,11.5827798,104.8415489
Lucky Supermarket 598 Boeung Kak2,11.5774629,104.8878625
U.Know Collection,11.5676138,104.9207896
Lucky Supermarket New Steung Mean Chey Market,11.5369134,104.8870958
Chip Mong Supermarket-Veng Sreng Blvd,11.5331364,104.8691777
7-Eleven | Riverside,11.5671886,104.9313255
Lucky Express Fun Mall,11.5774681,104.8944766
Thai Huot Market Sen​ Sok,11.5803723,104.8826522
ផ្សារទំនើបព្រីនស៍សាខាទី២​-Prince Supermarket - 2nd Branch,11.5490132,104.940897
Asia Express,11.5330194,104.915655
LK Family Mart,11.5526385,104.9136518
AEON MaxValu Express De Castle Royal,11.5534516,104.9216827
Smile Mini Mart,11.570706,104.927996
The Japan Shop,11.5556559,104.9245479
AEON MaxValu Express BKK 51,11.549022,104.9272778
Gold & Diamond Supermarket,11.5497609,104.9369741
Lucky Express Samnong 12,11.5585365,104.8922221
Big C mini (Sisowath),11.5652572,104.9237442
Cherry Minimart,11.5550489,104.924821
Lucky Supermarket K Mall,11.5309295,104.8671272
Smile,11.5526646,104.9138547
