name,lat,lon
សាកលវិទ្យាល័យកម្ពុជា,11.5583081,104.8710854
សាកលវិទ្យាល័យភូមិន្ទភ្នំពេញ,11.568676,104.8907417
សាកលវិទ្យាល័យ បញ្ញាសាស្ត្រកម្ពុជា,11.5730112,104.8903885
សាកលវិទ្យាល័យ​អន្តរជាតិ,11.5740936,104.8774762
Western University Main Campus,11.5715553,104.8892426
សាកលវិទ្យាល័យអន្តរជាតិផារ៉ាហ្គន,11.5824027,104.8979816
សាកលវិទ្យាល័យ​មេគង្គកម្ពុជា,11.5573983,104.887081
សាកលវិទ្យាល័យ អាស៊ីអឺរ៉ុប,11.5660478,104.8953416
សាកលវិទ្យាល័យ​បញ្ញាសាស្ត្រ​កម្ពុជា,11.5696011,104.9038254
សាកលវិទ្យាល័យ បញ្ញាជាតិ,11.5596117,104.8991454
វិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជា,11.5703975,104.8980857
វិទ្យាស្ថានជាតិបណ្តុះបណ្តាលបច្ចេកទេស (NTTI),11.567139,104.8768907
វិទ្យាស្ថានភាសាបរទេស,11.5688868,104.893155
សាកលវិទ្យល័យ បៀលប្រាយ,11.5720331,104.8840098
សាកលវិទ្យាល័យសេដ្ឋកិច្ចនិងហិរញ្ញវត្ថុ,11.5668786,104.9024237
សាកលវិទ្យាល័យ វិទ្យាសាស្រ្ត,11.5806413,104.8891964
Western university,11.5729788,104.8951548
សាកលវិទ្យាល័យសេដ្ឋកិច្ចនិងហិរញ្ញវត្ថុ,11.5807781,104.8988654
សាកលវិទ្យាល័យភ្នំពេញអន្តរជាតិ,11.5635876,104.9114074
សាកលវិទ្យាល័យចេនឡា Chenlauniversity head office,11.5657696,104.9076423
City university Cambodia,11.5734232,104.8770717
សកលវិទ្យាល័យ​ ចេនឡា ផ្សារដើមគរ,11.5542549,104.9039837
សាកលវិទ្យាល័យ​វិទ្យាសាស្រ្ត​សុខាភិបាល,11.573976,104.917503
BMU University,11.5793502,104.8613651
សកលវិទ្យាល័យ លីមកុកវីង,11.5692183,104.9173108
វិទ្យាស្ថាន​ ស៊ិតិក,11.5680861,104.8947315
Asia Euro University (AEU) Gold Building,11.564774,104.8961174
សាកលវិទ្យាល័យ ជាតិគ្រប់គ្រង,11.5747699,104.918627
វិទ្យាស្ថាន វ៉ាន់ដា,11.5471614,104.9073856
សាកលវិទ្យាល័យឥន្ទ្រវិជ្ជា,11.5576276,104.893402
វិទ្យាស្ថានពហុបច្ចេកទេសព្រះកុសុមៈ (PPI),11.5659165,104.8781983
City university Cambodia,11.5432642,104.9048603
Build Bright University Phnom Penh Thmey A,11.5735753,104.8838692
សាកលវិទ្យាល័យខេមរៈ Khemarak University,11.551323,104.8881789
UTE University of Technology and Entrepreneurship,11.5746308,104.8944703
សាកលវិទ្យាល័យ​ ពុទ្ធិសាស្ត្រ,11.562662,104.9207247
សាកលវិទ្យាល័យប៊ែលធីអន្តរជាតិ ទី១​ (សាខាទួលស្លែង),11.5476849,104.9168647
សាកលវិទ្យាល័យធនធានមនុស្ស,11.5524257,104.9135598
CHAMROEUN UNIVERSITY OF POLY--TECHNOLOGY (CUP) សាកលវិទ្យាល័យ ចំរើនពហុបច្ចេកវិទ្យា,11.5664243,104.8965818
សកលវិទ្យាល័យ ឯកទេសនៃកម្ពុជា,11.5912491,104.8995135
សាកលវិទ្យាល័យ ន័រតុន,11.5884873,104.9301767
"Biology - Lab , Royal University of Phnom Penh",11.568333,104.8906059
Royal University of Phnom Penh (Campus 2),11.5627106,104.8631267
វិទ្យាស្ថានបច្ចេកទេសឧស្សាហកម្ម (ITI),11.5667755,104.8778958
សាកលវិទ្យាល័យឯកទេសនៃកម្ពុជា,11.5424951,104.8933999
IT Academy STEP Cambodia Institute Toul Kork Branch,11.5738739,104.8986437
ការិយាល័យសិក្សា-សាកលវិទ្យាល័យភូមិន្ទភ្នំពេញ,11.5692619,104.8903135
សាកល​វិទ្យាល័យ​ វេស្ទើន,11.5502055,104.9120798
វិទ្យាស្ថាន ខេមអេដ,11.5729697,104.9230339
សាកលវិទ្យាល័យបញ្ញាសាស្ត្រកម្ពុជា - ទួលទំពូង,11.5412256,104.9183671
"IU Kampot (International University, Kampot Branch)",11.5726011,104.8760898
"East Asia Management University, Phnom Penh",11.5844368,104.9107121
វិទ្យាស្ថាន អ៊ីនស្ទីង្ហ៍,11.5694032,104.9026675
BBU Sen Sok,11.5722854,104.8840396
សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,11.5650541,104.9281452
ពុទ្ធិកសាកលវិទ្យាល័យព្រះសីហនុ,11.5563956,104.9015302
Building A,11.5703035,104.8979974
ECAM LaSalle - Phnom Penh,11.5709434,104.8980472
សាកលវិទ្យាល័យ​ភូមិន្ទនីតិសាស្ត្រ និងវិទ្យាសាស្ត្រសេដ្ឋកិច្ច,11.5355859,104.9246927
University,11.5393604,104.8866587
សាកលវិទ្យាល័យអាមេរិកាំងភ្នំពេញ,11.6160001,104.9009457
Master of Science in Mobile Technology,11.5705978,104.8993439
ដេប៉ាតឺម៉ង់ប្រព័ន្ធផ្សព្វផ្សាយ និងសារគមនាគមន៍ (DMC),11.5688812,104.8924841
វិទ្យាស្ថាន សារគមនាគម៏ កម្ពុជា,11.5703198,104.8983732
សាកលវិទ្យាល័យបៀលប្រាយ សែនសុខ,11.5735728,104.8838695
អាគារ STEM,11.5695774,104.8897746
វិទ្យាស្ថាន អាយ-អ៊ី-យូ អន្តរជាតិ,11.56607,104.897668
សាកលវិទ្យាល័យ បញ្ញាសាស្រ្តកម្ពុជា,11.5614475,104.9236517
សាកលវិទ្យាល័យ កម្ពុជា អន្តរជាតិ,11.569555,104.9239693
Phnom Penh University of the Arts,11.5545776,104.9265023
សាកលវិទ្យាល័យ​បញ្ញាសាស្ត្រ​កម្ពុជា,11.5514071,104.9291309
The Graduate School of ITC,11.5706828,104.8979264
មជ្ឈមណ្ឌលសិក្សាពីចម្ងាយ,11.570783,104.8986223
សាកលវិទ្យាល័យភូមិន្ទកសិកម្ម,11.5121023,104.9007098
សាកលវិទ្យាល័យវេស្ទើន - ស្ទឹងមានជ័យ,11.5308866,104.8871501
ទីតាំងដើម,11.5448718,104.8921419
សាលារៀន,11.5667941,104.8779137
ពុទ្ធិក​សកលវិទ្យាល័យ ព្រះសីហមុនី​រាជា,11.5502349,104.9313976
Cambodia University of Management and Technology,11.5938005,104.900007
ដេប៉ាតឺម៉ង់ ធនធានរ៉ែ និង ភូគព្គសាស្ត្រ,11.5709355,104.8980134
Sampling Site,11.5706033,104.8966829
Technical School for Medical Care,11.5435266,104.9067596
City University,11.5673201,104.9118523
Pheareak,11.5715516,104.8962169
សាកលវិទ្យាល័យបៀលប្រាយ រាជធានីភ្នំពេញ,11.5544875,104.9338629
Department of Applied Mathematics and Statistics (AMS),11.5709346,104.899239
SpringBoard4Education in Cambodia,11.5792454,104.8909471
Station,11.5660035,104.8782691
School,11.568084,104.894732
សាកលវិទ្យាល័យការពារជាតិ,11.6087995,104.9153251
មហាវិទ្យាល័យសង្គមសាស្ត្រនិងមនុស្សសាស្ត្រ,11.5629022,104.8630127
ពុទ្ធិក​សកលវិទ្យាល័យ​ព្រះ​សីហនុរាជ,11.5626042,104.9341267
Pkachouk,11.5455442,104.876174
Department of Chemistry,11.5683816,104.8905707
វិទ្យាស្ថាន អាហ្កា,11.5393854,104.8866719
Doctor organ,11.5577741,104.8885747
Aim4Asia and University (AIMU),11.5731789,104.8673181
វិហារចិន,11.5634931,104.8735691
School,11.570261,104.893506
Cambodia University of Technology and Science (CamTech),11.6291579,104.9155386
ITC Department of Transport and Infrastructure Engineering,11.570641,104.8966404
F,11.5414411,104.8973022
My house,11.5611547,104.8940065
Phnom Penh,11.5813429,104.9164523
PCC Dormitory,11.5896352,104.8974466
International Chinese Education and Teacher Institute at Royal Academy of Cambodia,11.5605507,104.8637752
New Building of Human Resources University,11.5523287,104.9138506
School,11.5649235,104.8962267
Faculty Engineering,11.5696433,104.8898423
home,11.5657125,104.8944508
Ream,11.5559899,104.8778685
"Khmer for Foreigners,",11.5692136,104.8933907
UniversityofPuthisastra,11.5622154,104.9205294
វិទ្យាស្ថានពាណិជ្ជកម្មអន្តរជាតិកាកេហាស៊ិ,11.5907491,104.8947039
Keo sa vorn,11.5663046,104.87932
សាកលវិទ្យាល័យប៊ែលធីអន្តរជាតិ ទី២ (សាខាស្ពានអាកាសចោមចៅ),11.5246703,104.823231
De Montfort University Cambodia,11.5483793,104.938712
ដេប៉ាតឺម៉ង់ ប្រវត្តិវិទ្យា (Department of History),11.5624968,104.8626687
សាកលវិទ្យាល័យបច្ចេកវិទ្យា និងវិទ្យាសាស្ត្រកម្ពុជា-ចិន 柬华应用科技大学 Cambodia-China University of Technology and Science,11.5619369,104.9140797
IIC university of technology,11.5363214,104.9920061
