name,lat,lon
អនុវិទ្យាល័យ​ចតុមុខ,11.562718,104.926858
វិទ្យាល័យវត្តកោះ,11.5650687,104.9206865
វិទ្យាល័យ​ជ្រោយ​ចង្វារ (ជា ស៊ីម),11.5864515,104.9285923
សាលា​រៀន​អេ​យូ​ភី​ភី,11.5770471,104.9180878
វិទ្យាល័យ ហ៊ុន សែន ប៊ុន រ៉ានី វត្តភ្នំ,11.5849992,104.9181062
វិទ្យាល័យ​ព្រះ​ស៊ីសុវត្ថិ,11.5640126,104.9252101
វិទ្យាល័យ ​ជាស៊ីម សន្ធរម៉ុក,11.5662572,104.8987544
វិទ្យាល័យ​ព្រះយុគន្ធរ,11.5551993,104.919911
សាលា​មធ្យមវិចិត្រ​សិល្បៈ,11.5877385,104.8764971
សាលា​អន្តរជាតិ​ផារ៉ាហ្កន,11.548769,104.933654
វិទ្យាល័យបាក់ទូក,11.5646016,104.9126194
វិទ្យាល័យទួលទំពូង,11.5421567,104.9159011
វិទ្យាល័យទឹកល្អក់,11.5603564,104.8979296
វិទ្យាល័យបឹងត្របែក,11.5347335,104.9239472
សាលា សុធារស,11.5520176,104.9319074
អនុវិទ្យាល័យ ចាក់អង្រែក្រោម,11.512683,104.9354832
Kdey Takoy Primary and Secondary School,11.5563738,104.9282099
អនុវិទ្យាល័យ ​អរិយក្សត្រ,11.580554,104.9585616
វិទ្យាល័យព្រះស៊ីសុវត្ថិ អគារ H,11.5634355,104.9247836
អនុវិទ្យាល៍យអូរបែកក្អម,11.556224,104.8897324
School Office,11.5647951,104.9121283
Harrods International Academy (C5),11.551781,104.927381
Seven76,11.580483,104.9186278
សាលាអាមេរិកាំង ស្ទេនហ្វដ,11.5649894,104.8997674
សាលារៀន អន្តរទ្វីប អាមេរិកាំង សាខាទួលគោក,11.5817239,104.9047967
ពុទ្ធិក​វិទ្យាល័យព្រះសុរាម្រឹត,11.5614961,104.934169
Ruessei Srok Primary and Secondary School,11.4690051,105.0300292
Russey Keo High School,11.6121376,104.9138571
វិទ្យាល័យ​ច្បារ​អំពៅ,11.5298706,104.9490822
សាលា​អន្តរជាតិ Invictus ភ្នំពេញ,11.5514921,104.9287144
វិទ្យាល័យជាស៊ីមសាមគ្គី,11.5496961,104.8916123
វិវិវិត,11.5646324,104.929463
សាលាអន្តរជាតិញូវយ៉ក,11.6157623,104.9147688
Building A,11.5651025,104.9125527
វិទ្យាល័យឥន្ទ្រទេវី,11.5776353,104.8914698
សាលា មត្តេយ្យ បឋម និងមធ្យមសិក្សា មីគីវ៉េ,11.5940027,104.9001094
Golden Bridge International School of Phnom Penh - Tuol Kork Campus,11.5821165,104.8942485
វិទ្យាល័យ​ហ៊ុន សែនបុរី​១០០ខ្នង,11.5632755,104.8679224
សាលា​អង់គ្លេស​អន្តរជាតិ រាជធានី​ភ្នំពេញ,11.5130619,104.9829059
Toul Prasat Sen Sok High School,11.5981087,104.8697436
សាលាបឋមសិក្សា និងអនុវិទ្យាល័យ ចំរើនជាតិ​,11.6340725,104.8939002
តារាងបាល់ទាត់វិទ្យាល័យព្រះស៊ីសុវត្ថិ(SisowatFootballPitc),11.5660435,104.9235543
សាលា​អន្តរជាតិ Shrewsbury ភ្នំពេញ,11.5934187,104.9364568
Math today School,11.565523,104.9130806
អនុវិទ្យាល័យ ហ៊ុនសែនពោធិ៍ចិនតុង,11.5630017,104.8590284
សាលារៀន អារីហ្សូន – ARIZON SCHOOL Orussey Campus,11.5614788,104.9147928
The Camboland International School,11.5095388,104.9435815
វិទ្យាល័យ​អន្តរជាតិ CIA FIRST,11.5468016,104.8657474
Teok Laork High School Back Door,11.5602152,104.8971452
Western International School - Stadium (Main Campus),11.5812811,104.8845226
Home Of English International School,11.5478858,104.9148703
វិទ្យាល័យ ទួលសង្កែ,11.5889625,104.9105164
អនុវិទ្យាល័យ រទាំង​​ (Roteang Secondary School),11.5031915,105.0323971
សាលា អន្តរជាតិ អុិសវ៉េស,11.5477946,104.9159375
វិទ្យាល័យអនុវត្ត,11.5572569,104.9261086
CPV High School,11.5318821,104.820731
CUS,11.592918,104.8990651
Beitel School,11.5720348,104.8533295
តាត់,11.582235,104.9221417
វិទ្យាល័យ បុសខ្នុរ,11.5308808,104.872791
Daun Penh,11.5635477,104.9232368
វិទ្យាល័យ ទួលអំពិល,11.500573,104.892523
Sala wp,11.5849593,104.9175319
សាលា មត្តេយ្យ បឋម និងមធ្យមសិក្សា មីគីវ៉េ,11.5923378,104.9155044
车,11.5943629,104.9286303
វិទ្យាល័យ ហ៊ុនសែន ប៊ុនរ៉ានី ផ្សារដើមថ្កូវ,11.5329612,104.9143158
Duong Radet,11.593767,104.91339
សាលារៀនសុវណ្ណភូមិ សាខាដូន​ពេញ,11.5625035,104.9247193
វិទ្យាល័យចំរើនផល,11.5410724,104.9036515
