name,lat,lon
ស្ថានីយ​តូតាល់ ផ្សារ​ធំ​ថ្មី,11.5685692,104.9198748
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់,11.571943,104.917379
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ វត្ត​ភ្នំ,11.5813151,104.9194168
ស្ថានីយប្រេង តូតាល់ មុនីវង្ស​,11.55094,104.9216803
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់​,11.5625652,104.9117968
ស្ថានីយប្រេងឥន្ធនៈ តូតាល់,11.572884,104.8989182
ស្ថានីយ​ប្រេង​តូតាល់ បឹង​កក់,11.5844524,104.9117758
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់អេនេីជី ជ្រោយ​ចង្វារ,11.5899077,104.9283486
ស្ថានីយ៍ចាក់សាំងតូតាល់,11.5619604,104.8938965
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ សន្ធរ​ម៉ុក,11.5665576,104.8965111
ស្ថានីយ​តូតាល់ ទួល​គោក,11.576857,104.899891
ស្ថានីយ៍ប្រេងឥន្ធនៈតូតាល់​ ផ្លូវ៣១០,11.550862,104.915911
Total,11.5766929,104.8996952
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ ទួល​ទំពូង,11.541286,104.909312
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ អូឡាំពិក,11.549136,104.911525
ស្ថានីយ​តូតាល់ ភ្នំពេញថ្មី,11.57367,104.877145
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់​ អាងទឹក​,11.5571701,104.9090473
ស្ថានីយ​តូតាល់ Northbridge,11.553131,104.871053
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ ទួល​សង្កែ​២,11.6072047,104.909885
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់​២៧១,11.538224,104.910496
ស្ថានីយ៍ប្រេងឥន្ទនៈតូតាល់ ពោធិ៍ចិនតុង ២,11.562956,104.861528
ស្ថានីយ​តូតាល់ អង្គរ​ភ្នំពេញ,11.6069874,104.8874878
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ (​ទួល​សង្កែ​),11.5905574,104.9098346
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ ផ្សារ​ដី​ហុយ​,11.5687981,104.8709804
ស្ថានីយ​តូតាល់ ទួល​ស្វាយព្រៃ,11.5502215,104.9064437
ក្រុមហ៊ុន តូតាល់ កម្ពុជាTotal Gas Station,11.5813271,104.9193926
ស្ថានីយប្រេងឥន្ធន: តូតាល់ (ចំការដូង),11.5145279,104.8901847
ស្ថានីយ៍​ប្រេង​ឥន្ធនៈ​តូតាល់ បឹងត្របែក,11.534451,104.922391
តូតាល់ ម៉ាត,11.5626751,104.906848
ស្ថានីយ​តូតាល់ អរគីដេ,11.552878,104.880119
Total Auto Care,11.5896875,104.9284375
ស្ថានីយ​តូតាល់ សែន​សុខ​២,11.5743954,104.8838771
ស្ថានីយប្រេង តូតាល់ - កាំកូ,11.591387,104.897801
ស្ថានីយ៍ប្រេង តូតាល់,11.552377,104.885553
តូតាល់ រាជាយ​ស្ម័យយាន,11.5717874,104.9173095
ស្ថានីយ​តូតាល់ សែន​សុខ,11.590024,104.881945
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ (ច្បារ​អំពៅ​),11.5316912,104.9370548
ស្ថានីយ​តូតាល់ ផ្សារ​ឈូក​មាស,11.5811983,104.8532517
Sunny Coco-Total Railway Station,11.57218,104.917205
ស្ថានីយ​តូតាល់ សន្ធរ​ម៉ុក,11.5665097,104.8964498
ស្ថានីយប្រេងឥន្ធនៈ តូតាល់,11.5415267,104.8920716
ស្ថានីយ​តូតាល់ សែន​សុខ,11.5900105,104.8820288
ស្ថានីយ​តូតាល់ ពោធិសែនជ័យ,11.5665709,104.8327555
ស្ថានីយ​តូតាល់ ផ្លូវ​២០០៤,11.5504267,104.8582034
ស្ថានីយ​តូតាល់ សែនជូរី,11.561671,104.854352
តូតាល់,11.5326724,104.8688357
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ ចំការ​ដូង,11.52589,104.887466
តូតាល់​ម៉ាត,11.5571989,104.9089968
ស្ថានីយ​តូតាល់ ផ្ឡូវ​៣៧១,11.52356,104.897382
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់,11.5290298,104.8457286
ស្ថានីយ​តូតាល់ ផ្លូវ​២១,11.4920809,104.9433296
ស្ថានីយ​តូតាល់ ដួងងៀប,11.551018,104.866932
Total Mart Aeon II,11.590062,104.8820409
សរុបសែនជ័យ,11.5812234,104.8532813
Total Mart,11.5919788,104.8991303
ស្ថានីយ​តូតាល់ វត្ត​ភ្នៀត,11.5929194,104.8006145
WOORI ATM - Total Station La Gare,11.5720868,104.9173203
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ (ជើងឯក),11.4944976,104.8933328
Total Cambodge Coporate Office,11.5379312,104.9102165
ស្ថានីយ​តូតាល់ បឹង​បៃតង,11.590542,104.8642072
ស្ថានីយ​តូតាល់ សម​ប្រាថ្នា,11.5212231,104.8209645
TOTAL Phnom Penh Aviation Depot,11.5597921,104.8519764
ស្ថានីយប្រេងឥន្ធនៈតូតាល់ សាខាឈូកវ៉ា,11.5666012,104.8327554
Burger King Total Olympia,11.5625786,104.9117716
ស្ថានីយ​តូតាល់ តាំង​ក្រសាំង,11.5580572,104.8415548
ស្ថានីយ៍​ប្រេង​ឥន្ធនៈ​តូតាល់ តាខ្មៅ,11.4918015,104.9432045
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ បាគូ,11.474947,104.891859
ស្ថានីយ​តូតាល់ បឹង​បែតង,11.5895619,104.8641261
Total Beauty Distribution,11.577834,104.9067229
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ ព្រែក​លាភ,11.6268236,104.9245181
ស្ថានីយ៍ប្រេងឥន្ទនៈតូតាល់ អូរដឹម,11.530909,104.805658
ស្ថានីយ​តូតាល់ សែន​លាភ,11.6061137,104.8695244
Total office,11.5292667,104.9277274
TotalEnergies Toul Pongror,11.5025625,104.8525625
Total Cheap sreng try,11.5767107,104.8998718
TOTAL TOOLS KBALTNOL,11.5293357,104.9277023
TotalEnergies Koh Norea,11.5475329,104.9537117
ស្ថានីយ​តូតាល់ ទួល​ពង្រ​២,11.5189352,104.8781813
ស្ថានីយ​ប្រេង​តូតាល់ ផ្លូវ​៥៩៨,11.6279259,104.8866035
ស្ថានីយ​តូតាល់ ឫស្សី​កែវ,11.6290404,104.9049116
តូតាល់​ទួល​កី,11.5017732,104.8191556
PayGo,11.5685484,104.9197026
Woori ATM - Total Station La Deesse,11.5626792,104.9119026
Total Auto Service MongRithy,11.5901558,104.8848317
តូតាល់ ពោធិសែនជ័យ,11.5775749,104.8414624
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ បឹងស្នោ,11.5328391,104.9516409
ស្ថានីយ​តូតាល់ ចម្ការ​ដូង​២,11.5143724,104.8903598
WASH Pochentong by TotalEnergies,11.5635396,104.8650419
ស្ដារប័កស៍ | តូតាល់ អង្គរ​ភ្នំពេញ,11.6071462,104.8873891
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់​ ព្រែក​លាភ​១៦៨,11.6328004,104.9212293
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់ កប់​ស្រូវ,11.6465889,104.8693076
ស្ថានីយ​តូតាល់ ហ្គ្រេន​ភ្នំពេញ,11.6242662,104.8765345
ស្ថានីយ​ប្រេង​ឥន្ធនៈ​តូតាល់,11.5318618,104.9942585
Total Auto Service MongRithy,11.5896921,104.8751571
ស្ថានីយប្រេងឥន្ធនៈ តូតាល់ (ព្រៃស),11.4997412,104.8735341
ACLEDA ATM - Total Station (Tuol Kork),11.5768693,104.8997208
PayGo,11.5718147,104.9174321
Café Bonjour Makara,11.5729442,104.8988354
TOUS les JOURS,11.5720103,104.9173223
Total Collection,11.556417,104.8701791
