name,lat,lon
ធ្យូប កាហ្វេ មាត់ទន្លេ,11.5663735,104.931805
Tube coffee,11.5710296,104.9109413
ធ្យូប កាហ្វេផ្លឹស កាណាឌីយ៉ា,11.5725435,104.919685
ធ្យូប កាហ្វេ វិទ្យាស្ថានបារាំង,11.5620459,104.9209084
ធ្យូប កាហ្វេ បឹងកេងកង,11.5538481,104.9265884
អាន់ដឺក្រោនកាហ្វេ,11.5720982,104.9291224
ធ្យូប កាហ្វេ​ ផ្លូវ ៣១០,11.5506598,104.9149728
ធ្យូប កាហ្វេ សន្ធរម៉ុក,11.5670352,104.8982358
ធ្យូប កាហ្វេ គីរីរម្យ,11.5559758,104.9181061
ធ្យូប កាហ្វេ អាស៊ីអាគ្នេយ៍,11.5614937,104.8706361
ធ្យូប កាហ្វេ ព្រះមុនីរ៉េត,11.5552952,104.9061553
ធ្យូប កាហ្វេ ហេងលី,11.5608987,104.8896515
ធ្យូប កាហ្វេ សាលារូល,11.5360477,104.9234495
ធ្យូប កាហ្វេផ្លឹស កោះពេជ្រ,11.5447937,104.9398831
ធ្យូប កាហ្វេផ្លឹស ជ្រោយចង្វារ,11.5897212,104.9281337
ធ្យូប កាហ្វេ ច្បារអំពៅ,11.5320241,104.93805
ធ្យូប កាហ្វេ បាក់ទូក,11.5626498,104.9118476
ធ្យូប កាហ្វេផ្លឹស រាជធានី,11.5671674,104.8958558
ធ្យូប កាហ្វេ ទួលទំពូង,11.5415381,104.9141399
ធ្យូប កាហ្វេ ស្ទឹងមានជ័យ,11.5416557,104.8921666
ធ្យូប កាហ្វេផ្លឹស សម័យស៊្វែរ,11.5842588,104.8979316
ធ្យូប កាហ្វេ វេងស្រេង,11.5314764,104.8601711
ធ្យូប កាហ្វេ មានជ័យអាវីន្យូម៉ល,11.5105566,104.9264928
ធ្យូប កាហ្វេ ខេមកូ ស៊ីធី,11.5927389,104.8969384
ធ្យូប កាហ្វេ ផ្សារ ឈូកមាស,11.5760104,104.853872
ធ្យូប កាហ្វេ បឹងស្នោ,11.5345733,104.9558231
TUBE COFFEE Office,11.553046,104.8805496
ធ្យូប កាហ្វេ សម័យស៊្វែរ ទួលគោក,11.5848178,104.8978619
ធ្យូប កាហ្វេ ទួលសង្កែ ផ្លាហ្សា,11.5909377,104.9064772
ធ្យូប កាហ្វេ ឬស្សីកែវ,11.6095328,104.9177707
ធ្យូប កាហ្វេផ្លឹស ចំការដូង,11.5095644,104.8908369
ធ្យូប កាហ្វេ ដឹហ្គ្រីនម៉ល,11.5984298,104.8756159
ធ្យូប កាហ្វេ ព្រែកលៀប,11.6349658,104.9204766
Noir Coffee Vattanac,11.5725697,104.9198753
ធ្យូប កាហ្វេ តាខ្មៅ,11.4918787,104.9442257
ធ្យូប កាហ្វេ ដំរី ផាគ​ ៥៩៨,11.630297,104.8849552
