name,lat,lon
ធនាគារ វីង,11.5450455,104.9220433
Wing Bank Beoung Trobek Branch,11.5417205,104.9225463
Wing Bank Independence Monument Branch,11.5557996,104.9240568
Wing Bank Wat Phnom Branch,11.5712454,104.9202109
Wing Bank Preah Yukunthor Branch,11.5560078,104.9191052
Wing Prum SAMBAT 310,11.5507223,104.9188757
អាគារ​ធនាគារ​វីង,11.5690947,104.9184667
វិប ខេមបូឌាវីង Web Cambodia Wing,11.5664007,104.9188569
Wing Money (លឹមសុង​ ​88),11.5510763,104.9208951
Wing sokleap,11.5517591,104.9113595
Ie Meynea Wing Agency,11.5538534,104.9090214
Wing Bank Tuol Kouk Branch,11.5784337,104.899991
LomOr Wing,11.5388821,104.9203244
Wing Bank by Dina Sereyvuth,11.5405807,104.9139429
ជីប ស្រេង ហាង​លក់​ទូរស័ព្ទ (Wing ),11.5677421,104.9208168
Wing,11.5798666,104.9207572
Wing Bank Orkide 2004 Branch,11.5519805,104.8763838
សាមុំ WING,11.5368914,104.9107376
វីង,11.5633622,104.9163346
Wing Lucky Shop,11.5547171,104.9231109
Wing Kim Chetha,11.5630693,104.9146718
Monika Wings & Beverage,11.5547425,104.9317498
Wing Bank Saensokh Branch,11.603237,104.8856922
Kim Cheng Wing Money Transfer,11.562538,104.9176193
Wcx Kaing Kimsan,11.5566811,104.9072282
សំណាង និមល (360),11.5691385,104.9275326
Wing TK,11.5840813,104.8989252
វីនរម្យនា,11.5623154,104.8968802
HengHuy Wing,11.5575011,104.905114
ធនាគារ​ស្ថាបនា​,11.5661322,104.9252393
វីង,11.5914498,104.8982422
ផ្ទះលេខ ០៩ Wing,11.5727522,104.8996345
វីង-សូ ដានី-លក់ភេសជ្ជ:,11.5413126,104.9153897
Wing Keo Somonin,11.5745731,104.9000055
គឹម ហៀកវីងវេរប្រាក់/Kim Heak Wing Agent,11.5291331,104.9284335
ភ្នាក់ងារវីង ធារ៉ូ,11.5469211,104.8942496
វីង,11.5970432,104.9184346
Wing យ៉ា សម្បត្តិ,11.5569605,104.9039556
កូននាថ វីងវេរលុយ,11.5872568,104.9357794
Wing Intraktevi,11.5772356,104.8906957
Wing TSR,11.5648711,104.8871371
វីង,11.523531,104.9375006
ABA 24/7 - Phsar Thmey 2,11.5691358,104.9187285
Wing,11.578445,104.8743782
1253,11.5204566,104.9334396
Soriya Wing,11.5350355,104.9279013
ម៉ា លីនី (វីង),11.5435918,104.9027599
លី​លី វេលុយ,11.5664049,104.9084271
EANG SOVANN's Wing,11.5608239,104.8728301
Wing,11.5960983,104.9136629
សៀវ ហុង,11.52773,104.9637544
EVA Wing,11.5810163,104.9191843
Wing Sokunthea,11.5343873,104.956315
Wing Kong Danet,11.48829,104.9420838
ដាសុរះពជ,11.5124242,104.8822425
"HongMeng Money Exchange, Wing",11.5304192,104.90823
មុយ លីម,11.5316199,104.9366667
Wing វីងម៉ាក់អូនមូន,11.5094215,104.851333
Wing 215,11.5838776,104.8876563
សួន សុផានី,11.5356078,104.9689651
Wing ថៃ ស្រេង,11.5330691,104.9042784
Wing Pagna 99,11.6109146,104.8963136
Wing Bank RGPPSEZ Branch,11.5174559,104.7797186
