iter	RMSE
0	0.9865853563
1	0.969649055
2	0.9546269466
3	0.9399107504
4	0.9256303486
5	0.9121995477
6	0.8997419756
7	0.8876557267
8	0.8769123354
9	0.8668019009
10	0.8570669356
11	0.8481514545
12	0.8393243037
13	0.8310852582
14	0.8228428171
15	0.8162082626
16	0.8079189062
17	0.8015321444
18	0.7958928292
19	0.7894381966
20	0.7840486928
21	0.7783959559
22	0.7732975273
23	0.7680823449
24	0.7630298425
25	0.7585305123
26	0.7545867968
27	0.7502272637
28	0.746118874
29	0.7425699369
30	0.73908352
31	0.7354626685
32	0.7323881807
33	0.7287786215
34	0.7259680874
35	0.7234411561
36	0.7206950166
37	0.7181499999
38	0.7156536114
39	0.7130553861
40	0.7106493718
41	0.7085399057
42	0.706355531
43	0.7047276586
44	0.7029572987
45	0.7009091904
46	0.6993678892
47	0.6973729534
48	0.6952067639
49	0.6936258035
50	0.6919791562
51	0.6897910374
52	0.6882045488
53	0.6863090062
54	0.6842191296
55	0.6821746674
56	0.6808705825
57	0.679166598
58	0.6778894692
59	0.6773572006
60	0.6758691222
61	0.6743023359
62	0.6725884107
63	0.6723019582
64	0.6720315791
65	0.6709763241
66	0.6707123994
67	0.6695935621
68	0.6677957038
69	0.6658960211
70	0.6656380664
71	0.6654451698
72	0.664465615
73	0.6636362874
74	0.6626682475
75	0.6624763045
76	0.6607392409
77	0.6605078947
78	0.6589326391
79	0.6586650547
80	0.658437652
81	0.6582162171
82	0.6563110082
83	0.6549683018
84	0.6546634568
85	0.6540093259
86	0.653811577
87	0.6526852143
88	0.6515106353
89	0.6512602219
90	0.6510918845
91	0.6508557376
92	0.6490581183
93	0.6488914357
94	0.6474980241
95	0.6461432423
96	0.644390926
97	0.6426726993
98	0.6424878029
99	0.6414071903
100	0.6396612831
101	0.6389122954
102	0.6387734203
103	0.6385459422
104	0.6371361354
105	0.6369275592
106	0.63677028
107	0.6356569403
108	0.6342107773
109	0.6331623245
110	0.6322246813
111	0.6320587221
112	0.6311609642
113	0.6310179427
114	0.6297810723
115	0.6283243377
116	0.6281493052
117	0.6273835639
118	0.6260058046
119	0.6244130776
120	0.624285751
121	0.624108967
122	0.6233635021
123	0.6228514559
124	0.622699431
125	0.6220893357
126	0.6211499441
127	0.6203549199
128	0.6202294887
129	0.6200926518
130	0.6190972563
131	0.6180793773
132	0.6170184385
133	0.6157922173
134	0.6150838623
135	0.6143407394
136	0.6140015168
137	0.6138713249
138	0.6128416311
139	0.6111951421
140	0.6104274127
141	0.6103074858
142	0.6099905572
43	0.609137503
144	0.6084777247
145	0.6075120309
146	0.6064787449
147	0.6063609104
148	0.6057388312
149	0.6047654626
150	0.6046582764
151	0.6032331319
152	0.6024385647
153	0.6019590425
154	0.6006247454
155	0.6000276085
156	0.5990136816
157	0.597574187
158	0.5971898919
159	0.5970960325
160	0.5966022895
161	0.5943251085
162	0.594220694
163	0.5935012539
4	0.5979049904
165	0.5972285062
166	0.5971410608
167	0.5970482893
168	0.5968151879
169	0.5958367472
170	0.5957485749
171	0.5946783468
172	0.5945060857
173	0.5944238508
174	0.5938731095
175	0.593289389
176	0.5924033027
177	0.5922449455
178	0.592161203
179	0.5913576647
180	0.5912281113
181	0.5902889622
182	0.5895448523
183	0.5882635112
184	0.5879710863
185	0.5867848818
186	0.5871591433
187	0.5870278156
188	0.5861173504
189	0.5860426015
190	0.5859030412
191	0.5850037564
192	0.5845973337
193	0.5837938138
194	0.5837165905
195	0.5830047445
