iter	Passed	Remaining
0	22	11173
1	44	11195
2	66	11060
3	82	10266
4	104	10356
5	127	10507
6	146	10332
7	169	10394
8	188	10293
9	205	10078
10	223	9921
11	241	9831
12	261	9782
13	278	9681
14	299	9699
15	317	9615
16	337	9598
17	356	9551
18	378	9583
19	403	9679
20	421	9621
21	441	9584
22	461	9575
23	494	9812
24	522	9929
25	542	9888
26	561	9829
27	580	9789
28	603	9794
29	629	9864
30	649	9825
31	671	9816
32	690	9776
33	712	9765
34	732	9734
35	762	9828
36	781	9782
37	799	9714
38	818	9671
39	837	9635
40	865	9688
41	885	9656
42	907	9642
43	925	9591
44	943	9544
45	964	9518
46	982	9466
47	1015	9561
48	1059	9752
49	1095	9859
50	1114	9815
51	1133	9763
52	1148	9687
53	1168	9651
54	1189	9625
55	1213	9622
56	1232	9582
57	1253	9551
58	1275	9531
59	1288	9446
60	1306	9402
61	1321	9334
62	1340	9300
63	1361	9276
64	1380	9237
65	1401	9216
66	1418	9164
67	1438	9135
68	1454	9084
69	1469	9025
70	1485	8976
71	1501	8924
72	1519	8888
73	1541	8876
74	1562	8854
75	1582	8826
76	1599	8786
77	1618	8755
78	1636	8719
79	1656	8694
80	1672	8652
81	1693	8632
82	1709	8588
83	1730	8570
84	1747	8532
85	1768	8514
86	1786	8481
87	1805	8453
88	1821	8411
89	1840	8384
90	1857	8347
91	1878	8330
92	1898	8309
93	1917	8279
94	1938	8263
95	1954	8225
96	1973	8199
97	1988	8158
98	2012	8153
99	2030	8121
100	2052	8109
101	2072	8087
102	2091	8059
103	2110	8035
104	2129	8012
105	2144	7971
106	2160	7937
107	2178	7908
108	2201	7898
109	2226	7892
110	2251	7891
111	2270	7865
112	2298	7873
113	2324	7871
114	2345	7851
115	2366	7835
116	2395	7842
117	2426	7855
118	2458	7870
119	2499	7914
120	2528	7918
121	2550	7903
122	2658	8148
123	2735	8295
124	2805	8416
125	2903	8618
126	3006	8829
127	3070	8923
128	3139	9028
129	3183	9060
130	3237	9120
131	3289	9170
132	3363	9280
133	3424	9352
134	3463	9363
135	3502	9375
136	3539	9378
137	3585	9406
138	3639	9452
139	3725	9579
140	3819	9724
141	3956	9975
142	4060	10137
60	7890
143	3242	8015
144	3317	8122
145	3376	8187
146	3425	8224
147	3478	8272
148	3539	8337
149	3602	8406
150	3649	8433
151	3689	8446
152	3722	8443
153	3764	8457
154	3802	8463
155	3864	8522
156	3928	8581
157	4009	8678
158	4139	8877
159	4259	9051
160	4317	9091
335
160	3983	8386
161	4079	8511
162	4213	8712
163	4293	8796
	3709	7396
167	3738	7387
168	3760	7365
169	3788	7353
170	3813	7337
171	3834	7311
172	3864	7305
173	3890	7289
174	3911	7264
175	3931	7237
176	3958	7222
177	3978	7197
178	3998	7170
179	4046	7192
180	4076	7183
181	4101	7166
182	4135	7164
183	4161	7146
184	4206	7162
185	4275	7217
793
185	4013	6776
186	4060	6796
187	4101	6807
188	4131	6798
189	4159	6785
190	4188	6775
191	4217	6765
192	4245	6753
193	4271	6738
194	4310	6741
195	4328	6714
